in_deg_centrality,[]
76,"[0.915, 0.912, 0.684, 0.672, 0.083, 0.134, 0.875, 0.57, 0.909, 0.915]"
77,"[0.909, 0.908, 0.646, 0.516, 0.094, 0.102, 0.892, 0.265, 0.91, 0.914]"
78,"[0.91, 0.911, 0.764, 0.639, 0.156, 0.102, 0.862, 0.448, 0.908, 0.913]"
79,"[0.911, 0.912, 0.626, 0.613, 0.101, 0.102, 0.888, 0.423, 0.902, 0.916]"
80,"[0.909, 0.916, 0.744, 0.632, 0.083, 0.088, 0.889, 0.367, 0.906, 0.916]"
81,"[0.915, 0.912, 0.626, 0.558, 0.094, 0.102, 0.874, 0.448, 0.904, 0.918]"
82,"[0.914, 0.912, 0.748, 0.74, 0.083, 0.102, 0.889, 0.488, 0.905, 0.917]"
83,"[0.915, 0.912, 0.613, 0.574, 0.094, 0.102, 0.88, 0.358, 0.91, 0.908]"
84,"[0.917, 0.913, 0.755, 0.697, 0.093, 0.13, 0.884, 0.456, 0.912, 0.911]"
85,"[0.913, 0.913, 0.674, 0.622, 0.094, 0.102, 0.899, 0.245, 0.905, 0.917]"
86,"[0.912, 0.911, 0.757, 0.604, 0.136, 0.246, 0.862, 0.378, 0.911, 0.914]"
87,"[0.913, 0.913, 0.64, 0.563, 0.094, 0.102, 0.887, 0.386, 0.912, 0.914]"
88,"[0.915, 0.92, 0.757, 0.643, 0.082, 0.102, 0.891, 0.499, 0.916, 0.915]"
89,"[0.911, 0.912, 0.679, 0.513, 0.148, 0.102, 0.884, 0.295, 0.911, 0.917]"
90,"[0.91, 0.917, 0.736, 0.641, 0.183, 0.132, 0.879, 0.473, 0.915, 0.919]"
91,"[0.913, 0.916, 0.688, 0.584, 0.094, 0.102, 0.878, 0.412, 0.915, 0.921]"
92,"[0.911, 0.915, 0.667, 0.632, 0.094, 0.196, 0.891, 0.346, 0.915, 0.913]"
93,"[0.913, 0.91, 0.679, 0.581, 0.094, 0.102, 0.87, 0.413, 0.911, 0.912]"
94,"[0.913, 0.914, 0.704, 0.594, 0.094, 0.168, 0.884, 0.459, 0.91, 0.917]"
95,"[0.919, 0.916, 0.652, 0.584, 0.094, 0.102, 0.885, 0.408, 0.912, 0.92]"
96,"[0.913, 0.926, 0.773, 0.612, 0.083, 0.147, 0.872, 0.444, 0.911, 0.91]"
97,"[0.91, 0.911, 0.666, 0.58, 0.094, 0.102, 0.88, 0.454, 0.917, 0.916]"
98,"[0.916, 0.919, 0.749, 0.627, 0.083, 0.102, 0.853, 0.498, 0.913, 0.917]"
99,"[0.915, 0.915, 0.626, 0.518, 0.094, 0.102, 0.905, 0.326, 0.914, 0.925]"
out_deg_centrality,[]
0,"[0.743, 0.695, 0.636, 0.597, 0.309, 0.315, 0.728, 0.501, 0.734, 0.708]"
1,"[0.678, 0.664, 0.637, 0.689, 0.237, 0.329, 0.741, 0.591, 0.673, 0.737]"
2,"[0.719, 0.751, 0.676, 0.584, 0.156, 0.203, 0.745, 0.368, 0.738, 0.725]"
3,"[0.737, 0.779, 0.691, 0.623, 0.234, 0.31, 0.78, 0.505, 0.756, 0.753]"
4,"[0.763, 0.78, 0.781, 0.68, 0.2, 0.113, 0.801, 0.726, 0.789, 0.754]"
5,"[0.765, 0.794, 0.607, 0.686, 0.176, 0.257, 0.797, 0.584, 0.81, 0.782]"
6,"[0.787, 0.805, 0.674, 0.614, 0.081, 0.169, 0.824, 0.384, 0.808, 0.791]"
7,"[0.811, 0.829, 0.716, 0.727, 0.103, 0.109, 0.829, 0.481, 0.807, 0.827]"
8,"[0.831, 0.832, 0.737, 0.635, 0.103, 0.241, 0.84, 0.298, 0.823, 0.829]"
9,"[0.824, 0.843, 0.58, 0.675, 0.134, 0.105, 0.81, 0.504, 0.835, 0.838]"
10,"[0.843, 0.838, 0.762, 0.701, 0.11, 0.086, 0.853, 0.51, 0.847, 0.846]"
11,"[0.851, 0.849, 0.635, 0.58, 0.187, 0.236, 0.848, 0.31, 0.864, 0.811]"
12,"[0.848, 0.85, 0.742, 0.658, 0.104, 0.135, 0.851, 0.607, 0.853, 0.85]"
13,"[0.848, 0.859, 0.718, 0.733, 0.131, 0.108, 0.836, 0.428, 0.857, 0.849]"
14,"[0.86, 0.863, 0.739, 0.722, 0.104, 0.159, 0.845, 0.473, 0.863, 0.847]"
15,"[0.861, 0.865, 0.587, 0.634, 0.104, 0.107, 0.803, 0.354, 0.86, 0.861]"
16,"[0.868, 0.866, 0.792, 0.676, 0.104, 0.189, 0.84, 0.507, 0.862, 0.855]"
17,"[0.878, 0.867, 0.727, 0.564, 0.104, 0.195, 0.839, 0.519, 0.865, 0.864]"
18,"[0.879, 0.874, 0.759, 0.781, 0.131, 0.176, 0.828, 0.447, 0.872, 0.866]"
19,"[0.875, 0.881, 0.66, 0.624, 0.083, 0.095, 0.856, 0.426, 0.872, 0.861]"
20,"[0.881, 0.878, 0.718, 0.712, 0.094, 0.121, 0.857, 0.652, 0.884, 0.876]"
21,"[0.881, 0.874, 0.689, 0.665, 0.104, 0.105, 0.856, 0.482, 0.881, 0.868]"
22,"[0.889, 0.883, 0.805, 0.679, 0.093, 0.122, 0.858, 0.587, 0.881, 0.878]"
23,"[0.886, 0.886, 0.645, 0.617, 0.112, 0.086, 0.837, 0.483, 0.882, 0.87]"
24,"[0.888, 0.89, 0.798, 0.668, 0.092, 0.087, 0.868, 0.596, 0.882, 0.87]"
25,"[0.891, 0.887, 0.706, 0.707, 0.083, 0.095, 0.849, 0.334, 0.891, 0.88]"
26,"[0.893, 0.89, 0.636, 0.742, 0.069, 0.144, 0.86, 0.538, 0.888, 0.881]"
27,"[0.892, 0.89, 0.702, 0.572, 0.083, 0.07, 0.856, 0.385, 0.879, 0.891]"
28,"[0.897, 0.887, 0.69, 0.692, 0.103, 0.285, 0.872, 0.503, 0.881, 0.891]"
29,"[0.885, 0.89, 0.734, 0.496, 0.1, 0.086, 0.851, 0.284, 0.886, 0.872]"
30,"[0.892, 0.894, 0.617, 0.639, 0.137, 0.19, 0.866, 0.498, 0.89, 0.886]"
31,"[0.895, 0.892, 0.716, 0.549, 0.103, 0.086, 0.852, 0.475, 0.888, 0.885]"
32,"[0.896, 0.891, 0.645, 0.596, 0.195, 0.221, 0.843, 0.371, 0.899, 0.889]"
33,"[0.893, 0.893, 0.755, 0.664, 0.174, 0.131, 0.862, 0.313, 0.885, 0.898]"
34,"[0.906, 0.89, 0.692, 0.511, 0.09, 0.104, 0.858, 0.422, 0.894, 0.878]"
35,"[0.892, 0.894, 0.732, 0.673, 0.134, 0.086, 0.862, 0.176, 0.894, 0.893]"
36,"[0.901, 0.892, 0.658, 0.683, 0.106, 0.233, 0.865, 0.44, 0.895, 0.898]"
37,"[0.89, 0.892, 0.666, 0.684, 0.11, 0.178, 0.843, 0.442, 0.889, 0.889]"
38,"[0.899, 0.894, 0.681, 0.656, 0.305, 0.297, 0.884, 0.516, 0.891, 0.895]"
39,"[0.909, 0.895, 0.776, 0.713, 0.157, 0.103, 0.865, 0.475, 0.895, 0.89]"
40,"[0.909, 0.892, 0.722, 0.625, 0.16, 0.189, 0.842, 0.356, 0.894, 0.905]"
41,"[0.898, 0.892, 0.777, 0.708, 0.103, 0.11, 0.858, 0.521, 0.895, 0.9]"
42,"[0.906, 0.899, 0.626, 0.578, 0.094, 0.102, 0.861, 0.455, 0.892, 0.896]"
43,"[0.899, 0.9, 0.732, 0.724, 0.105, 0.148, 0.871, 0.433, 0.891, 0.896]"
44,"[0.905, 0.898, 0.58, 0.503, 0.082, 0.102, 0.866, 0.45, 0.897, 0.901]"
45,"[0.897, 0.899, 0.68, 0.625, 0.094, 0.103, 0.878, 0.277, 0.887, 0.904]"
46,"[0.905, 0.9, 0.684, 0.546, 0.094, 0.109, 0.859, 0.502, 0.895, 0.903]"
47,"[0.897, 0.897, 0.696, 0.678, 0.083, 0.132, 0.862, 0.462, 0.893, 0.899]"
48,"[0.911, 0.894, 0.645, 0.507, 0.084, 0.102, 0.859, 0.355, 0.9, 0.898]"
49,"[0.905, 0.902, 0.68, 0.658, 0.131, 0.133, 0.881, 0.478, 0.901, 0.897]"
50,"[0.909, 0.9, 0.726, 0.596, 0.094, 0.102, 0.867, 0.537, 0.9, 0.903]"
51,"[0.905, 0.899, 0.69, 0.636, 0.128, 0.287, 0.856, 0.504, 0.901, 0.899]"
52,"[0.904, 0.901, 0.744, 0.627, 0.094, 0.102, 0.87, 0.492, 0.891, 0.896]"
53,"[0.907, 0.899, 0.671, 0.597, 0.233, 0.134, 0.875, 0.391, 0.904, 0.908]"
54,"[0.909, 0.9, 0.612, 0.583, 0.094, 0.102, 0.862, 0.444, 0.901, 0.91]"
55,"[0.908, 0.902, 0.746, 0.661, 0.104, 0.2, 0.844, 0.409, 0.905, 0.907]"
56,"[0.91, 0.898, 0.665, 0.497, 0.094, 0.139, 0.874, 0.425, 0.902, 0.897]"
57,"[0.91, 0.905, 0.758, 0.651, 0.104, 0.253, 0.86, 0.528, 0.908, 0.907]"
58,"[0.909, 0.901, 0.621, 0.562, 0.094, 0.119, 0.874, 0.293, 0.905, 0.913]"
59,"[0.912, 0.907, 0.696, 0.674, 0.125, 0.176, 0.876, 0.387, 0.904, 0.919]"
60,"[0.913, 0.906, 0.675, 0.625, 0.094, 0.102, 0.86, 0.295, 0.912, 0.901]"
61,"[0.911, 0.908, 0.72, 0.721, 0.104, 0.189, 0.877, 0.44, 0.907, 0.914]"
62,"[0.908, 0.907, 0.662, 0.657, 0.094, 0.102, 0.869, 0.355, 0.914, 0.906]"
63,"[0.912, 0.912, 0.714, 0.634, 0.094, 0.193, 0.865, 0.581, 0.915, 0.915]"
64,"[0.914, 0.905, 0.527, 0.484, 0.094, 0.102, 0.863, 0.46, 0.907, 0.917]"
65,"[0.911, 0.903, 0.77, 0.739, 0.092, 0.093, 0.874, 0.586, 0.909, 0.91]"
66,"[0.915, 0.905, 0.577, 0.531, 0.094, 0.102, 0.85, 0.277, 0.906, 0.906]"
67,"[0.913, 0.909, 0.744, 0.759, 0.082, 0.102, 0.873, 0.439, 0.914, 0.901]"
68,"[0.914, 0.908, 0.659, 0.551, 0.091, 0.1, 0.873, 0.333, 0.907, 0.91]"
69,"[0.912, 0.91, 0.741, 0.494, 0.081, 0.095, 0.859, 0.519, 0.913, 0.917]"
70,"[0.912, 0.912, 0.615, 0.522, 0.094, 0.102, 0.866, 0.342, 0.905, 0.908]"
71,"[0.915, 0.903, 0.752, 0.721, 0.104, 0.192, 0.861, 0.466, 0.904, 0.908]"
72,"[0.915, 0.907, 0.558, 0.492, 0.094, 0.103, 0.865, 0.345, 0.914, 0.914]"
73,"[0.916, 0.908, 0.659, 0.681, 0.112, 0.124, 0.866, 0.411, 0.909, 0.908]"
74,"[0.913, 0.905, 0.577, 0.548, 0.094, 0.102, 0.853, 0.418, 0.905, 0.917]"
75,"[0.91, 0.911, 0.767, 0.748, 0.112, 0.099, 0.869, 0.39, 0.912, 0.89]"
76,"[0.915, 0.907, 0.601, 0.507, 0.094, 0.102, 0.858, 0.358, 0.909, 0.911]"
77,"[0.914, 0.912, 0.775, 0.726, 0.116, 0.172, 0.867, 0.247, 0.913, 0.908]"
78,"[0.912, 0.909, 0.554, 0.545, 0.094, 0.102, 0.867, 0.404, 0.907, 0.904]"
79,"[0.915, 0.909, 0.77, 0.676, 0.093, 0.162, 0.88, 0.463, 0.914, 0.912]"
80,"[0.915, 0.91, 0.524, 0.398, 0.094, 0.102, 0.855, 0.273, 0.906, 0.917]"
81,"[0.914, 0.907, 0.69, 0.602, 0.121, 0.097, 0.854, 0.388, 0.913, 0.913]"
82,"[0.917, 0.911, 0.603, 0.526, 0.209, 0.194, 0.867, 0.406, 0.913, 0.912]"
83,"[0.917, 0.907, 0.702, 0.587, 0.146, 0.251, 0.863, 0.425, 0.913, 0.913]"
84,"[0.916, 0.91, 0.649, 0.648, 0.094, 0.104, 0.86, 0.319, 0.918, 0.915]"
85,"[0.91, 0.91, 0.71, 0.703, 0.104, 0.154, 0.869, 0.55, 0.918, 0.907]"
86,"[0.913, 0.911, 0.593, 0.584, 0.094, 0.102, 0.862, 0.168, 0.918, 0.916]"
87,"[0.912, 0.912, 0.69, 0.679, 0.104, 0.239, 0.841, 0.323, 0.91, 0.916]"
88,"[0.909, 0.912, 0.601, 0.535, 0.1, 0.167, 0.865, 0.377, 0.91, 0.907]"
89,"[0.916, 0.911, 0.715, 0.665, 0.242, 0.103, 0.885, 0.394, 0.917, 0.903]"
90,"[0.913, 0.914, 0.615, 0.475, 0.099, 0.102, 0.866, 0.329, 0.909, 0.913]"
91,"[0.913, 0.909, 0.646, 0.543, 0.103, 0.223, 0.849, 0.513, 0.913, 0.918]"
92,"[0.913, 0.911, 0.551, 0.528, 0.094, 0.102, 0.878, 0.266, 0.919, 0.91]"
93,"[0.913, 0.913, 0.671, 0.672, 0.103, 0.268, 0.876, 0.469, 0.915, 0.917]"
94,"[0.913, 0.915, 0.531, 0.38, 0.159, 0.102, 0.863, 0.239, 0.911, 0.914]"
95,"[0.916, 0.913, 0.782, 0.623, 0.104, 0.202, 0.864, 0.447, 0.916, 0.91]"
96,"[0.917, 0.913, 0.597, 0.51, 0.145, 0.102, 0.882, 0.168, 0.92, 0.915]"
97,"[0.915, 0.914, 0.603, 0.565, 0.114, 0.105, 0.884, 0.49, 0.916, 0.906]"
98,"[0.916, 0.912, 0.63, 0.568, 0.094, 0.102, 0.874, 0.317, 0.912, 0.914]"
99,"[0.918, 0.913, 0.755, 0.584, 0.104, 0.209, 0.856, 0.514, 0.913, 0.916]"
closeness_centrality,[]
0,"[0.702, 0.702, 0.703, 0.589, 0.41, 0.286, 0.749, 0.627, 0.728, 0.724]"
1,"[0.697, 0.75, 0.742, 0.691, 0.361, 0.619, 0.747, 0.286, 0.696, 0.709]"
2,"[0.703, 0.74, 0.533, 0.443, 0.297, 0.259, 0.757, 0.522, 0.737, 0.751]"
3,"[0.73, 0.748, 0.704, 0.74, 0.352, 0.125, 0.798, 0.699, 0.767, 0.742]"
4,"[0.769, 0.78, 0.672, 0.506, 0.11, 0.135, 0.756, 0.595, 0.802, 0.786]"
5,"[0.761, 0.802, 0.794, 0.663, 0.141, 0.107, 0.821, 0.61, 0.803, 0.765]"
6,"[0.795, 0.814, 0.657, 0.611, 0.11, 0.212, 0.795, 0.53, 0.815, 0.792]"
7,"[0.774, 0.829, 0.726, 0.623, 0.11, 0.272, 0.784, 0.491, 0.815, 0.809]"
8,"[0.828, 0.835, 0.689, 0.611, 0.11, 0.169, 0.837, 0.387, 0.837, 0.821]"
9,"[0.813, 0.842, 0.787, 0.732, 0.087, 0.207, 0.851, 0.373, 0.825, 0.824]"
10,"[0.849, 0.845, 0.691, 0.64, 0.11, 0.147, 0.807, 0.585, 0.845, 0.826]"
11,"[0.839, 0.842, 0.549, 0.607, 0.104, 0.249, 0.847, 0.522, 0.835, 0.84]"
12,"[0.849, 0.856, 0.743, 0.606, 0.134, 0.206, 0.826, 0.415, 0.836, 0.839]"
13,"[0.856, 0.852, 0.642, 0.511, 0.149, 0.167, 0.827, 0.336, 0.84, 0.842]"
14,"[0.872, 0.857, 0.671, 0.686, 0.192, 0.102, 0.85, 0.563, 0.846, 0.839]"
15,"[0.869, 0.858, 0.59, 0.664, 0.156, 0.199, 0.838, 0.423, 0.864, 0.85]"
16,"[0.872, 0.864, 0.684, 0.621, 0.094, 0.192, 0.852, 0.584, 0.86, 0.854]"
17,"[0.877, 0.867, 0.657, 0.405, 0.136, 0.207, 0.856, 0.301, 0.866, 0.856]"
18,"[0.876, 0.875, 0.667, 0.691, 0.091, 0.102, 0.834, 0.33, 0.869, 0.851]"
19,"[0.887, 0.87, 0.66, 0.713, 0.103, 0.194, 0.841, 0.534, 0.867, 0.865]"
20,"[0.887, 0.872, 0.678, 0.594, 0.094, 0.102, 0.864, 0.381, 0.864, 0.866]"
21,"[0.888, 0.872, 0.747, 0.731, 0.103, 0.108, 0.86, 0.353, 0.875, 0.865]"
22,"[0.893, 0.869, 0.694, 0.688, 0.103, 0.119, 0.852, 0.178, 0.876, 0.871]"
23,"[0.896, 0.877, 0.684, 0.692, 0.103, 0.108, 0.852, 0.134, 0.877, 0.859]"
24,"[0.889, 0.876, 0.666, 0.683, 0.112, 0.108, 0.866, 0.421, 0.874, 0.87]"
25,"[0.899, 0.88, 0.675, 0.481, 0.103, 0.108, 0.86, 0.355, 0.881, 0.87]"
26,"[0.894, 0.878, 0.611, 0.666, 0.104, 0.102, 0.864, 0.327, 0.881, 0.857]"
27,"[0.893, 0.88, 0.797, 0.724, 0.103, 0.108, 0.86, 0.494, 0.892, 0.869]"
28,"[0.895, 0.883, 0.574, 0.643, 0.104, 0.102, 0.852, 0.289, 0.891, 0.87]"
29,"[0.896, 0.882, 0.713, 0.525, 0.103, 0.108, 0.864, 0.449, 0.89, 0.871]"
30,"[0.903, 0.877, 0.627, 0.633, 0.103, 0.107, 0.856, 0.338, 0.892, 0.883]"
31,"[0.895, 0.885, 0.753, 0.64, 0.135, 0.146, 0.879, 0.529, 0.899, 0.873]"
32,"[0.902, 0.878, 0.592, 0.493, 0.103, 0.071, 0.869, 0.34, 0.89, 0.883]"
33,"[0.898, 0.892, 0.662, 0.666, 0.103, 0.172, 0.87, 0.515, 0.896, 0.876]"
34,"[0.901, 0.885, 0.644, 0.584, 0.094, 0.152, 0.846, 0.33, 0.893, 0.881]"
35,"[0.898, 0.887, 0.734, 0.633, 0.103, 0.139, 0.869, 0.411, 0.892, 0.883]"
36,"[0.902, 0.889, 0.656, 0.538, 0.094, 0.102, 0.855, 0.363, 0.896, 0.889]"
37,"[0.9, 0.886, 0.763, 0.549, 0.103, 0.112, 0.849, 0.562, 0.887, 0.885]"
38,"[0.905, 0.894, 0.647, 0.418, 0.103, 0.102, 0.855, 0.403, 0.893, 0.888]"
39,"[0.896, 0.886, 0.789, 0.614, 0.103, 0.179, 0.86, 0.426, 0.891, 0.88]"
40,"[0.903, 0.891, 0.622, 0.472, 0.103, 0.102, 0.876, 0.416, 0.895, 0.893]"
41,"[0.898, 0.891, 0.648, 0.692, 0.214, 0.108, 0.855, 0.385, 0.899, 0.888]"
42,"[0.902, 0.896, 0.655, 0.621, 0.103, 0.108, 0.848, 0.213, 0.901, 0.887]"
43,"[0.905, 0.891, 0.757, 0.536, 0.104, 0.254, 0.872, 0.379, 0.898, 0.895]"
44,"[0.902, 0.899, 0.611, 0.713, 0.103, 0.108, 0.86, 0.424, 0.897, 0.892]"
45,"[0.902, 0.894, 0.732, 0.723, 0.11, 0.368, 0.868, 0.596, 0.902, 0.889]"
46,"[0.907, 0.892, 0.73, 0.579, 0.211, 0.142, 0.863, 0.409, 0.899, 0.895]"
47,"[0.903, 0.895, 0.786, 0.666, 0.103, 0.194, 0.845, 0.324, 0.896, 0.898]"
48,"[0.906, 0.898, 0.695, 0.562, 0.193, 0.086, 0.876, 0.305, 0.905, 0.899]"
49,"[0.906, 0.892, 0.698, 0.603, 0.152, 0.267, 0.867, 0.273, 0.9, 0.901]"
50,"[0.913, 0.896, 0.677, 0.673, 0.103, 0.133, 0.85, 0.416, 0.896, 0.897]"
51,"[0.906, 0.895, 0.686, 0.745, 0.103, 0.199, 0.872, 0.523, 0.903, 0.889]"
52,"[0.91, 0.897, 0.77, 0.549, 0.104, 0.127, 0.856, 0.483, 0.902, 0.896]"
