in_deg_centrality,[1.]
0,"[0.248, 0.291, 0.206, 0.276, 0.194, 0.226, 0.286, 0.295, 0.234, 0.289]"
1,"[0.248, 0.295, 0.202, 0.271, 0.224, 0.211, 0.284, 0.298, 0.304, 0.28]"
2,"[0.246, 0.295, 0.203, 0.275, 0.22, 0.217, 0.285, 0.302, 0.31, 0.289]"
3,"[0.25, 0.293, 0.202, 0.277, 0.2, 0.224, 0.289, 0.299, 0.309, 0.284]"
4,"[0.251, 0.293, 0.203, 0.272, 0.195, 0.236, 0.285, 0.302, 0.308, 0.285]"
5,"[0.25, 0.294, 0.203, 0.27, 0.207, 0.227, 0.289, 0.302, 0.308, 0.292]"
6,"[0.251, 0.295, 0.203, 0.276, 0.231, 0.236, 0.285, 0.305, 0.308, 0.289]"
7,"[0.247, 0.293, 0.203, 0.276, 0.254, 0.246, 0.289, 0.305, 0.308, 0.278]"
8,"[0.251, 0.295, 0.205, 0.276, 0.247, 0.254, 0.286, 0.311, 0.31, 0.289]"
9,"[0.249, 0.295, 0.203, 0.271, 0.263, 0.276, 0.294, 0.326, 0.311, 0.293]"
10,"[0.251, 0.295, 0.202, 0.273, 0.253, 0.318, 0.287, 0.328, 0.311, 0.277]"
11,"[0.254, 0.306, 0.204, 0.275, 0.38, 0.285, 0.291, 0.337, 0.311, 0.289]"
12,"[0.25, 0.305, 0.219, 0.274, 0.257, 0.341, 0.292, 0.333, 0.311, 0.293]"
13,"[0.252, 0.367, 0.205, 0.274, 0.327, 0.329, 0.292, 0.346, 0.311, 0.294]"
14,"[0.254, 0.363, 0.206, 0.274, 0.257, 0.353, 0.294, 0.333, 0.31, 0.291]"
15,"[0.252, 0.391, 0.204, 0.276, 0.333, 0.347, 0.295, 0.359, 0.311, 0.294]"
16,"[0.249, 0.387, 0.205, 0.276, 0.257, 0.385, 0.291, 0.343, 0.311, 0.295]"
17,"[0.251, 0.397, 0.209, 0.276, 0.329, 0.347, 0.291, 0.353, 0.311, 0.281]"
18,"[0.258, 0.388, 0.205, 0.278, 0.241, 0.368, 0.293, 0.364, 0.312, 0.293]"
19,"[0.259, 0.4, 0.205, 0.276, 0.396, 0.385, 0.298, 0.365, 0.312, 0.288]"
20,"[0.253, 0.388, 0.206, 0.275, 0.261, 0.38, 0.295, 0.359, 0.312, 0.294]"
21,"[0.254, 0.4, 0.208, 0.276, 0.344, 0.38, 0.296, 0.361, 0.312, 0.294]"
22,"[0.261, 0.399, 0.203, 0.275, 0.244, 0.427, 0.293, 0.361, 0.311, 0.296]"
23,"[0.251, 0.407, 0.212, 0.279, 0.396, 0.378, 0.297, 0.361, 0.311, 0.275]"
24,"[0.255, 0.396, 0.208, 0.274, 0.251, 0.395, 0.298, 0.361, 0.312, 0.295]"
25,"[0.257, 0.404, 0.212, 0.28, 0.455, 0.41, 0.297, 0.36, 0.105, 0.296]"
26,"[0.262, 0.391, 0.202, 0.274, 0.251, 0.408, 0.295, 0.353, 0.104, 0.292]"
27,"[0.26, 0.418, 0.205, 0.278, 0.366, 0.4, 0.294, 0.365, 0.143, 0.29]"
28,"[0.257, 0.406, 0.207, 0.278, 0.264, 0.405, 0.296, 0.365, 0.181, 0.29]"
29,"[0.26, 0.409, 0.214, 0.279, 0.436, 0.414, 0.296, 0.381, 0.23, 0.297]"
30,"[0.256, 0.385, 0.219, 0.277, 0.244, 0.412, 0.297, 0.365, 0.19, 0.294]"
31,"[0.258, 0.414, 0.213, 0.277, 0.342, 0.419, 0.297, 0.38, 0.266, 0.258]"
32,"[0.256, 0.393, 0.24, 0.279, 0.251, 0.404, 0.294, 0.363, 0.213, 0.291]"
33,"[0.262, 0.397, 0.21, 0.279, 0.445, 0.423, 0.297, 0.377, 0.173, 0.293]"
34,"[0.257, 0.367, 0.214, 0.279, 0.237, 0.435, 0.297, 0.396, 0.248, 0.291]"
35,"[0.259, 0.425, 0.217, 0.278, 0.359, 0.449, 0.294, 0.368, 0.233, 0.291]"
36,"[0.257, 0.346, 0.225, 0.275, 0.26, 0.393, 0.295, 0.358, 0.166, 0.289]"
37,"[0.257, 0.407, 0.226, 0.28, 0.467, 0.416, 0.29, 0.364, 0.184, 0.294]"
38,"[0.262, 0.386, 0.222, 0.281, 0.256, 0.438, 0.295, 0.388, 0.226, 0.282]"
39,"[0.259, 0.402, 0.212, 0.279, 0.419, 0.391, 0.297, 0.363, 0.275, 0.288]"
40,"[0.258, 0.401, 0.222, 0.28, 0.26, 0.459, 0.296, 0.392, 0.23, 0.273]"
41,"[0.256, 0.408, 0.235, 0.279, 0.471, 0.414, 0.296, 0.357, 0.291, 0.287]"
42,"[0.259, 0.405, 0.213, 0.28, 0.237, 0.421, 0.296, 0.402, 0.268, 0.28]"
43,"[0.261, 0.406, 0.231, 0.278, 0.484, 0.425, 0.296, 0.369, 0.436, 0.293]"
44,"[0.266, 0.39, 0.219, 0.287, 0.245, 0.437, 0.296, 0.372, 0.376, 0.294]"
45,"[0.259, 0.388, 0.213, 0.28, 0.49, 0.395, 0.295, 0.417, 0.423, 0.293]"
