eigenvector_centrality,"[9, 14]"
49,"[0.3316708229426434, 0.16, 0.17, 0.2425, 0.4425, 0.395, 0.245, 0.245, 0.32, 0.555, 0.17, 0.34, 0.1875, 0.3425, 0.4275, 0.18, 0.36, 0.2025, 0.1675, 0.2075, 0.3925, 0.3275, 0.34, 0.39, 0.49373433583959897]"
50,"[0.2593516209476309, 0.4475, 0.3575, 0.39, 0.2425, 0.09, 0.3225, 0.2575, 0.2775, 0.405, 0.345, 0.2325, 0.34, 0.4575, 0.605, 0.4475, 0.32, 0.43, 0.49, 0.415, 0.2275, 0.3425, 0.1825, 0.145, 0.18796992481203006]"
51,"[0.3516209476309227, 0.165, 0.1175, 0.23, 0.44, 0.4, 0.24, 0.2425, 0.325, 0.58, 0.1425, 0.3225, 0.1225, 0.3375, 0.4525, 0.18, 0.36, 0.1975, 0.165, 0.1775, 0.4, 0.305, 0.3625, 0.3925, 0.5112781954887218]"
52,"[0.22443890274314215, 0.4525, 0.3575, 0.405, 0.2475, 0.09, 0.325, 0.24, 0.2725, 0.4025, 0.3425, 0.24, 0.3475, 0.455, 0.59, 0.45, 0.315, 0.42, 0.5, 0.4225, 0.205, 0.3425, 0.125, 0.1125, 0.18045112781954886]"
53,"[0.36658354114713215, 0.175, 0.095, 0.215, 0.4475, 0.4075, 0.2375, 0.2475, 0.325, 0.575, 0.1125, 0.32, 0.11, 0.32, 0.465, 0.18, 0.3525, 0.2025, 0.16, 0.1425, 0.3975, 0.2625, 0.37, 0.3925, 0.518796992481203]"
54,"[0.20698254364089774, 0.465, 0.35, 0.4225, 0.2375, 0.09, 0.34, 0.2075, 0.275, 0.4025, 0.35, 0.23, 0.3625, 0.4475, 0.5875, 0.45, 0.3, 0.41, 0.5025, 0.4225, 0.15, 0.3325, 0.1075, 0.11, 0.17543859649122806]"
55,"[0.371571072319202, 0.1775, 0.095, 0.1775, 0.4525, 0.415, 0.225, 0.29, 0.34, 0.5675, 0.11, 0.3125, 0.1075, 0.315, 0.4625, 0.1775, 0.34, 0.2025, 0.15, 0.115, 0.41, 0.255, 0.375, 0.3925, 0.5213032581453634]"
56,"[0.14463840399002495, 0.4625, 0.3625, 0.4275, 0.2325, 0.09, 0.35, 0.175, 0.275, 0.4025, 0.3525, 0.2325, 0.37, 0.4475, 0.5625, 0.465, 0.305, 0.41, 0.51, 0.4175, 0.1225, 0.335, 0.1025, 0.11, 0.17293233082706766]"
57,"[0.3740648379052369, 0.18, 0.095, 0.1275, 0.4525, 0.4175, 0.1975, 0.335, 0.34, 0.5525, 0.11, 0.3075, 0.1075, 0.3075, 0.47, 0.1775, 0.3375, 0.2025, 0.15, 0.1, 0.4, 0.245, 0.3825, 0.4075, 0.5238095238095238]"
58,"[0.12219451371571072, 0.4625, 0.3675, 0.4425, 0.22, 0.09, 0.37, 0.125, 0.2725, 0.4, 0.35, 0.2475, 0.3825, 0.44, 0.5375, 0.475, 0.31, 0.4, 0.5125, 0.4225, 0.11, 0.335, 0.1, 0.115, 0.17543859649122806]"
59,"[0.3740648379052369, 0.1875, 0.095, 0.1025, 0.4475, 0.4175, 0.1575, 0.345, 0.355, 0.5725, 0.11, 0.2975, 0.1075, 0.2975, 0.49, 0.17, 0.3175, 0.2025, 0.15, 0.09, 0.4125, 0.2225, 0.39, 0.41, 0.5238095238095238]"
60,"[0.11970074812967581, 0.48, 0.37, 0.45, 0.2125, 0.09, 0.3675, 0.1175, 0.26, 0.4, 0.36, 0.2675, 0.39, 0.435, 0.51, 0.4825, 0.3125, 0.395, 0.515, 0.425, 0.105, 0.345, 0.0975, 0.125, 0.17293233082706766]"
