eigenvector_centrality,"[0, 15]"
30,"[0.5660847880299252, 0.41, 0.4, 0.3525, 0.4125, 0.325, 0.28, 0.34, 0.285, 0.49, 0.29, 0.3725, 0.365, 0.32, 0.325, 0.465, 0.315, 0.405, 0.325, 0.3425, 0.44, 0.4475, 0.335, 0.32, 0.3458646616541353]"
31,"[0.3765586034912718, 0.4625, 0.455, 0.2925, 0.3825, 0.31, 0.3175, 0.415, 0.3075, 0.31, 0.3475, 0.39, 0.335, 0.33, 0.39, 0.4525, 0.4, 0.4125, 0.4025, 0.3675, 0.46, 0.3375, 0.3975, 0.37, 0.3458646616541353]"
32,"[0.5386533665835411, 0.37, 0.3725, 0.28, 0.3825, 0.305, 0.27, 0.3325, 0.325, 0.4975, 0.3275, 0.365, 0.3875, 0.32, 0.3575, 0.3825, 0.315, 0.37, 0.34, 0.355, 0.42, 0.415, 0.365, 0.325, 0.37092731829573933]"
33,"[0.3566084788029925, 0.4775, 0.3575, 0.185, 0.3025, 0.3675, 0.3375, 0.4575, 0.305, 0.2375, 0.3325, 0.4075, 0.3325, 0.3425, 0.3675, 0.5025, 0.38, 0.425, 0.405, 0.3575, 0.4, 0.285, 0.3875, 0.33, 0.3533834586466165]"
34,"[0.49625935162094764, 0.3725, 0.385, 0.2725, 0.37, 0.27, 0.2875, 0.295, 0.3525, 0.4625, 0.4025, 0.3575, 0.4125, 0.33, 0.3825, 0.4, 0.205, 0.295, 0.2975, 0.345, 0.41, 0.345, 0.4225, 0.245, 0.40852130325814534]"
35,"[0.3740648379052369, 0.4575, 0.28, 0.1725, 0.225, 0.37, 0.3425, 0.4925, 0.3, 0.175, 0.325, 0.3775, 0.3075, 0.35, 0.365, 0.5125, 0.36, 0.4125, 0.4025, 0.3875, 0.31, 0.27, 0.3875, 0.3275, 0.3483709273182957]"
36,"[0.5236907730673317, 0.3125, 0.385, 0.2825, 0.37, 0.245, 0.2425, 0.255, 0.3725, 0.4425, 0.41, 0.3625, 0.4075, 0.2675, 0.3725, 0.395, 0.1525, 0.24, 0.2375, 0.3475, 0.3875, 0.31, 0.4675, 0.1425, 0.39849624060150374]"
37,"[0.3865336658354115, 0.47, 0.2025, 0.185, 0.165, 0.3575, 0.34, 0.52, 0.29, 0.145, 0.27, 0.29, 0.26, 0.34, 0.355, 0.5325, 0.3275, 0.4125, 0.395, 0.38, 0.2625, 0.2325, 0.375, 0.3325, 0.3408521303258145]"
38,"[0.5236907730673317, 0.2025, 0.38, 0.285, 0.3725, 0.27, 0.25, 0.19, 0.355, 0.4825, 0.365, 0.3575, 0.39, 0.2325, 0.3475, 0.4, 0.1525, 0.2, 0.19, 0.335, 0.3725, 0.3125, 0.49, 0.145, 0.2781954887218045]"
39,"[0.39900249376558605, 0.535, 0.2025, 0.2, 0.1425, 0.3275, 0.3, 0.535, 0.2625, 0.1325, 0.2, 0.22, 0.1125, 0.345, 0.315, 0.53, 0.3575, 0.4125, 0.405, 0.3675, 0.25, 0.2125, 0.3, 0.335, 0.3007518796992481]"
40,"[0.5311720698254364, 0.16, 0.35, 0.2725, 0.3425, 0.1275, 0.1725, 0.1825, 0.365, 0.5075, 0.3375, 0.3525, 0.3525, 0.1375, 0.345, 0.4075, 0.13, 0.1825, 0.195, 0.27, 0.36, 0.3125, 0.4975, 0.14, 0.24310776942355888]"
