eigenvector_centrality,[ 0 18  7 19]
20,"[tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0043, device='cuda:4')]"
21,"[tensor(0.0040, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4')]"
22,"[tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0043, device='cuda:4')]"
23,"[tensor(0.0040, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4')]"
24,"[tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0043, device='cuda:4')]"
25,"[tensor(0.0040, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4')]"
26,"[tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4')]"
27,"[tensor(0.0040, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4')]"
28,"[tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4')]"
29,"[tensor(0.0040, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4')]"
