eigenvector_centrality,[23  5]
10,"[0.2817955112219451, 0.3325, 0.3725, 0.3975, 0.3425, 0.3725, 0.3825, 0.38, 0.335, 0.3675, 0.375, 0.3525, 0.325, 0.445, 0.345, 0.3625, 0.34, 0.3525, 0.3125, 0.2525, 0.4225, 0.3975, 0.32, 0.3675, 0.2731829573934837]"
11,"[0.428927680798005, 0.4775, 0.4125, 0.4025, 0.3225, 0.3575, 0.4075, 0.22, 0.51, 0.4925, 0.385, 0.45, 0.395, 0.3625, 0.255, 0.395, 0.51, 0.37, 0.475, 0.415, 0.42, 0.4375, 0.455, 0.3675, 0.43358395989974935]"
12,"[0.456359102244389, 0.505, 0.4225, 0.5325, 0.395, 0.4875, 0.3375, 0.3425, 0.3325, 0.5125, 0.525, 0.42, 0.3175, 0.3425, 0.375, 0.4, 0.4125, 0.4575, 0.235, 0.22, 0.5225, 0.47, 0.365, 0.37, 0.3132832080200501]"
13,"[0.4538653366583541, 0.415, 0.39, 0.4325, 0.35, 0.3025, 0.2825, 0.135, 0.2975, 0.4875, 0.405, 0.4475, 0.365, 0.2075, 0.3425, 0.39, 0.37, 0.31, 0.3325, 0.3675, 0.3025, 0.3375, 0.505, 0.43, 0.3583959899749373]"
14,"[0.34413965087281795, 0.365, 0.4175, 0.4975, 0.3075, 0.4275, 0.325, 0.325, 0.2, 0.4525, 0.3525, 0.265, 0.24, 0.3425, 0.36, 0.2325, 0.1875, 0.44, 0.2575, 0.18, 0.4075, 0.345, 0.3975, 0.3525, 0.3583959899749373]"
15,"[0.3865336658354115, 0.3025, 0.4375, 0.3125, 0.3375, 0.285, 0.3125, 0.1475, 0.2975, 0.415, 0.3175, 0.3775, 0.355, 0.215, 0.3575, 0.375, 0.3225, 0.3275, 0.3075, 0.38, 0.2625, 0.25, 0.4625, 0.435, 0.3132832080200501]"
16,"[0.36658354114713215, 0.34, 0.425, 0.385, 0.2975, 0.3825, 0.365, 0.295, 0.2825, 0.3825, 0.3225, 0.2425, 0.265, 0.3175, 0.395, 0.1725, 0.175, 0.3975, 0.275, 0.225, 0.3625, 0.3475, 0.405, 0.3775, 0.3684210526315789]"
17,"[0.3640897755610973, 0.345, 0.53, 0.325, 0.3275, 0.2975, 0.3125, 0.1475, 0.3225, 0.4125, 0.315, 0.345, 0.355, 0.22, 0.3725, 0.34, 0.32, 0.38, 0.37, 0.37, 0.25, 0.305, 0.4725, 0.4575, 0.3283208020050125]"
18,"[0.30174563591022446, 0.3625, 0.375, 0.395, 0.2575, 0.3925, 0.355, 0.27, 0.3325, 0.4075, 0.305, 0.2825, 0.3475, 0.3075, 0.395, 0.2425, 0.22, 0.4175, 0.2675, 0.2575, 0.3575, 0.2825, 0.4025, 0.4375, 0.40350877192982454]"
19,"[0.3640897755610973, 0.3425, 0.4225, 0.3675, 0.345, 0.305, 0.285, 0.2475, 0.3575, 0.4175, 0.3325, 0.3475, 0.325, 0.2325, 0.4175, 0.3525, 0.325, 0.3425, 0.3525, 0.3775, 0.2525, 0.2425, 0.5, 0.4375, 0.2932330827067669]"
20,"[0.2942643391521197, 0.3625, 0.33, 0.4, 0.2275, 0.42, 0.3575, 0.27, 0.345, 0.45, 0.2875, 0.315, 0.305, 0.295, 0.3825, 0.275, 0.24, 0.4625, 0.3175, 0.2825, 0.36, 0.2875, 0.4225, 0.43, 0.3684210526315789]"
21,"[0.3640897755610973, 0.285, 0.3925, 0.3575, 0.375, 0.3375, 0.3325, 0.2175, 0.4075, 0.475, 0.2325, 0.36, 0.365, 0.3025, 0.415, 0.3675, 0.3125, 0.4025, 0.3975, 0.3525, 0.26, 0.2275, 0.4825, 0.3875, 0.2882205513784461]"
22,"[0.3266832917705736, 0.365, 0.325, 0.4, 0.27, 0.45, 0.3875, 0.2675, 0.325, 0.45, 0.295, 0.31, 0.34, 0.3125, 0.4, 0.29, 0.3075, 0.3525, 0.395, 0.3575, 0.385, 0.2975, 0.4075, 0.395, 0.37593984962406013]"
23,"[0.3690773067331671, 0.3775, 0.3775, 0.3675, 0.375, 0.39, 0.3975, 0.2525, 0.4275, 0.475, 0.2325, 0.3625, 0.3925, 0.2775, 0.42, 0.3725, 0.32, 0.415, 0.3775, 0.4, 0.265, 0.27, 0.4325, 0.405, 0.3082706766917293]"
24,"[0.3865336658354115, 0.4075, 0.355, 0.4, 0.3425, 0.4825, 0.4125, 0.285, 0.3925, 0.455, 0.32, 0.3225, 0.39, 0.3025, 0.385, 0.305, 0.3225, 0.345, 0.395, 0.34, 0.42, 0.3375, 0.3975, 0.37, 0.40601503759398494]"
25,"[0.3915211970074813, 0.3725, 0.4075, 0.3675, 0.355, 0.505, 0.415, 0.3125, 0.3875, 0.4725, 0.2975, 0.385, 0.415, 0.2225, 0.3925, 0.39, 0.33, 0.4, 0.38, 0.405, 0.32, 0.3575, 0.45, 0.4925, 0.3333333333333333]"
26,"[0.4463840399002494, 0.4325, 0.4075, 0.4025, 0.365, 0.51, 0.445, 0.31, 0.3725, 0.41, 0.37, 0.4175, 0.45, 0.325, 0.4225, 0.3925, 0.385, 0.3075, 0.37, 0.3475, 0.3975, 0.3325, 0.4075, 0.5525, 0.47117794486215536]"
27,"[0.41895261845386533, 0.39, 0.425, 0.3725, 0.3175, 0.545, 0.4275, 0.4175, 0.3475, 0.435, 0.385, 0.3775, 0.45, 0.275, 0.4025, 0.3875, 0.3575, 0.3925, 0.3875, 0.4175, 0.3375, 0.335, 0.4475, 0.5775, 0.3659147869674185]"
28,"[0.486284289276808, 0.4225, 0.3375, 0.4325, 0.34, 0.495, 0.415, 0.3, 0.31, 0.435, 0.37, 0.4525, 0.5025, 0.345, 0.43, 0.3625, 0.39, 0.3075, 0.365, 0.415, 0.4, 0.31, 0.43, 0.4825, 0.41854636591478694]"
29,"[0.4014962593516209, 0.41, 0.45, 0.3875, 0.3275, 0.355, 0.4225, 0.3925, 0.35, 0.41, 0.38, 0.3975, 0.47, 0.3125, 0.4275, 0.4125, 0.3925, 0.3675, 0.4025, 0.335, 0.34, 0.3275, 0.4625, 0.33, 0.39598997493734334]"
30,"[0.49875311720698257, 0.4125, 0.355, 0.4275, 0.32, 0.375, 0.395, 0.28, 0.31, 0.4225, 0.34, 0.46, 0.4875, 0.345, 0.45, 0.38, 0.435, 0.3175, 0.37, 0.4025, 0.3675, 0.2875, 0.425, 0.3725, 0.43107769423558895]"
31,"[0.4114713216957606, 0.4075, 0.4625, 0.3925, 0.355, 0.495, 0.45, 0.395, 0.3675, 0.3825, 0.3575, 0.3775, 0.49, 0.3725, 0.4575, 0.3925, 0.3425, 0.355, 0.4175, 0.31, 0.345, 0.32, 0.435, 0.3775, 0.39598997493734334]"
32,"[0.46633416458852867, 0.4275, 0.4175, 0.4225, 0.3825, 0.4175, 0.4075, 0.3025, 0.365, 0.3925, 0.285, 0.44, 0.4775, 0.3225, 0.4075, 0.3575, 0.42, 0.325, 0.375, 0.4175, 0.32, 0.2925, 0.385, 0.355, 0.43107769423558895]"
33,"[0.40648379052369077, 0.38, 0.4075, 0.375, 0.3775, 0.47, 0.4175, 0.4275, 0.37, 0.3575, 0.3625, 0.3525, 0.4725, 0.3725, 0.4275, 0.3975, 0.325, 0.375, 0.41, 0.3, 0.34, 0.32, 0.4175, 0.425, 0.39849624060150374]"
34,"[0.3740648379052369, 0.435, 0.405, 0.4275, 0.4225, 0.4175, 0.42, 0.2925, 0.41, 0.365, 0.28, 0.4275, 0.435, 0.3075, 0.3975, 0.31, 0.42, 0.3475, 0.425, 0.4125, 0.3075, 0.2775, 0.3625, 0.36, 0.41102756892230574]"
35,"[0.4014962593516209, 0.3875, 0.3525, 0.3875, 0.3675, 0.5125, 0.3625, 0.395, 0.355, 0.3425, 0.355, 0.33, 0.4475, 0.365, 0.405, 0.4025, 0.3175, 0.4025, 0.3825, 0.29, 0.32, 0.3325, 0.4325, 0.4575, 0.44611528822055135]"
36,"[0.32169576059850374, 0.435, 0.395, 0.4275, 0.4025, 0.4075, 0.405, 0.275, 0.4075, 0.3675, 0.2775, 0.4, 0.385, 0.31, 0.3875, 0.2525, 0.3575, 0.3425, 0.4175, 0.4025, 0.295, 0.275, 0.345, 0.365, 0.3508771929824561]"
37,"[0.39650872817955113, 0.355, 0.35, 0.39, 0.365, 0.4725, 0.34, 0.37, 0.3475, 0.3275, 0.3375, 0.3325, 0.4475, 0.36, 0.4325, 0.4, 0.325, 0.405, 0.3325, 0.275, 0.2925, 0.33, 0.4075, 0.4575, 0.49122807017543857]"
38,"[0.28428927680798005, 0.47, 0.34, 0.42, 0.4025, 0.4025, 0.4225, 0.2725, 0.385, 0.3825, 0.275, 0.355, 0.2925, 0.315, 0.46, 0.2125, 0.2975, 0.3225, 0.3875, 0.385, 0.285, 0.2725, 0.3275, 0.3825, 0.3208020050125313]"
39,"[0.4463840399002494, 0.3025, 0.3425, 0.32, 0.325, 0.485, 0.2925, 0.3325, 0.325, 0.3125, 0.31, 0.36, 0.525, 0.3275, 0.43, 0.3825, 0.3325, 0.405, 0.32, 0.265, 0.3025, 0.3475, 0.4075, 0.4675, 0.45614035087719296]"
40,"[0.26433915211970077, 0.5, 0.2525, 0.4175, 0.4225, 0.3825, 0.48, 0.3175, 0.3675, 0.4075, 0.275, 0.285, 0.275, 0.3275, 0.4975, 0.1875, 0.2525, 0.335, 0.3875, 0.3675, 0.28, 0.2725, 0.3275, 0.3875, 0.2832080200501253]"
41,"[0.4688279301745636, 0.25, 0.3525, 0.2125, 0.31, 0.505, 0.28, 0.24, 0.3425, 0.275, 0.27, 0.3675, 0.49, 0.275, 0.3075, 0.3825, 0.35, 0.4025, 0.33, 0.255, 0.3025, 0.36, 0.4225, 0.46, 0.43107769423558895]"
42,"[0.24688279301745636, 0.5275, 0.23, 0.41, 0.385, 0.3575, 0.46, 0.3975, 0.3825, 0.4325, 0.2625, 0.2725, 0.2725, 0.31, 0.425, 0.21, 0.2325, 0.265, 0.39, 0.3275, 0.265, 0.2575, 0.3125, 0.3825, 0.2581453634085213]"
43,"[0.456359102244389, 0.27, 0.4075, 0.1575, 0.2925, 0.58, 0.25, 0.23, 0.41, 0.2775, 0.2725, 0.3775, 0.4875, 0.2725, 0.295, 0.405, 0.3975, 0.395, 0.34, 0.26, 0.3325, 0.3625, 0.4275, 0.5125, 0.42355889724310775]"
44,"[0.26184538653366585, 0.5075, 0.2125, 0.415, 0.38, 0.36, 0.4025, 0.465, 0.38, 0.4375, 0.2575, 0.3025, 0.2825, 0.305, 0.4125, 0.225, 0.2275, 0.2175, 0.3925, 0.2675, 0.2525, 0.2525, 0.2775, 0.385, 0.2531328320802005]"
45,"[0.4713216957605985, 0.2575, 0.4175, 0.17, 0.215, 0.5775, 0.2425, 0.2375, 0.4425, 0.29, 0.2625, 0.355, 0.465, 0.2725, 0.2825, 0.43, 0.4, 0.405, 0.35, 0.295, 0.34, 0.36, 0.4225, 0.515, 0.40601503759398494]"
46,"[0.2743142144638404, 0.5225, 0.21, 0.455, 0.3875, 0.3625, 0.365, 0.4775, 0.3625, 0.41, 0.235, 0.3075, 0.2775, 0.3, 0.385, 0.2275, 0.2275, 0.1775, 0.41, 0.245, 0.255, 0.2775, 0.2675, 0.3875, 0.2506265664160401]"
47,"[0.46633416458852867, 0.25, 0.4175, 0.165, 0.1975, 0.5075, 0.235, 0.2375, 0.39, 0.2975, 0.275, 0.3275, 0.43, 0.2825, 0.2425, 0.44, 0.39, 0.4225, 0.325, 0.2875, 0.3425, 0.35, 0.415, 0.515, 0.41102756892230574]"
48,"[0.2817955112219451, 0.52, 0.2075, 0.45, 0.3675, 0.3825, 0.365, 0.495, 0.39, 0.3625, 0.2525, 0.31, 0.285, 0.2775, 0.38, 0.2175, 0.22, 0.1725, 0.435, 0.245, 0.2775, 0.305, 0.28, 0.3875, 0.24812030075187969]"
49,"[0.44389027431421446, 0.25, 0.3775, 0.165, 0.1875, 0.5125, 0.2325, 0.255, 0.3375, 0.32, 0.315, 0.2725, 0.3925, 0.29, 0.235, 0.455, 0.36, 0.415, 0.2575, 0.2825, 0.3525, 0.365, 0.4175, 0.5025, 0.43107769423558895]"
50,"[0.26932668329177056, 0.5275, 0.2125, 0.4275, 0.3675, 0.35, 0.38, 0.495, 0.495, 0.3275, 0.285, 0.315, 0.2875, 0.2475, 0.3725, 0.2, 0.2325, 0.165, 0.4825, 0.2325, 0.2775, 0.27, 0.2725, 0.4, 0.2506265664160401]"
51,"[0.40648379052369077, 0.2375, 0.3175, 0.1575, 0.1975, 0.52, 0.2175, 0.2825, 0.3225, 0.355, 0.3375, 0.2325, 0.3725, 0.3025, 0.22, 0.415, 0.335, 0.42, 0.26, 0.265, 0.3775, 0.42, 0.405, 0.49, 0.43107769423558895]"
52,"[0.26683291770573564, 0.49, 0.215, 0.4325, 0.35, 0.3375, 0.3775, 0.48, 0.4575, 0.33, 0.2925, 0.3425, 0.3075, 0.2175, 0.3725, 0.22, 0.25, 0.1675, 0.4675, 0.2325, 0.2725, 0.24, 0.28, 0.385, 0.2656641604010025]"
53,"[0.4114713216957606, 0.2225, 0.26, 0.1525, 0.1925, 0.57, 0.2125, 0.2875, 0.315, 0.395, 0.3725, 0.2425, 0.34, 0.3425, 0.2075, 0.3625, 0.305, 0.41, 0.26, 0.24, 0.3875, 0.46, 0.455, 0.445, 0.38345864661654133]"
54,"[0.2817955112219451, 0.4575, 0.2225, 0.4475, 0.3125, 0.345, 0.4, 0.4675, 0.4175, 0.3075, 0.2675, 0.33, 0.325, 0.2075, 0.3375, 0.2375, 0.275, 0.1525, 0.4575, 0.2625, 0.2175, 0.235, 0.27, 0.3825, 0.2631578947368421]"
55,"[0.428927680798005, 0.23, 0.2575, 0.155, 0.19, 0.4975, 0.2075, 0.295, 0.315, 0.425, 0.4175, 0.2875, 0.3125, 0.415, 0.2025, 0.305, 0.3, 0.4075, 0.235, 0.2475, 0.4025, 0.46, 0.44, 0.44, 0.37593984962406013]"
56,"[0.2743142144638404, 0.415, 0.2325, 0.42, 0.3175, 0.35, 0.41, 0.415, 0.395, 0.275, 0.255, 0.355, 0.3175, 0.155, 0.3275, 0.26, 0.3025, 0.1525, 0.435, 0.33, 0.21, 0.23, 0.26, 0.35, 0.2731829573934837]"
57,"[0.4513715710723192, 0.2425, 0.2475, 0.1575, 0.1875, 0.5275, 0.1925, 0.3075, 0.3125, 0.4675, 0.42, 0.2775, 0.245, 0.3775, 0.2075, 0.24, 0.335, 0.4075, 0.23, 0.23, 0.435, 0.44, 0.4575, 0.3225, 0.37844611528822053]"
58,"[0.26433915211970077, 0.3625, 0.2525, 0.41, 0.3225, 0.355, 0.3775, 0.3625, 0.37, 0.24, 0.255, 0.4275, 0.395, 0.225, 0.3075, 0.2825, 0.325, 0.155, 0.4075, 0.39, 0.2, 0.2125, 0.2575, 0.3675, 0.2932330827067669]"
59,"[0.40399002493765584, 0.2575, 0.2075, 0.16, 0.18, 0.5325, 0.1925, 0.33, 0.305, 0.45, 0.3875, 0.27, 0.2725, 0.37, 0.205, 0.23, 0.3575, 0.39, 0.225, 0.2475, 0.4025, 0.43, 0.44, 0.36, 0.39849624060150374]"
60,"[0.2543640897755611, 0.3325, 0.305, 0.365, 0.32, 0.35, 0.3675, 0.3625, 0.355, 0.23, 0.2475, 0.415, 0.3675, 0.2375, 0.3325, 0.3625, 0.3675, 0.1575, 0.3675, 0.44, 0.1925, 0.2175, 0.255, 0.4325, 0.2631578947368421]"
61,"[0.3690773067331671, 0.2925, 0.195, 0.1575, 0.1775, 0.5025, 0.2, 0.305, 0.3075, 0.435, 0.37, 0.24, 0.2775, 0.36, 0.2325, 0.175, 0.3025, 0.3725, 0.215, 0.235, 0.3575, 0.42, 0.4275, 0.3675, 0.41353383458646614]"
62,"[0.24937655860349128, 0.32, 0.415, 0.3575, 0.3375, 0.37, 0.35, 0.4075, 0.34, 0.2225, 0.245, 0.42, 0.3775, 0.2275, 0.3625, 0.4875, 0.395, 0.1425, 0.375, 0.3825, 0.18, 0.2175, 0.2475, 0.455, 0.2506265664160401]"
63,"[0.3516209476309227, 0.325, 0.195, 0.1575, 0.195, 0.5125, 0.225, 0.2825, 0.2925, 0.43, 0.3525, 0.225, 0.265, 0.36, 0.23, 0.2, 0.295, 0.365, 0.22, 0.22, 0.345, 0.3925, 0.4225, 0.3225, 0.41854636591478694]"
64,"[0.23940149625935161, 0.2725, 0.4125, 0.3525, 0.3475, 0.3625, 0.3575, 0.405, 0.3025, 0.2275, 0.2475, 0.4, 0.38, 0.2275, 0.375, 0.3975, 0.3775, 0.1425, 0.365, 0.35, 0.18, 0.2225, 0.245, 0.4625, 0.24561403508771928]"
65,"[0.35910224438902744, 0.3675, 0.1725, 0.1575, 0.195, 0.51, 0.2275, 0.2775, 0.33, 0.4125, 0.335, 0.2225, 0.245, 0.3425, 0.235, 0.1825, 0.2925, 0.3575, 0.2225, 0.2225, 0.3475, 0.3775, 0.3975, 0.39, 0.40100250626566414]"
66,"[0.24189526184538654, 0.2325, 0.3925, 0.3375, 0.35, 0.3675, 0.4125, 0.44, 0.2875, 0.225, 0.245, 0.415, 0.4, 0.2275, 0.38, 0.36, 0.375, 0.1625, 0.3525, 0.3125, 0.18, 0.23, 0.2525, 0.4875, 0.23558897243107768]"
67,"[0.36658354114713215, 0.4775, 0.17, 0.1575, 0.2, 0.5225, 0.2075, 0.265, 0.455, 0.4025, 0.35, 0.215, 0.2375, 0.3475, 0.235, 0.1825, 0.275, 0.3525, 0.22, 0.2225, 0.3525, 0.38, 0.385, 0.4325, 0.40350877192982454]"
68,"[0.2344139650872818, 0.2225, 0.3625, 0.3275, 0.3425, 0.38, 0.405, 0.4475, 0.2625, 0.225, 0.2425, 0.37, 0.39, 0.2175, 0.3775, 0.36, 0.38, 0.19, 0.345, 0.3, 0.18, 0.23, 0.2625, 0.5775, 0.24060150375939848]"
69,"[0.34413965087281795, 0.4125, 0.17, 0.1575, 0.1875, 0.485, 0.21, 0.2625, 0.4475, 0.4, 0.335, 0.205, 0.2325, 0.3425, 0.23, 0.1825, 0.2675, 0.35, 0.215, 0.215, 0.3475, 0.3725, 0.3975, 0.41, 0.39097744360902253]"
70,"[0.22942643391521197, 0.215, 0.35, 0.3225, 0.355, 0.385, 0.395, 0.415, 0.25, 0.2275, 0.23, 0.35, 0.375, 0.2175, 0.3875, 0.3475, 0.395, 0.1925, 0.3375, 0.2825, 0.18, 0.2225, 0.265, 0.4775, 0.23809523809523808]"
71,"[0.32917705735660846, 0.4, 0.1675, 0.1625, 0.19, 0.475, 0.2125, 0.26, 0.4125, 0.395, 0.31, 0.205, 0.2225, 0.3425, 0.2375, 0.1825, 0.2575, 0.34, 0.21, 0.21, 0.36, 0.365, 0.3875, 0.4, 0.3583959899749373]"
72,"[0.22693266832917705, 0.2075, 0.3475, 0.335, 0.41, 0.4, 0.4025, 0.4, 0.2375, 0.2225, 0.2225, 0.325, 0.355, 0.2175, 0.3825, 0.34, 0.3875, 0.2025, 0.335, 0.29, 0.18, 0.2175, 0.26, 0.29, 0.24060150375939848]"
73,"[0.3192019950124688, 0.395, 0.165, 0.1625, 0.1925, 0.4675, 0.21, 0.2575, 0.4025, 0.3825, 0.3075, 0.2075, 0.22, 0.3525, 0.2375, 0.1825, 0.2525, 0.355, 0.21, 0.2125, 0.3625, 0.36, 0.3875, 0.385, 0.37092731829573933]"
74,"[0.22443890274314215, 0.205, 0.35, 0.3375, 0.4325, 0.4175, 0.3675, 0.3875, 0.2275, 0.22, 0.215, 0.3225, 0.35, 0.205, 0.3975, 0.35, 0.3875, 0.2025, 0.3325, 0.2975, 0.18, 0.215, 0.26, 0.3075, 0.23308270676691728]"
75,"[0.30673316708229426, 0.38, 0.1575, 0.16, 0.19, 0.46, 0.205, 0.255, 0.3925, 0.3775, 0.315, 0.205, 0.22, 0.345, 0.2325, 0.18, 0.25, 0.3525, 0.2125, 0.21, 0.3675, 0.355, 0.395, 0.38, 0.38095238095238093]"
76,"[0.22194513715710723, 0.1825, 0.3575, 0.3275, 0.4475, 0.4, 0.3625, 0.39, 0.215, 0.215, 0.205, 0.33, 0.3475, 0.2025, 0.405, 0.3325, 0.38, 0.195, 0.3325, 0.285, 0.1725, 0.215, 0.2575, 0.2975, 0.23308270676691728]"
77,"[0.30174563591022446, 0.3725, 0.1575, 0.155, 0.19, 0.4475, 0.205, 0.2525, 0.3825, 0.3725, 0.3175, 0.205, 0.215, 0.365, 0.2275, 0.175, 0.245, 0.365, 0.2125, 0.2025, 0.355, 0.3575, 0.385, 0.38, 0.3558897243107769]"
78,"[0.2144638403990025, 0.18, 0.35, 0.325, 0.4475, 0.44, 0.3525, 0.365, 0.2125, 0.2125, 0.2025, 0.3225, 0.34, 0.195, 0.4075, 0.33, 0.3875, 0.1925, 0.33, 0.285, 0.1725, 0.215, 0.2575, 0.31, 0.23558897243107768]"
79,"[0.286783042394015, 0.37, 0.1525, 0.155, 0.1825, 0.4575, 0.2025, 0.245, 0.375, 0.355, 0.305, 0.2025, 0.2075, 0.3525, 0.2125, 0.1725, 0.245, 0.3475, 0.21, 0.1975, 0.35, 0.3475, 0.3625, 0.375, 0.3483709273182957]"
80,"[0.2119700748129676, 0.175, 0.34, 0.3025, 0.4475, 0.4475, 0.3325, 0.36, 0.21, 0.2125, 0.2, 0.3175, 0.3375, 0.195, 0.4025, 0.3375, 0.385, 0.185, 0.31, 0.29, 0.1675, 0.2125, 0.2575, 0.3625, 0.23558897243107768]"
81,"[0.28428927680798005, 0.3625, 0.1525, 0.145, 0.1775, 0.3875, 0.195, 0.24, 0.34, 0.3475, 0.3, 0.1975, 0.205, 0.3425, 0.205, 0.17, 0.24, 0.35, 0.2, 0.1975, 0.3475, 0.33, 0.3625, 0.385, 0.3458646616541353]"
82,"[0.20698254364089774, 0.1725, 0.3275, 0.3075, 0.465, 0.51, 0.3225, 0.3425, 0.205, 0.2125, 0.195, 0.3275, 0.335, 0.19, 0.4025, 0.34, 0.3825, 0.1875, 0.305, 0.285, 0.165, 0.2075, 0.26, 0.3975, 0.23558897243107768]"
83,"[0.2793017456359102, 0.3475, 0.145, 0.14, 0.17, 0.34, 0.19, 0.235, 0.33, 0.345, 0.29, 0.1975, 0.205, 0.3275, 0.2, 0.17, 0.235, 0.345, 0.2, 0.195, 0.3375, 0.3175, 0.3625, 0.3825, 0.3458646616541353]"
84,"[0.20947630922693267, 0.1675, 0.3075, 0.275, 0.4275, 0.4825, 0.305, 0.3275, 0.2, 0.21, 0.1925, 0.3075, 0.3325, 0.195, 0.3925, 0.3375, 0.3825, 0.1825, 0.2925, 0.2725, 0.1625, 0.205, 0.255, 0.4475, 0.23558897243107768]"
85,"[0.27680798004987534, 0.3475, 0.145, 0.14, 0.1725, 0.3475, 0.1875, 0.2325, 0.3175, 0.34, 0.28, 0.1925, 0.2025, 0.3125, 0.2, 0.17, 0.235, 0.3425, 0.205, 0.195, 0.3275, 0.3125, 0.36, 0.385, 0.3383458646616541]"
86,"[0.2119700748129676, 0.1675, 0.3, 0.27, 0.41, 0.45, 0.2975, 0.3175, 0.195, 0.21, 0.19, 0.3075, 0.3225, 0.1975, 0.38, 0.3425, 0.365, 0.18, 0.285, 0.27, 0.1625, 0.195, 0.2525, 0.485, 0.23057644110275688]"
87,"[0.27680798004987534, 0.35, 0.1425, 0.1475, 0.17, 0.3475, 0.18, 0.235, 0.315, 0.3325, 0.2675, 0.195, 0.2, 0.3175, 0.2025, 0.17, 0.23, 0.34, 0.205, 0.19, 0.3275, 0.305, 0.35, 0.3675, 0.3333333333333333]"
88,"[0.20947630922693267, 0.165, 0.29, 0.2725, 0.3925, 0.43, 0.2925, 0.3125, 0.1875, 0.2125, 0.185, 0.305, 0.3125, 0.1925, 0.3725, 0.3275, 0.34, 0.1775, 0.275, 0.2725, 0.16, 0.1975, 0.25, 0.4825, 0.23308270676691728]"
89,"[0.26932668329177056, 0.3425, 0.145, 0.1475, 0.17, 0.3675, 0.17, 0.23, 0.3075, 0.33, 0.265, 0.2, 0.2, 0.3275, 0.1975, 0.17, 0.23, 0.3275, 0.2075, 0.185, 0.3225, 0.3, 0.3625, 0.3475, 0.3308270676691729]"
90,"[0.20698254364089774, 0.165, 0.285, 0.27, 0.38, 0.4125, 0.2875, 0.3075, 0.19, 0.21, 0.185, 0.2975, 0.305, 0.1925, 0.3625, 0.315, 0.3275, 0.1725, 0.2675, 0.2625, 0.1625, 0.195, 0.2475, 0.4725, 0.23057644110275688]"
