eigenvector_centrality,[10  1]
11,"[0.3491271820448878, 0.4, 0.445, 0.4625, 0.3425, 0.4325, 0.47, 0.31, 0.4275, 0.2725, 0.43, 0.425, 0.395, 0.3075, 0.3475, 0.43, 0.4725, 0.48, 0.3675, 0.3625, 0.5475, 0.45, 0.41, 0.2925, 0.43859649122807015]"
12,"[0.45885286783042395, 0.44, 0.505, 0.41, 0.44, 0.2675, 0.4575, 0.4825, 0.4925, 0.5, 0.235, 0.3525, 0.45, 0.48, 0.36, 0.2275, 0.495, 0.4025, 0.43, 0.43, 0.375, 0.4925, 0.31, 0.3975, 0.3583959899749373]"
13,"[0.33915211970074816, 0.4625, 0.4825, 0.4775, 0.2925, 0.4275, 0.485, 0.2325, 0.4625, 0.245, 0.385, 0.5, 0.32, 0.245, 0.3875, 0.42, 0.515, 0.47, 0.275, 0.4325, 0.4175, 0.5075, 0.5025, 0.22, 0.41102756892230574]"
14,"[0.4613466334164589, 0.3975, 0.4875, 0.25, 0.4, 0.28, 0.4325, 0.3575, 0.5425, 0.4025, 0.4375, 0.28, 0.375, 0.385, 0.3375, 0.27, 0.405, 0.2725, 0.385, 0.3325, 0.28, 0.3675, 0.2625, 0.4, 0.3258145363408521]"
15,"[0.3740648379052369, 0.45, 0.45, 0.4375, 0.225, 0.29, 0.3275, 0.1775, 0.395, 0.2325, 0.295, 0.385, 0.2925, 0.2225, 0.39, 0.43, 0.4325, 0.4725, 0.245, 0.45, 0.39, 0.41, 0.4525, 0.225, 0.38095238095238093]"
16,"[0.44389027431421446, 0.3425, 0.41, 0.325, 0.37, 0.2275, 0.3675, 0.3325, 0.5475, 0.39, 0.495, 0.2625, 0.3925, 0.34, 0.3425, 0.345, 0.375, 0.28, 0.3275, 0.335, 0.28, 0.2675, 0.27, 0.375, 0.3233082706766917]"
17,"[0.41895261845386533, 0.4275, 0.4175, 0.445, 0.27, 0.32, 0.285, 0.2125, 0.2625, 0.22, 0.2425, 0.355, 0.285, 0.205, 0.335, 0.425, 0.4375, 0.4175, 0.335, 0.4125, 0.3925, 0.335, 0.435, 0.245, 0.40601503759398494]"
18,"[0.36658354114713215, 0.3225, 0.41, 0.345, 0.36, 0.2525, 0.355, 0.33, 0.47, 0.3575, 0.455, 0.345, 0.4025, 0.3175, 0.3575, 0.355, 0.4025, 0.3125, 0.3625, 0.2925, 0.375, 0.255, 0.335, 0.365, 0.3283208020050125]"
19,"[0.3640897755610973, 0.39, 0.4575, 0.41, 0.29, 0.3425, 0.24, 0.2725, 0.265, 0.2375, 0.28, 0.39, 0.2675, 0.1825, 0.335, 0.385, 0.455, 0.4225, 0.4, 0.39, 0.3775, 0.3225, 0.4175, 0.31, 0.41604010025062654]"
20,"[0.3566084788029925, 0.2325, 0.435, 0.4125, 0.3525, 0.3175, 0.3025, 0.3475, 0.4475, 0.3325, 0.47, 0.415, 0.39, 0.3375, 0.37, 0.365, 0.3775, 0.3275, 0.4125, 0.2225, 0.405, 0.3, 0.3225, 0.385, 0.3583959899749373]"
21,"[0.3167082294264339, 0.3825, 0.475, 0.3675, 0.2425, 0.31, 0.2325, 0.3375, 0.31, 0.295, 0.295, 0.41, 0.275, 0.1875, 0.3475, 0.335, 0.4375, 0.4075, 0.4075, 0.3375, 0.4075, 0.3225, 0.4175, 0.29, 0.42105263157894735]"
22,"[0.2967581047381546, 0.3575, 0.475, 0.445, 0.3525, 0.3425, 0.2775, 0.4025, 0.465, 0.3075, 0.4625, 0.4525, 0.365, 0.365, 0.345, 0.275, 0.5025, 0.335, 0.38, 0.24, 0.4225, 0.33, 0.2475, 0.4025, 0.37844611528822053]"
23,"[0.3316708229426434, 0.375, 0.485, 0.4075, 0.2175, 0.2925, 0.2625, 0.4075, 0.32, 0.3425, 0.3225, 0.3675, 0.3575, 0.285, 0.2825, 0.34, 0.36, 0.4025, 0.415, 0.3375, 0.3925, 0.3025, 0.415, 0.3175, 0.37844611528822053]"
24,"[0.256857855361596, 0.4025, 0.505, 0.495, 0.415, 0.335, 0.29, 0.4475, 0.4125, 0.305, 0.385, 0.4725, 0.39, 0.39, 0.3425, 0.2025, 0.4675, 0.33, 0.3925, 0.29, 0.455, 0.265, 0.355, 0.42, 0.41102756892230574]"
25,"[0.3491271820448878, 0.49, 0.4925, 0.4975, 0.28, 0.3025, 0.2725, 0.355, 0.3325, 0.385, 0.485, 0.3575, 0.39, 0.37, 0.2825, 0.3325, 0.3625, 0.4025, 0.41, 0.365, 0.4, 0.3125, 0.385, 0.3675, 0.3533834586466165]"
26,"[0.26184538653366585, 0.4825, 0.4875, 0.4525, 0.4675, 0.335, 0.305, 0.4625, 0.455, 0.3175, 0.4875, 0.4075, 0.41, 0.4425, 0.3775, 0.2475, 0.405, 0.3875, 0.4625, 0.3225, 0.465, 0.245, 0.415, 0.4475, 0.42857142857142855]"
27,"[0.3690773067331671, 0.5075, 0.46, 0.45, 0.3275, 0.3275, 0.275, 0.3025, 0.36, 0.3775, 0.5325, 0.3675, 0.3625, 0.3525, 0.23, 0.3275, 0.3875, 0.3825, 0.3875, 0.4, 0.405, 0.3675, 0.35, 0.4075, 0.39097744360902253]"
28,"[0.2743142144638404, 0.525, 0.4675, 0.425, 0.425, 0.3525, 0.3325, 0.395, 0.5325, 0.32, 0.4975, 0.415, 0.4275, 0.4225, 0.375, 0.2275, 0.3725, 0.3775, 0.41, 0.315, 0.4275, 0.22, 0.425, 0.455, 0.44862155388471175]"
29,"[0.34663341645885287, 0.4825, 0.3875, 0.395, 0.36, 0.33, 0.275, 0.3425, 0.3575, 0.3725, 0.4275, 0.39, 0.32, 0.41, 0.2525, 0.34, 0.3975, 0.3625, 0.37, 0.3925, 0.435, 0.37, 0.335, 0.45, 0.40100250626566414]"
30,"[0.2793017456359102, 0.4325, 0.47, 0.4, 0.4025, 0.3525, 0.3175, 0.385, 0.55, 0.3225, 0.4425, 0.3625, 0.4275, 0.395, 0.37, 0.235, 0.3325, 0.3725, 0.38, 0.3125, 0.42, 0.2975, 0.41, 0.425, 0.43609022556390975]"
31,"[0.35910224438902744, 0.4325, 0.355, 0.36, 0.36, 0.3075, 0.2975, 0.3175, 0.2825, 0.3575, 0.4175, 0.355, 0.335, 0.47, 0.3225, 0.36, 0.3875, 0.36, 0.3675, 0.3725, 0.455, 0.37, 0.32, 0.425, 0.37593984962406013]"
32,"[0.2967581047381546, 0.4375, 0.445, 0.4, 0.39, 0.335, 0.3075, 0.3925, 0.4825, 0.3275, 0.425, 0.3425, 0.4275, 0.3125, 0.335, 0.29, 0.365, 0.365, 0.3175, 0.3475, 0.405, 0.34, 0.4425, 0.3875, 0.41102756892230574]"
33,"[0.38403990024937656, 0.4625, 0.345, 0.325, 0.4025, 0.325, 0.3075, 0.3225, 0.2425, 0.34, 0.4725, 0.3275, 0.42, 0.45, 0.3725, 0.3675, 0.3675, 0.3675, 0.375, 0.4, 0.4375, 0.305, 0.2775, 0.4025, 0.41854636591478694]"
34,"[0.4089775561097257, 0.46, 0.455, 0.4, 0.36, 0.3075, 0.3375, 0.4, 0.4375, 0.33, 0.3825, 0.3375, 0.385, 0.245, 0.285, 0.4225, 0.345, 0.37, 0.275, 0.41, 0.4075, 0.4175, 0.4425, 0.3625, 0.39097744360902253]"
35,"[0.34413965087281795, 0.4775, 0.3525, 0.33, 0.4125, 0.3525, 0.395, 0.42, 0.2475, 0.3025, 0.545, 0.32, 0.505, 0.41, 0.4625, 0.325, 0.3575, 0.37, 0.3625, 0.3575, 0.385, 0.2675, 0.2425, 0.355, 0.49373433583959897]"
36,"[0.49625935162094764, 0.485, 0.4675, 0.4, 0.35, 0.35, 0.305, 0.2975, 0.39, 0.3575, 0.4425, 0.36, 0.335, 0.2425, 0.245, 0.5, 0.3475, 0.345, 0.28, 0.475, 0.4525, 0.445, 0.4275, 0.37, 0.3634085213032581]"
37,"[0.2967581047381546, 0.485, 0.3675, 0.375, 0.4475, 0.385, 0.4725, 0.5325, 0.29, 0.385, 0.545, 0.315, 0.5425, 0.44, 0.465, 0.2675, 0.35, 0.355, 0.3625, 0.3275, 0.3325, 0.235, 0.2125, 0.3625, 0.5288220551378446]"
38,"[0.5511221945137157, 0.5225, 0.475, 0.3925, 0.3825, 0.4675, 0.2375, 0.24, 0.375, 0.3325, 0.4525, 0.38, 0.3175, 0.23, 0.2125, 0.5175, 0.36, 0.4525, 0.295, 0.5075, 0.495, 0.445, 0.4575, 0.39, 0.3659147869674185]"
39,"[0.24937655860349128, 0.495, 0.39, 0.425, 0.4725, 0.3175, 0.495, 0.5425, 0.3575, 0.4475, 0.5375, 0.31, 0.52, 0.475, 0.4575, 0.2525, 0.3525, 0.315, 0.365, 0.31, 0.3325, 0.185, 0.2625, 0.39, 0.5413533834586466]"
40,"[0.5386533665835411, 0.52, 0.4925, 0.4425, 0.3925, 0.48, 0.17, 0.2275, 0.325, 0.2975, 0.4325, 0.365, 0.29, 0.235, 0.2225, 0.5175, 0.3725, 0.505, 0.3425, 0.4925, 0.49, 0.44, 0.515, 0.375, 0.3508771929824561]"
41,"[0.22693266832917705, 0.475, 0.37, 0.4025, 0.48, 0.29, 0.4675, 0.5475, 0.3625, 0.4625, 0.5525, 0.305, 0.505, 0.48, 0.4825, 0.205, 0.37, 0.2625, 0.3475, 0.285, 0.345, 0.1675, 0.3075, 0.4275, 0.5338345864661654]"
42,"[0.5286783042394015, 0.525, 0.505, 0.4725, 0.385, 0.5, 0.14, 0.215, 0.2775, 0.2425, 0.44, 0.3775, 0.2775, 0.2225, 0.2275, 0.5, 0.36, 0.5, 0.385, 0.495, 0.4875, 0.4375, 0.5475, 0.3125, 0.3208020050125313]"
43,"[0.18952618453865336, 0.45, 0.3475, 0.3875, 0.4975, 0.245, 0.465, 0.5325, 0.3675, 0.48, 0.555, 0.3025, 0.5225, 0.5175, 0.4875, 0.185, 0.3875, 0.21, 0.3225, 0.22, 0.3175, 0.1675, 0.315, 0.4625, 0.5238095238095238]"
44,"[0.5261845386533666, 0.56, 0.4825, 0.4725, 0.3475, 0.485, 0.1325, 0.2075, 0.2425, 0.205, 0.445, 0.3125, 0.26, 0.195, 0.2025, 0.4725, 0.305, 0.495, 0.4325, 0.495, 0.5075, 0.43, 0.5425, 0.2825, 0.2857142857142857]"
45,"[0.14713216957605985, 0.465, 0.335, 0.3325, 0.515, 0.2025, 0.455, 0.535, 0.3725, 0.475, 0.535, 0.3325, 0.5275, 0.54, 0.48, 0.175, 0.3975, 0.19, 0.255, 0.17, 0.29, 0.1675, 0.3075, 0.48, 0.5112781954887218]"
46,"[0.5336658354114713, 0.575, 0.4375, 0.4725, 0.32, 0.48, 0.125, 0.2275, 0.205, 0.1975, 0.445, 0.2575, 0.24, 0.185, 0.165, 0.47, 0.23, 0.485, 0.4425, 0.495, 0.4575, 0.4375, 0.5425, 0.2525, 0.21804511278195488]"
47,"[0.12718204488778054, 0.44, 0.32, 0.29, 0.5175, 0.1875, 0.4375, 0.5025, 0.4, 0.475, 0.5225, 0.3575, 0.5225, 0.4825, 0.4775, 0.1675, 0.415, 0.18, 0.19, 0.16, 0.2825, 0.1625, 0.2625, 0.465, 0.49373433583959897]"
48,"[0.5461346633416458, 0.545, 0.39, 0.44, 0.2925, 0.4725, 0.115, 0.2075, 0.1675, 0.1925, 0.4525, 0.215, 0.1975, 0.1775, 0.155, 0.455, 0.185, 0.4675, 0.455, 0.48, 0.3925, 0.4275, 0.53, 0.2, 0.17543859649122806]"
49,"[0.10723192019950124, 0.4325, 0.275, 0.2325, 0.5225, 0.1775, 0.4075, 0.515, 0.385, 0.4525, 0.5175, 0.36, 0.5025, 0.43, 0.475, 0.1575, 0.4075, 0.17, 0.1525, 0.16, 0.25, 0.1525, 0.2075, 0.405, 0.48621553884711777]"
50,"[0.5536159600997507, 0.5625, 0.39, 0.4375, 0.2375, 0.4625, 0.1075, 0.1625, 0.1525, 0.185, 0.4525, 0.185, 0.1625, 0.165, 0.14, 0.4425, 0.165, 0.4125, 0.4475, 0.4725, 0.3825, 0.425, 0.5075, 0.1625, 0.15037593984962405]"
51,"[0.08977556109725686, 0.42, 0.215, 0.2075, 0.52, 0.1675, 0.36, 0.4675, 0.37, 0.42, 0.5175, 0.3425, 0.48, 0.375, 0.4525, 0.1475, 0.405, 0.1625, 0.1325, 0.1425, 0.1975, 0.1425, 0.155, 0.39, 0.46616541353383456]"
52,"[0.5336658354114713, 0.5725, 0.3775, 0.4025, 0.18, 0.4375, 0.1, 0.1225, 0.15, 0.1775, 0.45, 0.1825, 0.14, 0.15, 0.1275, 0.4175, 0.165, 0.3925, 0.4225, 0.415, 0.3775, 0.375, 0.4975, 0.135, 0.13784461152882205]"
53,"[0.08977556109725686, 0.425, 0.1775, 0.1875, 0.5125, 0.155, 0.3575, 0.4125, 0.3625, 0.4075, 0.4125, 0.34, 0.44, 0.36, 0.4475, 0.1275, 0.39, 0.1325, 0.1175, 0.13, 0.1725, 0.1225, 0.1175, 0.38, 0.42857142857142855]"
54,"[0.5211970074812967, 0.5475, 0.37, 0.35, 0.16, 0.4075, 0.0825, 0.1, 0.14, 0.165, 0.415, 0.1675, 0.1325, 0.1375, 0.115, 0.385, 0.1575, 0.38, 0.4075, 0.395, 0.375, 0.3425, 0.4775, 0.13, 0.12280701754385964]"
55,"[0.08728179551122195, 0.44, 0.1625, 0.1725, 0.48, 0.1425, 0.3475, 0.3925, 0.36, 0.39, 0.395, 0.3325, 0.43, 0.3275, 0.3875, 0.12, 0.3875, 0.1325, 0.11, 0.1225, 0.1625, 0.1125, 0.115, 0.3475, 0.40100250626566414]"
56,"[0.456359102244389, 0.4925, 0.36, 0.3325, 0.14, 0.375, 0.07, 0.1, 0.125, 0.145, 0.395, 0.1525, 0.1325, 0.12, 0.1025, 0.3675, 0.14, 0.385, 0.38, 0.355, 0.3675, 0.335, 0.44, 0.1125, 0.10776942355889724]"
57,"[0.08478802992518704, 0.4475, 0.1475, 0.1625, 0.435, 0.135, 0.3275, 0.33, 0.355, 0.3775, 0.4175, 0.3375, 0.42, 0.32, 0.3675, 0.1175, 0.3775, 0.125, 0.11, 0.1125, 0.1375, 0.1125, 0.1125, 0.345, 0.38596491228070173]"
58,"[0.4314214463840399, 0.4875, 0.35, 0.3275, 0.13, 0.36, 0.07, 0.0975, 0.11, 0.1325, 0.39, 0.1475, 0.13, 0.1175, 0.095, 0.36, 0.1325, 0.38, 0.3625, 0.355, 0.3625, 0.3275, 0.395, 0.11, 0.10025062656641603]"
59,"[0.08478802992518704, 0.4525, 0.125, 0.1575, 0.415, 0.1225, 0.315, 0.31, 0.335, 0.37, 0.4925, 0.3325, 0.405, 0.3325, 0.3575, 0.11, 0.3775, 0.1175, 0.105, 0.1, 0.13, 0.1125, 0.1125, 0.3375, 0.3558897243107769]"
60,"[0.4164588528678304, 0.5, 0.3525, 0.325, 0.1275, 0.355, 0.07, 0.095, 0.1, 0.1225, 0.38, 0.1325, 0.1325, 0.115, 0.095, 0.37, 0.13, 0.3825, 0.355, 0.335, 0.3425, 0.3225, 0.3525, 0.105, 0.10025062656641603]"
61,"[0.08478802992518704, 0.45, 0.1225, 0.15, 0.39, 0.11, 0.3175, 0.295, 0.3375, 0.3725, 0.5125, 0.3275, 0.385, 0.315, 0.355, 0.11, 0.3625, 0.1175, 0.1025, 0.0925, 0.125, 0.1125, 0.1125, 0.3425, 0.3283208020050125]"
62,"[0.39900249376558605, 0.525, 0.335, 0.3125, 0.1275, 0.355, 0.07, 0.095, 0.09, 0.11, 0.3675, 0.12, 0.1325, 0.115, 0.095, 0.3725, 0.1225, 0.385, 0.3375, 0.3225, 0.335, 0.3075, 0.3375, 0.1025, 0.09523809523809523]"
63,"[0.08229426433915212, 0.4525, 0.115, 0.14, 0.38, 0.11, 0.32, 0.2925, 0.33, 0.3775, 0.5075, 0.335, 0.385, 0.2925, 0.355, 0.1075, 0.34, 0.1125, 0.1025, 0.0925, 0.12, 0.1125, 0.1125, 0.3375, 0.3182957393483709]"
64,"[0.39650872817955113, 0.5175, 0.3225, 0.3025, 0.1325, 0.3625, 0.07, 0.095, 0.09, 0.1075, 0.3725, 0.1125, 0.1325, 0.115, 0.0975, 0.37, 0.1225, 0.3825, 0.3375, 0.3375, 0.3275, 0.305, 0.345, 0.095, 0.09523809523809523]"
65,"[0.0773067331670823, 0.44, 0.105, 0.1325, 0.3825, 0.1075, 0.3275, 0.2775, 0.325, 0.38, 0.505, 0.3225, 0.3675, 0.2825, 0.3525, 0.1075, 0.3325, 0.1125, 0.1025, 0.0925, 0.1225, 0.1125, 0.1125, 0.34, 0.3007518796992481]"
66,"[0.3915211970074813, 0.5275, 0.32, 0.29, 0.1325, 0.3625, 0.0675, 0.095, 0.0825, 0.1075, 0.365, 0.1075, 0.1325, 0.1125, 0.0975, 0.3725, 0.1225, 0.3875, 0.33, 0.3425, 0.3125, 0.3025, 0.35, 0.0925, 0.09774436090225563]"
67,"[0.0773067331670823, 0.42, 0.105, 0.13, 0.3725, 0.105, 0.3375, 0.26, 0.3175, 0.385, 0.505, 0.3175, 0.35, 0.2625, 0.35, 0.1075, 0.3275, 0.1125, 0.1, 0.0925, 0.1225, 0.11, 0.1125, 0.3375, 0.2957393483709273]"
68,"[0.38902743142144636, 0.535, 0.2925, 0.265, 0.135, 0.3525, 0.0675, 0.095, 0.08, 0.1075, 0.3675, 0.1075, 0.1325, 0.1125, 0.0975, 0.3675, 0.12, 0.385, 0.3275, 0.3375, 0.2925, 0.2925, 0.345, 0.0925, 0.09774436090225563]"
69,"[0.0798004987531172, 0.4225, 0.105, 0.125, 0.3625, 0.0975, 0.335, 0.2575, 0.31, 0.3875, 0.485, 0.3025, 0.3475, 0.2425, 0.35, 0.1075, 0.325, 0.1125, 0.1, 0.09, 0.1225, 0.11, 0.1125, 0.3275, 0.2857142857142857]"
70,"[0.3790523690773067, 0.5325, 0.2675, 0.2625, 0.135, 0.35, 0.0675, 0.095, 0.08, 0.1075, 0.395, 0.1025, 0.1325, 0.1125, 0.1025, 0.375, 0.12, 0.385, 0.3025, 0.335, 0.26, 0.2875, 0.3325, 0.0925, 0.09774436090225563]"
71,"[0.0798004987531172, 0.43, 0.105, 0.1225, 0.3425, 0.095, 0.335, 0.255, 0.315, 0.3925, 0.4625, 0.3025, 0.345, 0.2225, 0.35, 0.1075, 0.3225, 0.1125, 0.1, 0.09, 0.1225, 0.11, 0.1125, 0.3225, 0.2756892230576441]"
72,"[0.371571072319202, 0.5625, 0.255, 0.255, 0.1375, 0.355, 0.0675, 0.0925, 0.08, 0.1075, 0.4175, 0.1025, 0.13, 0.1125, 0.1025, 0.37, 0.12, 0.385, 0.2925, 0.3275, 0.24, 0.2875, 0.31, 0.0925, 0.09774436090225563]"
73,"[0.08229426433915212, 0.4675, 0.105, 0.1225, 0.3475, 0.095, 0.3325, 0.2425, 0.3125, 0.395, 0.4825, 0.3, 0.3375, 0.22, 0.3575, 0.1075, 0.32, 0.11, 0.1, 0.09, 0.1225, 0.11, 0.1125, 0.3175, 0.2656641604010025]"
74,"[0.38403990024937656, 0.5375, 0.245, 0.25, 0.14, 0.36, 0.0675, 0.0925, 0.08, 0.1075, 0.43, 0.105, 0.13, 0.1125, 0.1025, 0.3525, 0.1175, 0.385, 0.285, 0.335, 0.23, 0.2875, 0.3175, 0.0925, 0.09774436090225563]"
75,"[0.0798004987531172, 0.4425, 0.105, 0.1225, 0.3425, 0.095, 0.335, 0.2475, 0.3125, 0.395, 0.4775, 0.2875, 0.33, 0.21, 0.355, 0.1075, 0.3125, 0.11, 0.1025, 0.0925, 0.1225, 0.11, 0.1175, 0.325, 0.2681704260651629]"
76,"[0.3790523690773067, 0.525, 0.23, 0.2525, 0.14, 0.3575, 0.0675, 0.0925, 0.08, 0.1075, 0.3925, 0.105, 0.13, 0.1125, 0.105, 0.3575, 0.1175, 0.3875, 0.265, 0.3325, 0.2125, 0.2925, 0.29, 0.0925, 0.09523809523809523]"
77,"[0.0798004987531172, 0.4375, 0.105, 0.1225, 0.3425, 0.095, 0.325, 0.24, 0.305, 0.3975, 0.4125, 0.285, 0.335, 0.215, 0.3525, 0.1075, 0.31, 0.1125, 0.1025, 0.09, 0.1225, 0.11, 0.12, 0.3275, 0.2681704260651629]"
78,"[0.3765586034912718, 0.5275, 0.2125, 0.2525, 0.14, 0.35, 0.0675, 0.0925, 0.08, 0.1075, 0.4125, 0.105, 0.13, 0.1125, 0.105, 0.3525, 0.1175, 0.38, 0.25, 0.3125, 0.2, 0.2975, 0.2975, 0.0925, 0.09523809523809523]"
79,"[0.0773067331670823, 0.405, 0.105, 0.1225, 0.335, 0.0925, 0.3175, 0.215, 0.285, 0.4, 0.4275, 0.28, 0.335, 0.205, 0.3525, 0.1075, 0.3025, 0.1125, 0.1, 0.0875, 0.1225, 0.11, 0.12, 0.3225, 0.2581453634085213]"
80,"[0.3740648379052369, 0.5475, 0.2025, 0.25, 0.14, 0.3475, 0.0675, 0.0925, 0.0775, 0.1075, 0.4375, 0.105, 0.13, 0.1125, 0.1025, 0.3525, 0.1175, 0.37, 0.2575, 0.3125, 0.195, 0.295, 0.2875, 0.0925, 0.09523809523809523]"
81,"[0.07481296758104738, 0.425, 0.105, 0.125, 0.3275, 0.0925, 0.31, 0.2075, 0.28, 0.3975, 0.41, 0.2825, 0.3275, 0.195, 0.3425, 0.1075, 0.3, 0.1125, 0.1, 0.0875, 0.1225, 0.11, 0.1175, 0.3225, 0.2581453634085213]"
82,"[0.3640897755610973, 0.565, 0.2025, 0.245, 0.1375, 0.35, 0.0675, 0.0925, 0.08, 0.1075, 0.42, 0.105, 0.13, 0.1125, 0.095, 0.3575, 0.1175, 0.365, 0.2625, 0.315, 0.1925, 0.2925, 0.2775, 0.0925, 0.09523809523809523]"
83,"[0.07481296758104738, 0.435, 0.105, 0.1225, 0.3225, 0.0925, 0.31, 0.2, 0.29, 0.39, 0.435, 0.28, 0.33, 0.19, 0.3525, 0.1075, 0.3, 0.1125, 0.1, 0.0875, 0.1225, 0.11, 0.12, 0.3175, 0.2556390977443609]"
84,"[0.35910224438902744, 0.555, 0.2075, 0.2475, 0.14, 0.355, 0.0675, 0.095, 0.08, 0.1075, 0.395, 0.1075, 0.1275, 0.115, 0.1, 0.36, 0.1175, 0.3575, 0.2675, 0.31, 0.1925, 0.285, 0.2725, 0.0925, 0.09523809523809523]"
85,"[0.0773067331670823, 0.4775, 0.105, 0.125, 0.32, 0.0925, 0.31, 0.1975, 0.295, 0.3875, 0.4575, 0.285, 0.3375, 0.19, 0.345, 0.1075, 0.3025, 0.1125, 0.1, 0.0875, 0.1225, 0.115, 0.12, 0.315, 0.2581453634085213]"
86,"[0.3566084788029925, 0.5225, 0.205, 0.245, 0.14, 0.3525, 0.0675, 0.095, 0.08, 0.1075, 0.395, 0.1075, 0.13, 0.115, 0.0975, 0.3675, 0.1175, 0.36, 0.245, 0.315, 0.1975, 0.285, 0.27, 0.0925, 0.09523809523809523]"
87,"[0.0773067331670823, 0.2925, 0.105, 0.125, 0.3175, 0.0925, 0.32, 0.18, 0.2925, 0.39, 0.4525, 0.2725, 0.335, 0.19, 0.3425, 0.1075, 0.3025, 0.1125, 0.0975, 0.0875, 0.1225, 0.115, 0.1225, 0.3125, 0.2556390977443609]"
88,"[0.36159600997506236, 0.4675, 0.195, 0.2525, 0.13, 0.345, 0.0675, 0.095, 0.08, 0.1075, 0.405, 0.1075, 0.1275, 0.1125, 0.095, 0.38, 0.1175, 0.355, 0.24, 0.3175, 0.2, 0.2825, 0.2675, 0.0925, 0.09523809523809523]"
89,"[0.0773067331670823, 0.4375, 0.105, 0.1275, 0.32, 0.0925, 0.31, 0.18, 0.3, 0.39, 0.4575, 0.295, 0.3275, 0.195, 0.335, 0.1075, 0.3025, 0.1125, 0.0975, 0.0875, 0.12, 0.1125, 0.12, 0.31, 0.2606516290726817]"
90,"[0.3541147132169576, 0.46, 0.215, 0.2575, 0.1275, 0.3475, 0.0675, 0.095, 0.08, 0.1075, 0.415, 0.1075, 0.13, 0.1125, 0.095, 0.4025, 0.1175, 0.3575, 0.2525, 0.325, 0.21, 0.28, 0.2775, 0.0925, 0.09523809523809523]"
