eigenvector_centrality,"[0, 1]"
39,"[0.5112219451371571, 0.4725, 0.3925, 0.455, 0.5225, 0.38, 0.4025, 0.325, 0.3625, 0.385, 0.4375, 0.455, 0.4925, 0.36, 0.5075, 0.5625, 0.415, 0.4375, 0.38, 0.37, 0.57, 0.335, 0.39, 0.3575, 0.3308270676691729]"
40,"[0.3765586034912718, 0.375, 0.6075, 0.48, 0.39, 0.5925, 0.5, 0.505, 0.59, 0.49, 0.455, 0.335, 0.3925, 0.495, 0.3575, 0.395, 0.47, 0.4875, 0.475, 0.5275, 0.365, 0.4825, 0.535, 0.5275, 0.3433583959899749]"
41,"[0.5087281795511222, 0.4375, 0.4025, 0.445, 0.485, 0.4, 0.3825, 0.3775, 0.395, 0.44, 0.45, 0.4925, 0.4775, 0.3825, 0.53, 0.57, 0.4225, 0.4425, 0.395, 0.365, 0.5175, 0.345, 0.4175, 0.3775, 0.3258145363408521]"
42,"[0.3940149625935162, 0.3875, 0.6375, 0.49, 0.41, 0.58, 0.485, 0.48, 0.5825, 0.4725, 0.45, 0.345, 0.39, 0.48, 0.355, 0.395, 0.445, 0.4925, 0.465, 0.5075, 0.39, 0.51, 0.515, 0.575, 0.3408521303258145]"
43,"[0.4912718204488778, 0.4275, 0.39, 0.425, 0.48, 0.4075, 0.3625, 0.3975, 0.3775, 0.4725, 0.44, 0.51, 0.4625, 0.435, 0.4925, 0.6, 0.4675, 0.44, 0.3925, 0.3725, 0.5125, 0.3625, 0.4325, 0.4125, 0.37844611528822053]"
44,"[0.4014962593516209, 0.4225, 0.555, 0.4725, 0.4275, 0.5225, 0.505, 0.4675, 0.5525, 0.48, 0.455, 0.375, 0.4225, 0.4625, 0.375, 0.4175, 0.4575, 0.485, 0.4475, 0.5075, 0.4025, 0.4875, 0.49, 0.5525, 0.3533834586466165]"
45,"[0.5361596009975063, 0.425, 0.3875, 0.4025, 0.4625, 0.425, 0.3575, 0.425, 0.4025, 0.4825, 0.435, 0.5125, 0.435, 0.5025, 0.48, 0.6, 0.4525, 0.44, 0.385, 0.425, 0.495, 0.3625, 0.4425, 0.43, 0.46616541353383456]"
46,"[0.40399002493765584, 0.45, 0.5225, 0.4775, 0.43, 0.4325, 0.4975, 0.4725, 0.485, 0.465, 0.4525, 0.3825, 0.4425, 0.435, 0.38, 0.385, 0.4475, 0.455, 0.4325, 0.46, 0.4225, 0.41, 0.485, 0.5375, 0.3533834586466165]"
47,"[0.5511221945137157, 0.4525, 0.385, 0.37, 0.48, 0.4025, 0.35, 0.42, 0.41, 0.4675, 0.395, 0.51, 0.395, 0.4725, 0.5075, 0.565, 0.465, 0.465, 0.35, 0.4075, 0.4575, 0.3425, 0.4525, 0.42, 0.44862155388471175]"
48,"[0.4089775561097257, 0.4525, 0.5, 0.4725, 0.4225, 0.405, 0.5, 0.4875, 0.4575, 0.5025, 0.4675, 0.3775, 0.42, 0.4675, 0.3875, 0.38, 0.435, 0.4425, 0.425, 0.4425, 0.42, 0.3825, 0.48, 0.4975, 0.3508771929824561]"
