eigenvector_centrality,"[15, 20]"
54,"[0.4014962593516209, 0.43, 0.5475, 0.46, 0.505, 0.3775, 0.395, 0.415, 0.4275, 0.505, 0.395, 0.45, 0.4175, 0.3925, 0.4825, 0.4525, 0.47, 0.435, 0.48, 0.4225, 0.5175, 0.45, 0.4875, 0.405, 0.3408521303258145]"
55,"[0.5286783042394015, 0.45, 0.5275, 0.485, 0.38, 0.49, 0.38, 0.385, 0.52, 0.4175, 0.495, 0.4625, 0.5475, 0.4875, 0.505, 0.3825, 0.57, 0.48, 0.4875, 0.4275, 0.4175, 0.48, 0.4025, 0.5075, 0.5538847117794486]"
56,"[0.4488778054862843, 0.44, 0.5, 0.46, 0.49, 0.39, 0.38, 0.3775, 0.475, 0.5325, 0.38, 0.4125, 0.4525, 0.445, 0.4875, 0.445, 0.43, 0.4325, 0.4175, 0.415, 0.51, 0.47, 0.47, 0.4075, 0.40601503759398494]"
57,"[0.5187032418952618, 0.45, 0.5225, 0.49, 0.3925, 0.45, 0.4, 0.3875, 0.52, 0.4875, 0.4375, 0.455, 0.535, 0.51, 0.445, 0.3975, 0.535, 0.5, 0.4775, 0.3975, 0.4125, 0.505, 0.41, 0.4975, 0.5238095238095238]"
58,"[0.4688279301745636, 0.4325, 0.5375, 0.455, 0.4575, 0.4275, 0.3925, 0.37, 0.47, 0.5275, 0.3925, 0.4, 0.4125, 0.4425, 0.475, 0.4275, 0.4975, 0.41, 0.41, 0.465, 0.56, 0.45, 0.4875, 0.43, 0.44360902255639095]"
59,"[0.5087281795511222, 0.445, 0.525, 0.5175, 0.35, 0.4825, 0.425, 0.4025, 0.5325, 0.485, 0.46, 0.5025, 0.46, 0.5025, 0.495, 0.42, 0.465, 0.5175, 0.465, 0.4775, 0.4025, 0.4775, 0.3925, 0.51, 0.5263157894736842]"
60,"[0.43640897755610975, 0.43, 0.5325, 0.4825, 0.4275, 0.4125, 0.39, 0.445, 0.46, 0.5925, 0.3675, 0.4, 0.4, 0.4475, 0.58, 0.475, 0.47, 0.4375, 0.41, 0.3325, 0.5275, 0.4475, 0.4875, 0.4175, 0.46115288220551376]"
61,"[0.48877805486284287, 0.505, 0.4925, 0.4725, 0.37, 0.4625, 0.4, 0.3325, 0.5175, 0.51, 0.455, 0.505, 0.5, 0.4775, 0.4425, 0.45, 0.4925, 0.53, 0.485, 0.495, 0.36, 0.4275, 0.395, 0.5575, 0.49874686716791977]"
62,"[0.44389027431421446, 0.42, 0.5075, 0.5075, 0.4575, 0.3475, 0.3725, 0.43, 0.49, 0.525, 0.3575, 0.4375, 0.3875, 0.415, 0.51, 0.495, 0.4675, 0.4425, 0.4075, 0.3175, 0.4725, 0.4025, 0.485, 0.4225, 0.41102756892230574]"
63,"[0.4912718204488778, 0.4975, 0.5175, 0.46, 0.425, 0.49, 0.405, 0.2975, 0.485, 0.46, 0.4725, 0.485, 0.515, 0.51, 0.4375, 0.48, 0.485, 0.4825, 0.48, 0.51, 0.355, 0.38, 0.4, 0.565, 0.47869674185463656]"
64,"[0.48129675810473815, 0.39, 0.5575, 0.45, 0.46, 0.35, 0.3475, 0.4775, 0.475, 0.44, 0.415, 0.445, 0.38, 0.385, 0.4425, 0.4575, 0.4625, 0.435, 0.38, 0.32, 0.475, 0.3775, 0.4975, 0.3925, 0.37343358395989973]"
65,"[0.4912718204488778, 0.455, 0.535, 0.46, 0.435, 0.495, 0.365, 0.28, 0.52, 0.4375, 0.455, 0.47, 0.5025, 0.51, 0.4275, 0.425, 0.4825, 0.4875, 0.4175, 0.5175, 0.375, 0.33, 0.4125, 0.5575, 0.45614035087719296]"
66,"[0.4613466334164589, 0.3925, 0.495, 0.4575, 0.47, 0.3525, 0.34, 0.47, 0.505, 0.4175, 0.4025, 0.4275, 0.4225, 0.42, 0.4175, 0.445, 0.4575, 0.415, 0.38, 0.41, 0.5075, 0.3925, 0.535, 0.3575, 0.43107769423558895]"
67,"[0.4912718204488778, 0.485, 0.63, 0.4625, 0.415, 0.5, 0.3875, 0.29, 0.57, 0.465, 0.4375, 0.465, 0.5125, 0.5125, 0.4975, 0.4, 0.48, 0.5525, 0.4525, 0.495, 0.3825, 0.38, 0.46, 0.545, 0.5037593984962406]"
68,"[0.41895261845386533, 0.43, 0.4825, 0.51, 0.5, 0.4175, 0.385, 0.4425, 0.5125, 0.535, 0.42, 0.4275, 0.46, 0.54, 0.4575, 0.455, 0.4675, 0.465, 0.415, 0.455, 0.5725, 0.3775, 0.4975, 0.4, 0.5087719298245614]"
69,"[0.5062344139650873, 0.51, 0.5525, 0.42, 0.395, 0.51, 0.4675, 0.31, 0.535, 0.465, 0.44, 0.46, 0.5275, 0.5375, 0.51, 0.445, 0.46, 0.5175, 0.5375, 0.475, 0.3825, 0.4225, 0.57, 0.5775, 0.5388471177944862]"
70,"[0.4463840399002494, 0.51, 0.49, 0.435, 0.44, 0.4375, 0.4575, 0.4175, 0.5725, 0.4975, 0.425, 0.4, 0.47, 0.495, 0.4375, 0.51, 0.4725, 0.485, 0.4625, 0.455, 0.5525, 0.425, 0.48, 0.4175, 0.48872180451127817]"
71,"[0.4688279301745636, 0.545, 0.5425, 0.41, 0.395, 0.4775, 0.3925, 0.3025, 0.5375, 0.475, 0.4475, 0.4625, 0.5125, 0.4575, 0.4775, 0.5075, 0.4375, 0.47, 0.485, 0.4125, 0.42, 0.4025, 0.5125, 0.535, 0.47869674185463656]"
72,"[0.4688279301745636, 0.46, 0.51, 0.4075, 0.4075, 0.3575, 0.42, 0.3875, 0.6225, 0.4875, 0.37, 0.38, 0.4275, 0.4375, 0.45, 0.45, 0.4225, 0.465, 0.4575, 0.3575, 0.5575, 0.4725, 0.4825, 0.4425, 0.45614035087719296]"
73,"[0.5112219451371571, 0.5375, 0.585, 0.4125, 0.3625, 0.49, 0.39, 0.295, 0.5675, 0.5175, 0.4525, 0.46, 0.4775, 0.495, 0.4425, 0.43, 0.4425, 0.4825, 0.44, 0.425, 0.3725, 0.3275, 0.4875, 0.52, 0.5538847117794486]"
74,"[0.42144638403990026, 0.38, 0.5475, 0.4225, 0.4575, 0.345, 0.465, 0.405, 0.49, 0.475, 0.365, 0.38, 0.41, 0.415, 0.465, 0.4525, 0.4075, 0.435, 0.43, 0.355, 0.525, 0.435, 0.505, 0.41, 0.41353383458646614]"
