eigenvector_centrality,"[9, 4]"
30,"[0.29177057356608477, 0.3325, 0.22, 0.29, 0.51, 0.285, 0.2925, 0.28, 0.275, 0.465, 0.2775, 0.405, 0.4, 0.39, 0.2725, 0.3875, 0.345, 0.3725, 0.3325, 0.31, 0.41, 0.3125, 0.355, 0.35, 0.2807017543859649]"
31,"[0.38403990024937656, 0.3175, 0.2875, 0.3275, 0.485, 0.28, 0.2725, 0.375, 0.3925, 0.5275, 0.385, 0.2875, 0.3725, 0.43, 0.2875, 0.325, 0.375, 0.3275, 0.335, 0.2575, 0.3275, 0.385, 0.3475, 0.2675, 0.3609022556390977]"
32,"[0.2892768079800499, 0.3475, 0.3525, 0.35, 0.415, 0.295, 0.3075, 0.2925, 0.27, 0.46, 0.315, 0.4075, 0.3775, 0.375, 0.3575, 0.37, 0.3475, 0.41, 0.375, 0.32, 0.3725, 0.2725, 0.34, 0.3725, 0.3007518796992481]"
33,"[0.44139650872817954, 0.3175, 0.275, 0.3325, 0.4375, 0.28, 0.2875, 0.3575, 0.4125, 0.5475, 0.355, 0.275, 0.3675, 0.4525, 0.29, 0.3225, 0.3225, 0.315, 0.3475, 0.335, 0.305, 0.3825, 0.4425, 0.2625, 0.3132832080200501]"
34,"[0.30673316708229426, 0.38, 0.3525, 0.385, 0.4475, 0.33, 0.345, 0.29, 0.275, 0.4625, 0.3125, 0.4275, 0.3425, 0.365, 0.4025, 0.355, 0.355, 0.3975, 0.32, 0.3225, 0.3525, 0.2575, 0.3175, 0.375, 0.3132832080200501]"
35,"[0.3915211970074813, 0.3075, 0.285, 0.3275, 0.4625, 0.29, 0.29, 0.3375, 0.335, 0.585, 0.3275, 0.28, 0.4, 0.335, 0.28, 0.3375, 0.3075, 0.3075, 0.34, 0.345, 0.2925, 0.365, 0.49, 0.265, 0.2882205513784461]"
36,"[0.3192019950124688, 0.3375, 0.415, 0.3525, 0.4475, 0.2775, 0.3125, 0.28, 0.3025, 0.49, 0.31, 0.4525, 0.3225, 0.3725, 0.3575, 0.325, 0.3525, 0.4175, 0.31, 0.315, 0.3325, 0.2625, 0.31, 0.34, 0.3157894736842105]"
37,"[0.341645885286783, 0.3175, 0.2775, 0.3275, 0.505, 0.2975, 0.2825, 0.295, 0.2825, 0.61, 0.3125, 0.2775, 0.4175, 0.31, 0.29, 0.3425, 0.29, 0.3075, 0.3275, 0.315, 0.28, 0.36, 0.4, 0.2725, 0.2706766917293233]"
38,"[0.2942643391521197, 0.315, 0.34, 0.3325, 0.45, 0.275, 0.285, 0.2925, 0.27, 0.505, 0.305, 0.455, 0.32, 0.3725, 0.31, 0.2975, 0.3425, 0.4075, 0.295, 0.315, 0.295, 0.26, 0.315, 0.295, 0.3132832080200501]"
39,"[0.3092269326683292, 0.3075, 0.275, 0.32, 0.52, 0.2975, 0.285, 0.2675, 0.255, 0.625, 0.2825, 0.2775, 0.3725, 0.29, 0.2875, 0.3275, 0.29, 0.31, 0.345, 0.315, 0.28, 0.3425, 0.365, 0.2675, 0.2556390977443609]"
