eigenvector_centrality,"[0, 9]"
42,"[0.3865336658354115, 0.2175, 0.2275, 0.2325, 0.2, 0.2125, 0.175, 0.22, 0.155, 0.39, 0.2725, 0.2725, 0.2175, 0.205, 0.1975, 0.235, 0.1325, 0.2875, 0.195, 0.2175, 0.21, 0.1625, 0.2, 0.2225, 0.21303258145363407]"
43,"[0.5411471321695761, 0.225, 0.2375, 0.265, 0.2425, 0.1525, 0.18, 0.225, 0.19, 0.565, 0.2075, 0.2025, 0.2425, 0.235, 0.2625, 0.2125, 0.1725, 0.21, 0.1775, 0.1975, 0.155, 0.2075, 0.205, 0.2625, 0.2706766917293233]"
44,"[0.3940149625935162, 0.2175, 0.23, 0.23, 0.195, 0.19, 0.1825, 0.2025, 0.1425, 0.405, 0.245, 0.25, 0.2125, 0.2025, 0.2025, 0.205, 0.145, 0.2575, 0.145, 0.205, 0.2, 0.1575, 0.2025, 0.225, 0.21303258145363407]"
45,"[0.5361596009975063, 0.205, 0.21, 0.24, 0.2175, 0.1575, 0.165, 0.2275, 0.1775, 0.56, 0.2125, 0.2125, 0.215, 0.2175, 0.26, 0.2125, 0.155, 0.2075, 0.1775, 0.205, 0.1725, 0.205, 0.19, 0.25, 0.2506265664160401]"
46,"[0.3940149625935162, 0.215, 0.2375, 0.2325, 0.2, 0.175, 0.1875, 0.1975, 0.1425, 0.4125, 0.2175, 0.23, 0.215, 0.2, 0.2075, 0.185, 0.1625, 0.24, 0.1225, 0.2025, 0.1925, 0.1525, 0.2025, 0.235, 0.21303258145363407]"
47,"[0.5261845386533666, 0.1875, 0.19, 0.235, 0.19, 0.165, 0.165, 0.2325, 0.1775, 0.5625, 0.225, 0.2225, 0.2075, 0.195, 0.23, 0.2125, 0.145, 0.215, 0.18, 0.2175, 0.185, 0.2025, 0.195, 0.23, 0.22305764411027568]"
48,"[0.4089775561097257, 0.215, 0.235, 0.2325, 0.2025, 0.1725, 0.195, 0.1925, 0.145, 0.41, 0.21, 0.2225, 0.215, 0.205, 0.21, 0.1825, 0.18, 0.2225, 0.12, 0.2, 0.185, 0.155, 0.2025, 0.24, 0.22305764411027568]"
49,"[0.5336658354114713, 0.19, 0.1925, 0.23, 0.18, 0.1775, 0.165, 0.245, 0.1825, 0.5725, 0.2275, 0.2275, 0.195, 0.185, 0.215, 0.2125, 0.1475, 0.215, 0.1825, 0.2225, 0.185, 0.2025, 0.195, 0.225, 0.21303258145363407]"
50,"[0.40648379052369077, 0.225, 0.2425, 0.23, 0.205, 0.17, 0.205, 0.1925, 0.1425, 0.4125, 0.2, 0.2125, 0.22, 0.22, 0.2175, 0.1825, 0.1925, 0.22, 0.1175, 0.2, 0.18, 0.1575, 0.205, 0.25, 0.22807017543859648]"
51,"[0.571072319201995, 0.19, 0.1925, 0.22, 0.1775, 0.19, 0.17, 0.2475, 0.19, 0.54, 0.2325, 0.2375, 0.2, 0.185, 0.21, 0.2175, 0.1475, 0.225, 0.185, 0.225, 0.195, 0.2025, 0.1875, 0.2225, 0.20551378446115287]"
52,"[0.40648379052369077, 0.2325, 0.2575, 0.2475, 0.2075, 0.17, 0.215, 0.1925, 0.145, 0.4175, 0.1925, 0.21, 0.2225, 0.2375, 0.2275, 0.185, 0.215, 0.225, 0.125, 0.1975, 0.1775, 0.16, 0.2175, 0.2575, 0.23809523809523808]"
53,"[0.5910224438902744, 0.19, 0.195, 0.2225, 0.1825, 0.21, 0.1725, 0.2575, 0.205, 0.525, 0.24, 0.245, 0.205, 0.185, 0.205, 0.225, 0.1475, 0.2325, 0.1875, 0.23, 0.2025, 0.2225, 0.1875, 0.23, 0.20551378446115287]"
54,"[0.43640897755610975, 0.2475, 0.2625, 0.2525, 0.21, 0.17, 0.215, 0.1925, 0.1475, 0.435, 0.195, 0.21, 0.2325, 0.2375, 0.225, 0.1875, 0.225, 0.23, 0.1275, 0.1975, 0.175, 0.165, 0.23, 0.255, 0.2556390977443609]"
55,"[0.5785536159600998, 0.19, 0.195, 0.2275, 0.1875, 0.22, 0.175, 0.2575, 0.23, 0.515, 0.2525, 0.2625, 0.205, 0.185, 0.21, 0.23, 0.1475, 0.2375, 0.2075, 0.24, 0.205, 0.22, 0.1925, 0.235, 0.21553884711779447]"
56,"[0.44389027431421446, 0.2375, 0.24, 0.2, 0.2025, 0.1725, 0.2325, 0.1975, 0.1575, 0.425, 0.2025, 0.2075, 0.2275, 0.2125, 0.215, 0.195, 0.22, 0.2275, 0.1275, 0.1975, 0.175, 0.175, 0.2175, 0.2575, 0.2631578947368421]"
57,"[0.5511221945137157, 0.19, 0.1975, 0.23, 0.1975, 0.225, 0.175, 0.25, 0.235, 0.5225, 0.25, 0.2525, 0.215, 0.1875, 0.21, 0.245, 0.145, 0.2375, 0.2125, 0.2525, 0.2075, 0.2325, 0.1975, 0.24, 0.22305764411027568]"
58,"[0.4688279301745636, 0.22, 0.2225, 0.18, 0.185, 0.175, 0.24, 0.2, 0.155, 0.43, 0.2075, 0.21, 0.2075, 0.1925, 0.2, 0.1975, 0.2075, 0.2325, 0.14, 0.1975, 0.185, 0.175, 0.2025, 0.2325, 0.2581453634085213]"
59,"[0.5361596009975063, 0.205, 0.1975, 0.2325, 0.2025, 0.225, 0.175, 0.245, 0.24, 0.5475, 0.235, 0.245, 0.225, 0.1875, 0.21, 0.2575, 0.145, 0.23, 0.2125, 0.245, 0.205, 0.2475, 0.1975, 0.25, 0.22556390977443608]"
60,"[0.4688279301745636, 0.21, 0.2075, 0.1575, 0.1675, 0.1775, 0.2325, 0.205, 0.155, 0.42, 0.215, 0.215, 0.195, 0.185, 0.18, 0.21, 0.1925, 0.2425, 0.1425, 0.195, 0.185, 0.18, 0.1925, 0.22, 0.24561403508771928]"
61,"[0.5511221945137157, 0.2075, 0.205, 0.235, 0.205, 0.2225, 0.175, 0.2275, 0.2375, 0.565, 0.215, 0.23, 0.215, 0.195, 0.2175, 0.24, 0.145, 0.2075, 0.2025, 0.2275, 0.1875, 0.24, 0.2, 0.2475, 0.21553884711779447]"
62,"[0.4912718204488778, 0.1975, 0.2, 0.155, 0.1625, 0.1825, 0.2125, 0.2075, 0.1575, 0.4175, 0.215, 0.205, 0.1825, 0.1825, 0.1725, 0.2175, 0.17, 0.245, 0.145, 0.195, 0.1875, 0.1825, 0.1875, 0.2175, 0.22807017543859648]"
63,"[0.5486284289276808, 0.21, 0.205, 0.2425, 0.205, 0.2225, 0.1725, 0.2125, 0.2325, 0.5775, 0.1975, 0.2175, 0.21, 0.2025, 0.2175, 0.225, 0.145, 0.185, 0.1975, 0.21, 0.18, 0.2225, 0.205, 0.2475, 0.20802005012531327]"
64,"[0.4937655860349127, 0.1875, 0.2, 0.1525, 0.16, 0.18, 0.2025, 0.2125, 0.1575, 0.4225, 0.2125, 0.2075, 0.1825, 0.18, 0.175, 0.225, 0.17, 0.2475, 0.145, 0.1925, 0.1875, 0.1875, 0.1875, 0.215, 0.21804511278195488]"
65,"[0.5311720698254364, 0.215, 0.205, 0.2475, 0.205, 0.215, 0.175, 0.1975, 0.2325, 0.5875, 0.195, 0.21, 0.21, 0.205, 0.2275, 0.215, 0.15, 0.1725, 0.195, 0.185, 0.1775, 0.2175, 0.1875, 0.2425, 0.21303258145363407]"
66,"[0.5012468827930174, 0.1875, 0.1975, 0.1525, 0.1525, 0.1875, 0.1875, 0.2125, 0.1575, 0.4075, 0.2175, 0.2075, 0.185, 0.1775, 0.17, 0.225, 0.165, 0.2425, 0.145, 0.1925, 0.19, 0.1875, 0.1825, 0.215, 0.20802005012531327]"
67,"[0.5660847880299252, 0.2175, 0.205, 0.2425, 0.2025, 0.2, 0.175, 0.17, 0.22, 0.545, 0.195, 0.2075, 0.1825, 0.2125, 0.2325, 0.2175, 0.15, 0.16, 0.18, 0.1725, 0.16, 0.21, 0.185, 0.24, 0.21303258145363407]"
