eigenvector_centrality,"[0, 3]"
30,"[0.4688279301745636, 0.3025, 0.375, 0.4325, 0.3325, 0.35, 0.295, 0.395, 0.45, 0.395, 0.34, 0.2825, 0.3925, 0.29, 0.3225, 0.3175, 0.31, 0.3125, 0.295, 0.38, 0.275, 0.2525, 0.35, 0.3725, 0.38345864661654133]"
31,"[0.4014962593516209, 0.37, 0.345, 0.4525, 0.2725, 0.3925, 0.2925, 0.3125, 0.285, 0.4175, 0.4725, 0.3425, 0.4025, 0.355, 0.36, 0.4, 0.3925, 0.31, 0.295, 0.415, 0.3825, 0.255, 0.3275, 0.305, 0.2631578947368421]"
32,"[0.5236907730673317, 0.31, 0.4225, 0.4425, 0.375, 0.39, 0.3525, 0.3825, 0.5075, 0.3625, 0.315, 0.28, 0.37, 0.29, 0.3125, 0.3775, 0.295, 0.3275, 0.375, 0.3625, 0.2675, 0.27, 0.3625, 0.42, 0.44360902255639095]"
33,"[0.428927680798005, 0.3975, 0.33, 0.445, 0.2675, 0.37, 0.2825, 0.335, 0.2725, 0.4575, 0.485, 0.4175, 0.3975, 0.4125, 0.3775, 0.3925, 0.4525, 0.3325, 0.3, 0.4125, 0.415, 0.2575, 0.3425, 0.285, 0.2631578947368421]"
34,"[0.5112219451371571, 0.335, 0.425, 0.46, 0.395, 0.415, 0.4075, 0.3625, 0.53, 0.365, 0.2975, 0.2825, 0.355, 0.295, 0.3025, 0.4325, 0.2925, 0.3275, 0.42, 0.3475, 0.26, 0.2875, 0.4075, 0.38, 0.47869674185463656]"
35,"[0.4463840399002494, 0.39, 0.315, 0.44, 0.265, 0.3225, 0.2825, 0.3325, 0.2625, 0.46, 0.3725, 0.485, 0.4225, 0.4925, 0.42, 0.3725, 0.505, 0.3575, 0.295, 0.51, 0.4475, 0.2625, 0.36, 0.29, 0.2656641604010025]"
36,"[0.5536159600997507, 0.3475, 0.49, 0.4875, 0.4375, 0.4625, 0.4575, 0.34, 0.52, 0.35, 0.2925, 0.2825, 0.3375, 0.2925, 0.2975, 0.4575, 0.2875, 0.3225, 0.4675, 0.3475, 0.255, 0.3525, 0.395, 0.3375, 0.5213032581453634]"
37,"[0.44139650872817954, 0.365, 0.2925, 0.42, 0.26, 0.3025, 0.28, 0.3225, 0.27, 0.44, 0.315, 0.49, 0.4875, 0.51, 0.47, 0.345, 0.5025, 0.41, 0.2925, 0.5275, 0.4875, 0.2575, 0.38, 0.2875, 0.2656641604010025]"
38,"[0.5586034912718204, 0.355, 0.47, 0.485, 0.4625, 0.475, 0.4675, 0.3125, 0.4225, 0.3275, 0.29, 0.28, 0.3275, 0.2825, 0.29, 0.4525, 0.285, 0.32, 0.455, 0.33, 0.2525, 0.4225, 0.38, 0.3125, 0.5087719298245614]"
39,"[0.44389027431421446, 0.3325, 0.28, 0.4125, 0.2575, 0.2925, 0.2725, 0.28, 0.2625, 0.3875, 0.29, 0.4675, 0.4575, 0.5125, 0.4675, 0.3325, 0.46, 0.4425, 0.285, 0.51, 0.4725, 0.25, 0.3525, 0.29, 0.2706766917293233]"
