eigenvector_centrality,[0]
77,"[0.479, 0.174, 0.181, 0.173, 0.341, 0.144, 0.347, 0.106, 0.271, 0.309]"
78,"[0.356, 0.311, 0.335, 0.342, 0.113, 0.274, 0.106, 0.285, 0.115, 0.108]"
79,"[0.543, 0.168, 0.178, 0.172, 0.338, 0.147, 0.329, 0.11, 0.274, 0.297]"
80,"[0.337, 0.308, 0.322, 0.334, 0.12, 0.28, 0.114, 0.283, 0.122, 0.123]"
81,"[0.551, 0.157, 0.17, 0.16, 0.338, 0.142, 0.324, 0.112, 0.278, 0.281]"
82,"[0.304, 0.309, 0.335, 0.336, 0.123, 0.278, 0.117, 0.281, 0.124, 0.138]"
83,"[0.536, 0.145, 0.149, 0.154, 0.333, 0.141, 0.312, 0.113, 0.277, 0.282]"
84,"[0.297, 0.314, 0.353, 0.34, 0.13, 0.277, 0.125, 0.278, 0.126, 0.146]"
85,"[0.494, 0.15, 0.157, 0.159, 0.32, 0.142, 0.31, 0.113, 0.275, 0.279]"
86,"[0.296, 0.317, 0.348, 0.333, 0.134, 0.274, 0.135, 0.271, 0.123, 0.158]"
87,"[0.467, 0.16, 0.171, 0.168, 0.317, 0.148, 0.315, 0.119, 0.276, 0.283]"
88,"[0.364, 0.323, 0.328, 0.328, 0.143, 0.27, 0.15, 0.27, 0.134, 0.17]"
89,"[0.287, 0.176, 0.178, 0.177, 0.327, 0.159, 0.321, 0.123, 0.282, 0.307]"
90,"[0.551, 0.321, 0.302, 0.299, 0.142, 0.275, 0.15, 0.284, 0.141, 0.17]"
91,"[0.24, 0.194, 0.199, 0.191, 0.325, 0.168, 0.33, 0.125, 0.271, 0.304]"
92,"[0.559, 0.32, 0.307, 0.295, 0.149, 0.27, 0.153, 0.289, 0.151, 0.166]"
93,"[0.196, 0.202, 0.206, 0.204, 0.322, 0.169, 0.322, 0.125, 0.273, 0.309]"
94,"[0.579, 0.319, 0.301, 0.296, 0.146, 0.266, 0.138, 0.288, 0.153, 0.156]"
95,"[0.196, 0.198, 0.203, 0.203, 0.325, 0.168, 0.319, 0.123, 0.268, 0.316]"
96,"[0.503, 0.315, 0.289, 0.279, 0.16, 0.269, 0.151, 0.28, 0.15, 0.158]"
97,"[0.252, 0.183, 0.197, 0.193, 0.317, 0.161, 0.307, 0.125, 0.276, 0.31]"
98,"[0.346, 0.307, 0.295, 0.292, 0.157, 0.268, 0.145, 0.274, 0.148, 0.163]"
99,"[0.435, 0.181, 0.197, 0.192, 0.31, 0.159, 0.281, 0.127, 0.27, 0.294]"
