eigenvector_centrality,"[5, 2]"
30,"[0.5261845386533666, 0.36, 0.325, 0.4225, 0.48, 0.3225, 0.355, 0.3375, 0.485, 0.56, 0.3125, 0.375, 0.38, 0.4925, 0.3625, 0.5025, 0.4075, 0.35, 0.3525, 0.475, 0.4625, 0.3425, 0.515, 0.2625, 0.5087719298245614]"
31,"[0.2942643391521197, 0.3525, 0.4275, 0.4175, 0.3725, 0.5375, 0.3675, 0.4075, 0.2875, 0.3175, 0.39, 0.3375, 0.3925, 0.3225, 0.415, 0.355, 0.3825, 0.385, 0.455, 0.3775, 0.33, 0.3775, 0.33, 0.3175, 0.2882205513784461]"
32,"[0.5311720698254364, 0.3575, 0.3025, 0.4175, 0.445, 0.2775, 0.3975, 0.3075, 0.485, 0.575, 0.3125, 0.36, 0.38, 0.5175, 0.35, 0.5525, 0.3925, 0.34, 0.345, 0.49, 0.46, 0.32, 0.55, 0.26, 0.45864661654135336]"
33,"[0.29925187032418954, 0.3425, 0.4875, 0.4225, 0.355, 0.4725, 0.3625, 0.415, 0.2725, 0.3125, 0.4075, 0.34, 0.415, 0.32, 0.4425, 0.3575, 0.3775, 0.355, 0.49, 0.37, 0.315, 0.4325, 0.3175, 0.4, 0.2857142857142857]"
34,"[0.49625935162094764, 0.3575, 0.285, 0.4275, 0.455, 0.2925, 0.3875, 0.2825, 0.505, 0.52, 0.3175, 0.36, 0.38, 0.4475, 0.335, 0.5425, 0.385, 0.3425, 0.3275, 0.49, 0.45, 0.2975, 0.4775, 0.26, 0.46867167919799496]"
35,"[0.3266832917705736, 0.405, 0.53, 0.42, 0.36, 0.4325, 0.42, 0.4625, 0.3125, 0.3375, 0.425, 0.3375, 0.445, 0.3525, 0.4475, 0.3975, 0.365, 0.3675, 0.49, 0.41, 0.295, 0.48, 0.3475, 0.44, 0.3208020050125313]"
36,"[0.5087281795511222, 0.3525, 0.3325, 0.4375, 0.4575, 0.3625, 0.3975, 0.3, 0.5075, 0.4775, 0.335, 0.375, 0.3725, 0.445, 0.3375, 0.54, 0.415, 0.3575, 0.355, 0.5275, 0.455, 0.3275, 0.48, 0.2625, 0.43609022556390975]"
37,"[0.3940149625935162, 0.4175, 0.5125, 0.465, 0.395, 0.4475, 0.51, 0.4725, 0.39, 0.385, 0.45, 0.35, 0.4575, 0.4, 0.4475, 0.4225, 0.3725, 0.3875, 0.485, 0.415, 0.32, 0.47, 0.41, 0.45, 0.37844611528822053]"
38,"[0.5361596009975063, 0.35, 0.3875, 0.475, 0.465, 0.3825, 0.415, 0.3275, 0.525, 0.55, 0.3875, 0.4475, 0.3975, 0.47, 0.3625, 0.5475, 0.4275, 0.3575, 0.3475, 0.5175, 0.4725, 0.35, 0.5, 0.285, 0.45112781954887216]"
39,"[0.4114713216957606, 0.42, 0.475, 0.43, 0.4375, 0.44, 0.5075, 0.4675, 0.405, 0.39, 0.475, 0.3475, 0.4725, 0.405, 0.47, 0.42, 0.365, 0.4775, 0.5025, 0.43, 0.3525, 0.4975, 0.435, 0.4425, 0.37593984962406013]"
40,"[0.5112219451371571, 0.35, 0.385, 0.495, 0.45, 0.41, 0.3975, 0.3375, 0.4575, 0.5825, 0.395, 0.5325, 0.44, 0.46, 0.37, 0.495, 0.5075, 0.3675, 0.36, 0.5, 0.53, 0.3425, 0.54, 0.3225, 0.5288220551378446]"
41,"[0.4089775561097257, 0.48, 0.42, 0.415, 0.425, 0.4525, 0.51, 0.46, 0.415, 0.4025, 0.4475, 0.3675, 0.4575, 0.4275, 0.4625, 0.4125, 0.3475, 0.5625, 0.485, 0.4525, 0.3775, 0.4975, 0.425, 0.495, 0.37343358395989973]"
42,"[0.49875311720698257, 0.37, 0.3675, 0.5025, 0.4575, 0.3875, 0.4075, 0.355, 0.4375, 0.545, 0.42, 0.5775, 0.495, 0.4525, 0.4125, 0.46, 0.57, 0.365, 0.375, 0.48, 0.53, 0.3675, 0.53, 0.34, 0.49122807017543857]"
43,"[0.44139650872817954, 0.5, 0.385, 0.4325, 0.435, 0.4625, 0.53, 0.395, 0.4525, 0.415, 0.4375, 0.38, 0.4225, 0.44, 0.4625, 0.435, 0.3525, 0.5975, 0.465, 0.5025, 0.3925, 0.46, 0.4275, 0.515, 0.38596491228070173]"
44,"[0.46633416458852867, 0.395, 0.3825, 0.5225, 0.445, 0.41, 0.425, 0.355, 0.4075, 0.5375, 0.4675, 0.57, 0.51, 0.4425, 0.4525, 0.455, 0.5725, 0.365, 0.43, 0.4625, 0.5225, 0.4, 0.525, 0.335, 0.47368421052631576]"
45,"[0.4613466334164589, 0.4975, 0.3675, 0.495, 0.465, 0.42, 0.56, 0.3525, 0.47, 0.445, 0.42, 0.4025, 0.42, 0.47, 0.4575, 0.4775, 0.365, 0.5625, 0.48, 0.4825, 0.4175, 0.475, 0.455, 0.5175, 0.41353383458646614]"
46,"[0.4538653366583541, 0.4075, 0.335, 0.5225, 0.4375, 0.46, 0.445, 0.33, 0.425, 0.525, 0.465, 0.555, 0.5, 0.4275, 0.435, 0.45, 0.5325, 0.395, 0.4525, 0.455, 0.52, 0.43, 0.4975, 0.3675, 0.48621553884711777]"
47,"[0.4014962593516209, 0.4475, 0.37, 0.49, 0.4375, 0.3875, 0.495, 0.3775, 0.4225, 0.4375, 0.43, 0.4425, 0.425, 0.415, 0.46, 0.4, 0.3975, 0.4725, 0.495, 0.4175, 0.46, 0.4825, 0.455, 0.46, 0.44862155388471175]"
48,"[0.4488778054862843, 0.4275, 0.3325, 0.535, 0.44, 0.425, 0.4225, 0.34, 0.455, 0.4675, 0.3675, 0.5025, 0.4375, 0.4225, 0.37, 0.44, 0.4625, 0.405, 0.435, 0.475, 0.4875, 0.38, 0.52, 0.405, 0.5162907268170426]"
49,"[0.3940149625935162, 0.4175, 0.365, 0.415, 0.45, 0.4025, 0.4775, 0.435, 0.4175, 0.4125, 0.455, 0.46, 0.475, 0.3875, 0.48, 0.4125, 0.415, 0.405, 0.485, 0.4125, 0.445, 0.4875, 0.4325, 0.3975, 0.38847117794486213]"
50,"[0.48129675810473815, 0.4725, 0.345, 0.515, 0.4425, 0.4375, 0.4575, 0.34, 0.495, 0.4775, 0.36, 0.5, 0.445, 0.4425, 0.385, 0.4525, 0.4325, 0.4525, 0.425, 0.52, 0.4775, 0.3325, 0.5, 0.36, 0.5263157894736842]"
51,"[0.38902743142144636, 0.41, 0.365, 0.415, 0.4275, 0.4375, 0.485, 0.4275, 0.415, 0.45, 0.475, 0.4575, 0.5125, 0.4, 0.505, 0.4125, 0.49, 0.365, 0.4825, 0.4025, 0.465, 0.505, 0.405, 0.39, 0.37343358395989973]"
