eigenvector_centrality,[]
47,"[0.07920792079207921, 0.09, 0.11, 0.08, 0.09, 0.11, 0.08, 0.1, 0.12, 0.26, 0.08, 0.18, 0.08, 0.14, 0.24, 0.07, 0.1, 0.09, 0.14, 0.07, 0.06, 0.16, 0.14, 0.1, 0.22, 0.1, 0.07, 0.19, 0.08, 0.09, 0.1, 0.31, 0.17, 0.1, 0.17, 0.24, 0.17, 0.22, 0.06, 0.08, 0.22, 0.19, 0.17, 0.07, 0.12, 0.1, 0.09, 0.04, 0.1, 0.15, 0.19, 0.18, 0.18, 0.11, 0.06, 0.22, 0.07, 0.12, 0.09, 0.06, 0.2, 0.08, 0.14, 0.12, 0.1, 0.3, 0.12, 0.14, 0.21, 0.17, 0.15, 0.11, 0.1, 0.12, 0.08, 0.09, 0.23, 0.07, 0.14, 0.12, 0.15, 0.17, 0.13, 0.23, 0.09, 0.2, 0.3, 0.1, 0.11, 0.07, 0.24, 0.07, 0.1, 0.15, 0.14, 0.14, 0.1, 0.09, 0.13, 0.21212121212121213]"
48,"[0.13861386138613863, 0.13, 0.1, 0.1, 0.12, 0.16, 0.08, 0.26, 0.07, 0.11, 0.13, 0.15, 0.07, 0.12, 0.07, 0.22, 0.1, 0.25, 0.12, 0.11, 0.14, 0.08, 0.21, 0.2, 0.16, 0.17, 0.14, 0.15, 0.12, 0.19, 0.2, 0.09, 0.13, 0.08, 0.14, 0.13, 0.17, 0.06, 0.13, 0.16, 0.06, 0.09, 0.07, 0.17, 0.02, 0.14, 0.13, 0.12, 0.13, 0.09, 0.16, 0.15, 0.06, 0.11, 0.13, 0.12, 0.16, 0.06, 0.19, 0.22, 0.24, 0.19, 0.14, 0.26, 0.15, 0.12, 0.15, 0.11, 0.12, 0.17, 0.09, 0.13, 0.15, 0.14, 0.09, 0.18, 0.13, 0.13, 0.17, 0.16, 0.13, 0.1, 0.09, 0.09, 0.1, 0.09, 0.13, 0.1, 0.18, 0.18, 0.14, 0.11, 0.16, 0.03, 0.24, 0.14, 0.27, 0.13, 0.11, 0.18181818181818182]"
49,"[0.07920792079207921, 0.09, 0.11, 0.09, 0.09, 0.12, 0.08, 0.14, 0.12, 0.26, 0.08, 0.18, 0.08, 0.15, 0.24, 0.06, 0.1, 0.09, 0.14, 0.08, 0.06, 0.16, 0.11, 0.1, 0.22, 0.1, 0.07, 0.23, 0.08, 0.11, 0.1, 0.26, 0.17, 0.1, 0.17, 0.24, 0.18, 0.15, 0.06, 0.08, 0.24, 0.19, 0.17, 0.07, 0.14, 0.1, 0.09, 0.06, 0.16, 0.12, 0.19, 0.15, 0.18, 0.18, 0.06, 0.22, 0.07, 0.15, 0.1, 0.06, 0.2, 0.08, 0.14, 0.12, 0.1, 0.3, 0.12, 0.14, 0.21, 0.17, 0.15, 0.11, 0.1, 0.12, 0.08, 0.12, 0.23, 0.07, 0.13, 0.12, 0.15, 0.17, 0.19, 0.23, 0.09, 0.2, 0.3, 0.1, 0.11, 0.07, 0.24, 0.07, 0.1, 0.15, 0.13, 0.14, 0.14, 0.09, 0.13, 0.21212121212121213]"
50,"[0.1485148514851485, 0.16, 0.1, 0.1, 0.13, 0.16, 0.08, 0.26, 0.09, 0.11, 0.13, 0.15, 0.07, 0.12, 0.07, 0.22, 0.1, 0.25, 0.12, 0.11, 0.1, 0.08, 0.21, 0.21, 0.16, 0.2, 0.14, 0.15, 0.12, 0.19, 0.23, 0.11, 0.14, 0.08, 0.14, 0.13, 0.18, 0.06, 0.12, 0.14, 0.06, 0.09, 0.06, 0.17, 0.02, 0.14, 0.14, 0.12, 0.13, 0.09, 0.17, 0.15, 0.06, 0.11, 0.19, 0.12, 0.18, 0.06, 0.19, 0.22, 0.28, 0.15, 0.14, 0.26, 0.16, 0.12, 0.15, 0.16, 0.12, 0.17, 0.09, 0.14, 0.15, 0.15, 0.09, 0.25, 0.13, 0.13, 0.19, 0.16, 0.13, 0.1, 0.09, 0.1, 0.1, 0.09, 0.13, 0.1, 0.19, 0.18, 0.16, 0.1, 0.16, 0.03, 0.24, 0.15, 0.27, 0.14, 0.11, 0.1919191919191919]"
51,"[0.07920792079207921, 0.09, 0.13, 0.13, 0.09, 0.12, 0.1, 0.14, 0.12, 0.26, 0.08, 0.18, 0.08, 0.15, 0.24, 0.1, 0.1, 0.09, 0.14, 0.08, 0.06, 0.16, 0.12, 0.12, 0.22, 0.1, 0.07, 0.24, 0.08, 0.1, 0.1, 0.26, 0.17, 0.1, 0.17, 0.24, 0.18, 0.24, 0.06, 0.08, 0.24, 0.19, 0.19, 0.07, 0.14, 0.1, 0.09, 0.06, 0.18, 0.15, 0.19, 0.12, 0.18, 0.18, 0.06, 0.22, 0.07, 0.16, 0.11, 0.06, 0.2, 0.08, 0.14, 0.12, 0.1, 0.3, 0.12, 0.18, 0.21, 0.16, 0.16, 0.11, 0.1, 0.12, 0.08, 0.15, 0.23, 0.07, 0.14, 0.12, 0.15, 0.17, 0.17, 0.23, 0.09, 0.2, 0.3, 0.1, 0.11, 0.07, 0.24, 0.07, 0.1, 0.15, 0.14, 0.14, 0.15, 0.09, 0.15, 0.21212121212121213]"
52,"[0.13861386138613863, 0.14, 0.1, 0.1, 0.13, 0.16, 0.08, 0.26, 0.11, 0.11, 0.13, 0.15, 0.07, 0.12, 0.07, 0.23, 0.1, 0.25, 0.12, 0.11, 0.1, 0.08, 0.22, 0.2, 0.16, 0.25, 0.17, 0.15, 0.12, 0.19, 0.23, 0.12, 0.12, 0.08, 0.14, 0.14, 0.18, 0.06, 0.13, 0.16, 0.07, 0.09, 0.06, 0.17, 0.02, 0.14, 0.15, 0.12, 0.17, 0.09, 0.18, 0.15, 0.06, 0.11, 0.17, 0.12, 0.2, 0.06, 0.19, 0.22, 0.29, 0.19, 0.19, 0.22, 0.16, 0.12, 0.15, 0.16, 0.12, 0.17, 0.09, 0.13, 0.15, 0.15, 0.1, 0.26, 0.13, 0.13, 0.2, 0.16, 0.13, 0.1, 0.09, 0.1, 0.1, 0.09, 0.14, 0.09, 0.21, 0.17, 0.16, 0.1, 0.16, 0.03, 0.24, 0.15, 0.28, 0.14, 0.11, 0.2222222222222222]"
53,"[0.07920792079207921, 0.09, 0.16, 0.13, 0.09, 0.12, 0.12, 0.14, 0.11, 0.26, 0.08, 0.18, 0.08, 0.16, 0.24, 0.09, 0.1, 0.09, 0.14, 0.08, 0.06, 0.16, 0.06, 0.17, 0.22, 0.1, 0.07, 0.24, 0.08, 0.13, 0.1, 0.27, 0.17, 0.1, 0.17, 0.23, 0.19, 0.21, 0.06, 0.08, 0.24, 0.19, 0.19, 0.07, 0.15, 0.1, 0.09, 0.12, 0.18, 0.16, 0.19, 0.12, 0.18, 0.16, 0.06, 0.22, 0.07, 0.14, 0.17, 0.06, 0.2, 0.08, 0.13, 0.12, 0.1, 0.3, 0.13, 0.22, 0.21, 0.16, 0.15, 0.11, 0.1, 0.12, 0.1, 0.18, 0.23, 0.07, 0.14, 0.12, 0.15, 0.17, 0.19, 0.23, 0.1, 0.2, 0.26, 0.11, 0.11, 0.07, 0.24, 0.07, 0.1, 0.15, 0.12, 0.14, 0.14, 0.09, 0.15, 0.2222222222222222]"
54,"[0.13861386138613863, 0.15, 0.1, 0.1, 0.13, 0.16, 0.08, 0.26, 0.11, 0.11, 0.14, 0.15, 0.07, 0.12, 0.07, 0.25, 0.1, 0.25, 0.12, 0.11, 0.12, 0.08, 0.23, 0.23, 0.16, 0.28, 0.19, 0.15, 0.12, 0.19, 0.23, 0.12, 0.12, 0.09, 0.14, 0.14, 0.16, 0.06, 0.13, 0.14, 0.08, 0.09, 0.06, 0.17, 0.02, 0.14, 0.16, 0.12, 0.17, 0.09, 0.19, 0.15, 0.06, 0.11, 0.22, 0.12, 0.19, 0.06, 0.19, 0.22, 0.28, 0.19, 0.25, 0.22, 0.15, 0.14, 0.15, 0.16, 0.12, 0.17, 0.12, 0.13, 0.15, 0.15, 0.14, 0.28, 0.13, 0.13, 0.2, 0.16, 0.13, 0.1, 0.09, 0.1, 0.1, 0.09, 0.14, 0.09, 0.21, 0.17, 0.17, 0.1, 0.16, 0.03, 0.24, 0.17, 0.29, 0.12, 0.11, 0.2222222222222222]"
55,"[0.07920792079207921, 0.09, 0.16, 0.15, 0.09, 0.12, 0.13, 0.14, 0.11, 0.26, 0.08, 0.19, 0.08, 0.16, 0.24, 0.12, 0.1, 0.09, 0.14, 0.08, 0.06, 0.16, 0.09, 0.2, 0.22, 0.1, 0.07, 0.23, 0.08, 0.14, 0.1, 0.25, 0.17, 0.1, 0.17, 0.21, 0.2, 0.24, 0.06, 0.08, 0.25, 0.18, 0.19, 0.07, 0.15, 0.1, 0.09, 0.15, 0.18, 0.15, 0.21, 0.11, 0.18, 0.17, 0.06, 0.26, 0.07, 0.16, 0.18, 0.06, 0.19, 0.08, 0.14, 0.12, 0.1, 0.3, 0.13, 0.19, 0.17, 0.16, 0.15, 0.11, 0.1, 0.12, 0.14, 0.19, 0.23, 0.07, 0.15, 0.12, 0.15, 0.17, 0.19, 0.23, 0.1, 0.2, 0.26, 0.1, 0.11, 0.07, 0.24, 0.07, 0.1, 0.15, 0.13, 0.15, 0.14, 0.11, 0.16, 0.1919191919191919]"
56,"[0.13861386138613863, 0.18, 0.1, 0.1, 0.13, 0.16, 0.08, 0.26, 0.13, 0.11, 0.14, 0.15, 0.07, 0.12, 0.07, 0.25, 0.1, 0.25, 0.12, 0.11, 0.14, 0.08, 0.23, 0.28, 0.16, 0.27, 0.19, 0.15, 0.12, 0.19, 0.25, 0.13, 0.12, 0.09, 0.14, 0.14, 0.15, 0.07, 0.13, 0.16, 0.08, 0.09, 0.06, 0.16, 0.02, 0.14, 0.15, 0.12, 0.19, 0.09, 0.2, 0.15, 0.06, 0.11, 0.24, 0.12, 0.17, 0.06, 0.19, 0.22, 0.28, 0.21, 0.28, 0.22, 0.15, 0.14, 0.15, 0.17, 0.12, 0.17, 0.12, 0.13, 0.15, 0.17, 0.18, 0.28, 0.13, 0.13, 0.19, 0.16, 0.13, 0.1, 0.09, 0.1, 0.1, 0.09, 0.14, 0.14, 0.21, 0.16, 0.17, 0.1, 0.16, 0.03, 0.24, 0.17, 0.28, 0.19, 0.11, 0.2222222222222222]"
57,"[0.07920792079207921, 0.09, 0.17, 0.15, 0.09, 0.1, 0.14, 0.14, 0.11, 0.26, 0.08, 0.19, 0.08, 0.16, 0.24, 0.12, 0.1, 0.09, 0.14, 0.1, 0.06, 0.16, 0.12, 0.2, 0.22, 0.1, 0.07, 0.23, 0.08, 0.12, 0.1, 0.25, 0.17, 0.1, 0.17, 0.18, 0.2, 0.17, 0.06, 0.08, 0.27, 0.19, 0.19, 0.07, 0.16, 0.11, 0.09, 0.18, 0.19, 0.15, 0.21, 0.11, 0.18, 0.13, 0.06, 0.26, 0.08, 0.16, 0.19, 0.06, 0.19, 0.08, 0.14, 0.12, 0.1, 0.3, 0.13, 0.15, 0.15, 0.16, 0.16, 0.11, 0.1, 0.12, 0.14, 0.2, 0.23, 0.07, 0.15, 0.12, 0.15, 0.18, 0.19, 0.27, 0.11, 0.21, 0.28, 0.11, 0.11, 0.1, 0.24, 0.07, 0.1, 0.15, 0.14, 0.16, 0.13, 0.12, 0.16, 0.18181818181818182]"
58,"[0.13861386138613863, 0.18, 0.1, 0.1, 0.13, 0.16, 0.08, 0.26, 0.15, 0.12, 0.14, 0.15, 0.07, 0.12, 0.07, 0.25, 0.1, 0.25, 0.12, 0.11, 0.1, 0.08, 0.23, 0.26, 0.16, 0.26, 0.29, 0.16, 0.12, 0.19, 0.25, 0.12, 0.12, 0.14, 0.14, 0.14, 0.15, 0.07, 0.13, 0.14, 0.1, 0.1, 0.06, 0.16, 0.02, 0.14, 0.14, 0.12, 0.17, 0.09, 0.21, 0.15, 0.11, 0.11, 0.24, 0.12, 0.15, 0.06, 0.19, 0.22, 0.2, 0.21, 0.3, 0.21, 0.15, 0.14, 0.16, 0.17, 0.12, 0.17, 0.13, 0.14, 0.15, 0.17, 0.23, 0.23, 0.13, 0.13, 0.19, 0.16, 0.13, 0.1, 0.09, 0.1, 0.1, 0.09, 0.13, 0.15, 0.21, 0.15, 0.18, 0.1, 0.16, 0.03, 0.24, 0.18, 0.28, 0.18, 0.11, 0.24242424242424243]"
59,"[0.0891089108910891, 0.09, 0.18, 0.16, 0.09, 0.11, 0.16, 0.14, 0.1, 0.27, 0.08, 0.19, 0.08, 0.16, 0.24, 0.12, 0.1, 0.1, 0.14, 0.09, 0.07, 0.16, 0.14, 0.2, 0.22, 0.1, 0.07, 0.23, 0.08, 0.14, 0.1, 0.25, 0.17, 0.11, 0.18, 0.18, 0.17, 0.17, 0.06, 0.1, 0.27, 0.18, 0.2, 0.07, 0.16, 0.1, 0.09, 0.19, 0.18, 0.16, 0.21, 0.11, 0.18, 0.12, 0.1, 0.29, 0.12, 0.15, 0.19, 0.06, 0.19, 0.08, 0.15, 0.12, 0.1, 0.3, 0.13, 0.19, 0.1, 0.16, 0.16, 0.11, 0.1, 0.12, 0.19, 0.21, 0.23, 0.07, 0.15, 0.12, 0.15, 0.18, 0.19, 0.28, 0.11, 0.21, 0.22, 0.12, 0.11, 0.12, 0.24, 0.08, 0.1, 0.15, 0.13, 0.17, 0.13, 0.12, 0.16, 0.1919191919191919]"
60,"[0.13861386138613863, 0.21, 0.1, 0.1, 0.18, 0.16, 0.1, 0.26, 0.15, 0.12, 0.18, 0.15, 0.07, 0.12, 0.07, 0.25, 0.1, 0.24, 0.12, 0.11, 0.1, 0.08, 0.23, 0.23, 0.16, 0.21, 0.33, 0.16, 0.12, 0.19, 0.22, 0.12, 0.12, 0.14, 0.14, 0.14, 0.17, 0.09, 0.14, 0.16, 0.12, 0.11, 0.06, 0.17, 0.02, 0.14, 0.12, 0.12, 0.17, 0.08, 0.22, 0.15, 0.15, 0.11, 0.26, 0.14, 0.15, 0.12, 0.19, 0.22, 0.18, 0.2, 0.32, 0.21, 0.15, 0.14, 0.18, 0.17, 0.12, 0.17, 0.13, 0.14, 0.15, 0.17, 0.23, 0.21, 0.09, 0.13, 0.2, 0.16, 0.13, 0.1, 0.09, 0.1, 0.17, 0.09, 0.13, 0.15, 0.21, 0.15, 0.18, 0.1, 0.16, 0.03, 0.24, 0.18, 0.29, 0.16, 0.14, 0.23232323232323232]"
61,"[0.1188118811881188, 0.09, 0.2, 0.16, 0.09, 0.15, 0.16, 0.14, 0.1, 0.27, 0.09, 0.19, 0.08, 0.16, 0.24, 0.12, 0.14, 0.15, 0.14, 0.08, 0.08, 0.16, 0.15, 0.21, 0.22, 0.1, 0.07, 0.23, 0.08, 0.16, 0.11, 0.25, 0.17, 0.11, 0.15, 0.19, 0.17, 0.17, 0.06, 0.12, 0.27, 0.18, 0.2, 0.07, 0.16, 0.09, 0.09, 0.19, 0.18, 0.16, 0.23, 0.11, 0.18, 0.16, 0.12, 0.3, 0.16, 0.16, 0.21, 0.06, 0.19, 0.08, 0.14, 0.12, 0.11, 0.29, 0.13, 0.19, 0.1, 0.16, 0.16, 0.11, 0.1, 0.12, 0.2, 0.21, 0.23, 0.07, 0.15, 0.12, 0.15, 0.21, 0.22, 0.29, 0.14, 0.21, 0.22, 0.12, 0.15, 0.1, 0.24, 0.08, 0.1, 0.15, 0.19, 0.15, 0.13, 0.14, 0.16, 0.18181818181818182]"
62,"[0.13861386138613863, 0.24, 0.1, 0.1, 0.18, 0.15, 0.09, 0.26, 0.18, 0.12, 0.18, 0.15, 0.07, 0.12, 0.07, 0.27, 0.1, 0.24, 0.12, 0.11, 0.1, 0.08, 0.23, 0.23, 0.16, 0.21, 0.33, 0.17, 0.12, 0.19, 0.23, 0.11, 0.12, 0.14, 0.15, 0.14, 0.2, 0.09, 0.14, 0.14, 0.11, 0.12, 0.06, 0.22, 0.02, 0.14, 0.12, 0.12, 0.19, 0.11, 0.22, 0.15, 0.18, 0.12, 0.26, 0.15, 0.14, 0.12, 0.19, 0.22, 0.21, 0.19, 0.33, 0.22, 0.15, 0.14, 0.18, 0.17, 0.12, 0.17, 0.13, 0.14, 0.15, 0.17, 0.23, 0.19, 0.09, 0.13, 0.2, 0.16, 0.13, 0.1, 0.09, 0.1, 0.17, 0.09, 0.1, 0.15, 0.21, 0.13, 0.18, 0.1, 0.16, 0.03, 0.24, 0.18, 0.28, 0.11, 0.17, 0.21212121212121213]"
63,"[0.12871287128712872, 0.09, 0.21, 0.17, 0.09, 0.16, 0.16, 0.14, 0.1, 0.28, 0.1, 0.19, 0.08, 0.14, 0.24, 0.12, 0.13, 0.18, 0.14, 0.1, 0.08, 0.16, 0.15, 0.21, 0.22, 0.1, 0.08, 0.23, 0.08, 0.19, 0.12, 0.26, 0.17, 0.11, 0.17, 0.19, 0.17, 0.16, 0.06, 0.12, 0.27, 0.18, 0.21, 0.07, 0.18, 0.09, 0.09, 0.19, 0.16, 0.16, 0.23, 0.11, 0.18, 0.18, 0.13, 0.3, 0.17, 0.16, 0.21, 0.06, 0.19, 0.08, 0.14, 0.12, 0.13, 0.29, 0.13, 0.14, 0.1, 0.16, 0.16, 0.11, 0.1, 0.12, 0.21, 0.21, 0.23, 0.07, 0.16, 0.12, 0.15, 0.23, 0.22, 0.29, 0.16, 0.21, 0.22, 0.13, 0.15, 0.18, 0.24, 0.11, 0.1, 0.15, 0.2, 0.15, 0.13, 0.14, 0.16, 0.1717171717171717]"
64,"[0.13861386138613863, 0.25, 0.1, 0.1, 0.18, 0.15, 0.09, 0.26, 0.19, 0.12, 0.18, 0.15, 0.07, 0.15, 0.1, 0.27, 0.16, 0.24, 0.12, 0.11, 0.1, 0.08, 0.23, 0.22, 0.17, 0.21, 0.35, 0.2, 0.12, 0.19, 0.22, 0.1, 0.13, 0.14, 0.17, 0.14, 0.2, 0.12, 0.15, 0.18, 0.1, 0.14, 0.06, 0.24, 0.02, 0.14, 0.11, 0.12, 0.2, 0.12, 0.21, 0.15, 0.2, 0.13, 0.26, 0.14, 0.14, 0.13, 0.19, 0.22, 0.17, 0.24, 0.32, 0.22, 0.15, 0.14, 0.22, 0.18, 0.12, 0.17, 0.13, 0.14, 0.18, 0.19, 0.23, 0.19, 0.07, 0.13, 0.2, 0.16, 0.13, 0.1, 0.09, 0.1, 0.18, 0.09, 0.1, 0.18, 0.21, 0.12, 0.18, 0.1, 0.16, 0.03, 0.24, 0.18, 0.29, 0.19, 0.19, 0.18181818181818182]"
65,"[0.13861386138613863, 0.09, 0.2, 0.17, 0.09, 0.22, 0.16, 0.14, 0.1, 0.3, 0.18, 0.19, 0.08, 0.13, 0.24, 0.12, 0.13, 0.22, 0.14, 0.1, 0.08, 0.16, 0.15, 0.22, 0.22, 0.1, 0.08, 0.19, 0.08, 0.21, 0.14, 0.25, 0.17, 0.11, 0.12, 0.2, 0.17, 0.16, 0.07, 0.15, 0.27, 0.18, 0.21, 0.07, 0.18, 0.08, 0.09, 0.21, 0.15, 0.2, 0.24, 0.11, 0.18, 0.19, 0.13, 0.3, 0.18, 0.16, 0.21, 0.06, 0.19, 0.08, 0.15, 0.13, 0.13, 0.29, 0.13, 0.14, 0.1, 0.16, 0.16, 0.11, 0.1, 0.11, 0.21, 0.21, 0.23, 0.07, 0.16, 0.12, 0.15, 0.27, 0.24, 0.28, 0.17, 0.21, 0.22, 0.15, 0.15, 0.18, 0.24, 0.12, 0.1, 0.15, 0.19, 0.14, 0.13, 0.14, 0.16, 0.1717171717171717]"
66,"[0.13861386138613863, 0.32, 0.1, 0.1, 0.19, 0.15, 0.1, 0.26, 0.19, 0.12, 0.19, 0.16, 0.07, 0.16, 0.12, 0.29, 0.19, 0.24, 0.12, 0.11, 0.1, 0.08, 0.23, 0.22, 0.18, 0.21, 0.35, 0.21, 0.14, 0.19, 0.21, 0.1, 0.13, 0.15, 0.2, 0.14, 0.2, 0.12, 0.22, 0.16, 0.1, 0.15, 0.06, 0.24, 0.04, 0.14, 0.12, 0.12, 0.2, 0.12, 0.2, 0.15, 0.2, 0.13, 0.27, 0.15, 0.14, 0.13, 0.19, 0.22, 0.19, 0.18, 0.32, 0.22, 0.14, 0.14, 0.25, 0.2, 0.14, 0.17, 0.11, 0.14, 0.21, 0.24, 0.23, 0.19, 0.06, 0.13, 0.2, 0.16, 0.13, 0.1, 0.09, 0.09, 0.18, 0.09, 0.09, 0.18, 0.21, 0.12, 0.18, 0.1, 0.16, 0.03, 0.24, 0.17, 0.28, 0.18, 0.2, 0.20202020202020202]"
67,"[0.1485148514851485, 0.09, 0.21, 0.17, 0.09, 0.22, 0.15, 0.14, 0.1, 0.3, 0.2, 0.19, 0.08, 0.13, 0.24, 0.12, 0.14, 0.25, 0.14, 0.13, 0.11, 0.16, 0.15, 0.22, 0.22, 0.1, 0.08, 0.17, 0.08, 0.2, 0.15, 0.25, 0.17, 0.11, 0.12, 0.19, 0.17, 0.16, 0.07, 0.16, 0.27, 0.18, 0.21, 0.07, 0.19, 0.09, 0.11, 0.19, 0.13, 0.18, 0.24, 0.11, 0.18, 0.17, 0.14, 0.3, 0.18, 0.16, 0.21, 0.06, 0.19, 0.08, 0.15, 0.13, 0.13, 0.29, 0.13, 0.14, 0.1, 0.16, 0.16, 0.11, 0.1, 0.11, 0.23, 0.21, 0.23, 0.07, 0.16, 0.12, 0.15, 0.31, 0.24, 0.28, 0.19, 0.21, 0.22, 0.16, 0.16, 0.19, 0.24, 0.12, 0.12, 0.16, 0.25, 0.12, 0.13, 0.14, 0.16, 0.1717171717171717]"
68,"[0.13861386138613863, 0.33, 0.13, 0.1, 0.19, 0.15, 0.1, 0.26, 0.18, 0.12, 0.21, 0.16, 0.07, 0.17, 0.13, 0.29, 0.23, 0.24, 0.12, 0.11, 0.1, 0.08, 0.23, 0.22, 0.2, 0.21, 0.35, 0.22, 0.18, 0.19, 0.21, 0.1, 0.14, 0.19, 0.25, 0.14, 0.24, 0.13, 0.22, 0.17, 0.1, 0.15, 0.06, 0.27, 0.04, 0.14, 0.12, 0.14, 0.2, 0.14, 0.19, 0.14, 0.2, 0.16, 0.26, 0.16, 0.14, 0.13, 0.19, 0.22, 0.17, 0.15, 0.32, 0.22, 0.13, 0.14, 0.27, 0.22, 0.16, 0.17, 0.11, 0.14, 0.3, 0.23, 0.23, 0.18, 0.06, 0.13, 0.2, 0.16, 0.13, 0.1, 0.09, 0.09, 0.18, 0.09, 0.09, 0.18, 0.21, 0.11, 0.18, 0.1, 0.19, 0.03, 0.24, 0.15, 0.29, 0.19, 0.2, 0.1717171717171717]"
69,"[0.22772277227722773, 0.09, 0.21, 0.17, 0.09, 0.22, 0.14, 0.14, 0.08, 0.32, 0.22, 0.19, 0.09, 0.12, 0.24, 0.12, 0.12, 0.25, 0.14, 0.16, 0.13, 0.17, 0.16, 0.22, 0.22, 0.1, 0.08, 0.18, 0.08, 0.21, 0.18, 0.25, 0.17, 0.11, 0.12, 0.19, 0.17, 0.16, 0.09, 0.17, 0.28, 0.18, 0.22, 0.07, 0.19, 0.08, 0.09, 0.2, 0.13, 0.22, 0.24, 0.11, 0.18, 0.2, 0.14, 0.3, 0.18, 0.16, 0.21, 0.07, 0.19, 0.09, 0.15, 0.15, 0.14, 0.29, 0.13, 0.13, 0.1, 0.16, 0.16, 0.11, 0.1, 0.11, 0.22, 0.21, 0.23, 0.07, 0.16, 0.12, 0.15, 0.31, 0.25, 0.28, 0.22, 0.21, 0.22, 0.16, 0.18, 0.18, 0.24, 0.13, 0.12, 0.16, 0.2, 0.11, 0.13, 0.14, 0.16, 0.1717171717171717]"
70,"[0.1485148514851485, 0.32, 0.17, 0.1, 0.19, 0.15, 0.15, 0.26, 0.2, 0.12, 0.27, 0.18, 0.08, 0.19, 0.13, 0.29, 0.23, 0.24, 0.12, 0.11, 0.1, 0.09, 0.23, 0.22, 0.2, 0.2, 0.35, 0.23, 0.23, 0.19, 0.2, 0.1, 0.14, 0.21, 0.25, 0.14, 0.24, 0.13, 0.22, 0.18, 0.1, 0.19, 0.06, 0.29, 0.04, 0.14, 0.14, 0.21, 0.2, 0.14, 0.18, 0.14, 0.22, 0.19, 0.25, 0.19, 0.13, 0.13, 0.19, 0.22, 0.17, 0.18, 0.31, 0.22, 0.13, 0.14, 0.28, 0.22, 0.18, 0.17, 0.15, 0.14, 0.35, 0.26, 0.23, 0.18, 0.06, 0.13, 0.2, 0.16, 0.13, 0.1, 0.09, 0.09, 0.18, 0.09, 0.12, 0.17, 0.21, 0.11, 0.17, 0.1, 0.2, 0.03, 0.24, 0.15, 0.28, 0.11, 0.21, 0.1414141414141414]"
71,"[0.22772277227722773, 0.13, 0.21, 0.18, 0.09, 0.23, 0.14, 0.14, 0.08, 0.32, 0.22, 0.19, 0.1, 0.09, 0.24, 0.12, 0.14, 0.25, 0.14, 0.11, 0.14, 0.18, 0.16, 0.22, 0.22, 0.1, 0.08, 0.17, 0.08, 0.21, 0.19, 0.24, 0.17, 0.12, 0.13, 0.19, 0.16, 0.16, 0.11, 0.17, 0.27, 0.18, 0.21, 0.07, 0.19, 0.08, 0.1, 0.2, 0.11, 0.25, 0.23, 0.11, 0.19, 0.18, 0.14, 0.3, 0.18, 0.14, 0.21, 0.09, 0.19, 0.13, 0.15, 0.2, 0.16, 0.29, 0.12, 0.11, 0.1, 0.16, 0.16, 0.11, 0.1, 0.11, 0.22, 0.21, 0.23, 0.07, 0.16, 0.12, 0.15, 0.32, 0.25, 0.28, 0.23, 0.21, 0.22, 0.16, 0.18, 0.18, 0.24, 0.14, 0.15, 0.18, 0.2, 0.1, 0.13, 0.14, 0.16, 0.1717171717171717]"
72,"[0.1485148514851485, 0.32, 0.18, 0.1, 0.18, 0.15, 0.11, 0.26, 0.2, 0.12, 0.26, 0.18, 0.08, 0.19, 0.13, 0.29, 0.25, 0.24, 0.12, 0.11, 0.1, 0.1, 0.23, 0.22, 0.2, 0.2, 0.35, 0.27, 0.27, 0.19, 0.21, 0.1, 0.15, 0.22, 0.3, 0.14, 0.29, 0.13, 0.22, 0.18, 0.1, 0.2, 0.06, 0.28, 0.06, 0.14, 0.14, 0.21, 0.2, 0.15, 0.18, 0.13, 0.24, 0.19, 0.26, 0.21, 0.14, 0.16, 0.2, 0.22, 0.17, 0.22, 0.32, 0.22, 0.13, 0.14, 0.29, 0.23, 0.19, 0.17, 0.21, 0.14, 0.34, 0.26, 0.23, 0.18, 0.06, 0.13, 0.2, 0.16, 0.13, 0.1, 0.09, 0.09, 0.18, 0.09, 0.12, 0.17, 0.21, 0.11, 0.17, 0.1, 0.23, 0.04, 0.23, 0.14, 0.27, 0.19, 0.21, 0.1717171717171717]"
73,"[0.22772277227722773, 0.14, 0.2, 0.19, 0.09, 0.25, 0.12, 0.14, 0.08, 0.32, 0.22, 0.19, 0.1, 0.08, 0.24, 0.12, 0.15, 0.26, 0.14, 0.1, 0.13, 0.22, 0.17, 0.22, 0.22, 0.1, 0.09, 0.18, 0.08, 0.22, 0.19, 0.24, 0.17, 0.12, 0.12, 0.19, 0.15, 0.17, 0.12, 0.19, 0.27, 0.18, 0.23, 0.07, 0.19, 0.1, 0.17, 0.2, 0.12, 0.26, 0.24, 0.11, 0.19, 0.19, 0.13, 0.3, 0.18, 0.16, 0.21, 0.1, 0.19, 0.19, 0.15, 0.2, 0.17, 0.29, 0.13, 0.13, 0.1, 0.16, 0.16, 0.11, 0.1, 0.12, 0.2, 0.21, 0.23, 0.07, 0.16, 0.12, 0.15, 0.32, 0.24, 0.28, 0.23, 0.25, 0.22, 0.16, 0.18, 0.18, 0.24, 0.15, 0.15, 0.19, 0.18, 0.11, 0.13, 0.16, 0.16, 0.1919191919191919]"
