in_deg_centrality,[10  3  0  8 14 17 25 24 16]
27,"[tensor(0.0333, device='cuda:0'), tensor(0.0114, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0179, device='cuda:0'), tensor(0.0121, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0149, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0234, device='cuda:0'), tensor(0.0141, device='cuda:0'), tensor(0.0227, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0117, device='cuda:0'), tensor(0.0172, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0119, device='cuda:0'), tensor(0.0116, device='cuda:0'), tensor(0.0111, device='cuda:0'), tensor(0.0142, device='cuda:0'), tensor(0.0142, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0139, device='cuda:0'), tensor(0.0143, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0153, device='cuda:0'), tensor(0.0114, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0167, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0157, device='cuda:0'), tensor(0.0121, device='cuda:0'), tensor(0.0231, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0101, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0165, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0165, device='cuda:0'), tensor(0.0147, device='cuda:0'), tensor(0.0131, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0106, device='cuda:0')]"
28,"[tensor(0.0169, device='cuda:0'), tensor(0.0124, device='cuda:0'), tensor(0.0154, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0681, device='cuda:0'), tensor(0.0123, device='cuda:0'), tensor(0.0159, device='cuda:0'), tensor(0.0126, device='cuda:0'), tensor(0.0349, device='cuda:0'), tensor(0.0154, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0149, device='cuda:0'), tensor(0.0136, device='cuda:0'), tensor(0.1109, device='cuda:0'), tensor(0.0179, device='cuda:0'), tensor(0.0118, device='cuda:0'), tensor(0.0145, device='cuda:0'), tensor(0.0130, device='cuda:0'), tensor(0.0136, device='cuda:0'), tensor(0.0148, device='cuda:0'), tensor(0.0167, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0123, device='cuda:0'), tensor(0.0126, device='cuda:0'), tensor(0.0176, device='cuda:0'), tensor(0.0160, device='cuda:0'), tensor(0.0130, device='cuda:0'), tensor(0.0120, device='cuda:0'), tensor(0.0130, device='cuda:0'), tensor(0.0141, device='cuda:0'), tensor(0.0177, device='cuda:0'), tensor(0.0114, device='cuda:0'), tensor(0.0141, device='cuda:0'), tensor(0.0128, device='cuda:0'), tensor(0.0176, device='cuda:0'), tensor(0.0114, device='cuda:0'), tensor(0.0116, device='cuda:0'), tensor(0.0126, device='cuda:0'), tensor(0.0156, device='cuda:0'), tensor(0.0124, device='cuda:0'), tensor(0.0165, device='cuda:0'), tensor(0.0135, device='cuda:0'), tensor(0.0189, device='cuda:0'), tensor(0.0110, device='cuda:0'), tensor(0.0115, device='cuda:0')]"
29,"[tensor(0.0125, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0102, device='cuda:0'), tensor(0.0155, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0102, device='cuda:0'), tensor(0.0148, device='cuda:0'), tensor(0.0111, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0143, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0110, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0118, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0140, device='cuda:0'), tensor(0.0145, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0125, device='cuda:0'), tensor(0.0120, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0147, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0132, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0156, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0160, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0231, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0121, device='cuda:0'), tensor(0.0148, device='cuda:0'), tensor(0.0167, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0102, device='cuda:0')]"
30,"[tensor(0.0134, device='cuda:0'), tensor(0.0152, device='cuda:0'), tensor(0.0162, device='cuda:0'), tensor(0.0252, device='cuda:0'), tensor(0.2079, device='cuda:0'), tensor(0.0120, device='cuda:0'), tensor(0.0139, device='cuda:0'), tensor(0.0138, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0148, device='cuda:0'), tensor(0.0157, device='cuda:0'), tensor(0.0167, device='cuda:0'), tensor(0.0171, device='cuda:0'), tensor(0.0773, device='cuda:0'), tensor(0.0247, device='cuda:0'), tensor(0.0137, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0179, device='cuda:0'), tensor(0.0144, device='cuda:0'), tensor(0.0149, device='cuda:0'), tensor(0.0138, device='cuda:0'), tensor(0.0168, device='cuda:0'), tensor(0.0121, device='cuda:0'), tensor(0.0121, device='cuda:0'), tensor(0.0112, device='cuda:0'), tensor(0.0129, device='cuda:0'), tensor(0.0122, device='cuda:0'), tensor(0.0163, device='cuda:0'), tensor(0.0132, device='cuda:0'), tensor(0.0158, device='cuda:0'), tensor(0.0145, device='cuda:0'), tensor(0.0143, device='cuda:0'), tensor(0.0129, device='cuda:0'), tensor(0.0189, device='cuda:0'), tensor(0.0120, device='cuda:0'), tensor(0.0121, device='cuda:0'), tensor(0.0128, device='cuda:0'), tensor(0.0161, device='cuda:0'), tensor(0.0141, device='cuda:0'), tensor(0.0210, device='cuda:0'), tensor(0.0145, device='cuda:0'), tensor(0.0166, device='cuda:0'), tensor(0.0143, device='cuda:0'), tensor(0.0129, device='cuda:0')]"
31,"[tensor(0.0200, device='cuda:0'), tensor(0.0115, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0134, device='cuda:0'), tensor(0.0282, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0157, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0141, device='cuda:0'), tensor(0.0119, device='cuda:0'), tensor(0.0110, device='cuda:0'), tensor(0.0110, device='cuda:0'), tensor(0.0185, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0126, device='cuda:0'), tensor(0.0155, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0145, device='cuda:0'), tensor(0.0121, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0110, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0141, device='cuda:0'), tensor(0.0143, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0147, device='cuda:0'), tensor(0.0118, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0184, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0158, device='cuda:0'), tensor(0.0114, device='cuda:0'), tensor(0.0197, device='cuda:0'), tensor(0.0110, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0153, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0157, device='cuda:0'), tensor(0.0135, device='cuda:0'), tensor(0.0136, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0103, device='cuda:0')]"
32,"[tensor(0.0104, device='cuda:0'), tensor(0.0133, device='cuda:0'), tensor(0.0165, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0364, device='cuda:0'), tensor(0.0117, device='cuda:0'), tensor(0.0160, device='cuda:0'), tensor(0.0137, device='cuda:0'), tensor(0.0265, device='cuda:0'), tensor(0.0155, device='cuda:0'), tensor(0.0111, device='cuda:0'), tensor(0.0145, device='cuda:0'), tensor(0.0141, device='cuda:0'), tensor(0.1131, device='cuda:0'), tensor(0.0153, device='cuda:0'), tensor(0.0110, device='cuda:0'), tensor(0.0128, device='cuda:0'), tensor(0.0141, device='cuda:0'), tensor(0.0115, device='cuda:0'), tensor(0.0136, device='cuda:0'), tensor(0.0153, device='cuda:0'), tensor(0.0112, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0141, device='cuda:0'), tensor(0.0130, device='cuda:0'), tensor(0.0115, device='cuda:0'), tensor(0.0121, device='cuda:0'), tensor(0.0115, device='cuda:0'), tensor(0.0138, device='cuda:0'), tensor(0.0187, device='cuda:0'), tensor(0.0111, device='cuda:0'), tensor(0.0143, device='cuda:0'), tensor(0.0122, device='cuda:0'), tensor(0.0116, device='cuda:0'), tensor(0.0116, device='cuda:0'), tensor(0.0121, device='cuda:0'), tensor(0.0110, device='cuda:0'), tensor(0.0144, device='cuda:0'), tensor(0.0115, device='cuda:0'), tensor(0.0163, device='cuda:0'), tensor(0.0140, device='cuda:0'), tensor(0.0229, device='cuda:0'), tensor(0.0110, device='cuda:0'), tensor(0.0113, device='cuda:0')]"
33,"[tensor(0.0142, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0102, device='cuda:0'), tensor(0.0134, device='cuda:0'), tensor(0.0117, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0147, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0452, device='cuda:0'), tensor(0.0148, device='cuda:0'), tensor(0.0126, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0120, device='cuda:0'), tensor(0.0138, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0144, device='cuda:0'), tensor(0.0128, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0133, device='cuda:0'), tensor(0.0161, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0147, device='cuda:0'), tensor(0.0111, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0156, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0155, device='cuda:0'), tensor(0.0112, device='cuda:0'), tensor(0.0231, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0137, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0131, device='cuda:0'), tensor(0.0132, device='cuda:0'), tensor(0.0181, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0103, device='cuda:0')]"
34,"[tensor(0.0291, device='cuda:0'), tensor(0.0117, device='cuda:0'), tensor(0.0163, device='cuda:0'), tensor(0.0364, device='cuda:0'), tensor(0.1128, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0144, device='cuda:0'), tensor(0.0125, device='cuda:0'), tensor(0.0396, device='cuda:0'), tensor(0.0147, device='cuda:0'), tensor(0.0161, device='cuda:0'), tensor(0.0133, device='cuda:0'), tensor(0.0141, device='cuda:0'), tensor(0.0346, device='cuda:0'), tensor(0.0509, device='cuda:0'), tensor(0.0138, device='cuda:0'), tensor(0.0114, device='cuda:0'), tensor(0.0126, device='cuda:0'), tensor(0.0180, device='cuda:0'), tensor(0.0144, device='cuda:0'), tensor(0.0159, device='cuda:0'), tensor(0.0125, device='cuda:0'), tensor(0.0118, device='cuda:0'), tensor(0.0119, device='cuda:0'), tensor(0.0137, device='cuda:0'), tensor(0.0133, device='cuda:0'), tensor(0.0117, device='cuda:0'), tensor(0.0127, device='cuda:0'), tensor(0.0154, device='cuda:0'), tensor(0.0114, device='cuda:0'), tensor(0.0168, device='cuda:0'), tensor(0.0134, device='cuda:0'), tensor(0.0137, device='cuda:0'), tensor(0.0142, device='cuda:0'), tensor(0.0254, device='cuda:0'), tensor(0.0132, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0137, device='cuda:0'), tensor(0.0194, device='cuda:0'), tensor(0.0121, device='cuda:0'), tensor(0.0186, device='cuda:0'), tensor(0.0165, device='cuda:0'), tensor(0.0161, device='cuda:0'), tensor(0.0124, device='cuda:0'), tensor(0.0122, device='cuda:0')]"
35,"[tensor(0.0466, device='cuda:0'), tensor(0.0120, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0254, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0156, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0148, device='cuda:0'), tensor(0.0196, device='cuda:0'), tensor(0.0115, device='cuda:0'), tensor(0.0111, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0112, device='cuda:0'), tensor(0.0134, device='cuda:0'), tensor(0.0141, device='cuda:0'), tensor(0.0115, device='cuda:0'), tensor(0.0134, device='cuda:0'), tensor(0.0129, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0160, device='cuda:0'), tensor(0.0133, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0151, device='cuda:0'), tensor(0.0116, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0227, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0153, device='cuda:0'), tensor(0.0117, device='cuda:0'), tensor(0.0183, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0177, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0155, device='cuda:0'), tensor(0.0146, device='cuda:0'), tensor(0.0152, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0107, device='cuda:0')]"
36,"[tensor(0.0104, device='cuda:0'), tensor(0.0170, device='cuda:0'), tensor(0.0165, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.1037, device='cuda:0'), tensor(0.0136, device='cuda:0'), tensor(0.0185, device='cuda:0'), tensor(0.0163, device='cuda:0'), tensor(0.0269, device='cuda:0'), tensor(0.0171, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0199, device='cuda:0'), tensor(0.0193, device='cuda:0'), tensor(0.2081, device='cuda:0'), tensor(0.0325, device='cuda:0'), tensor(0.0125, device='cuda:0'), tensor(0.0139, device='cuda:0'), tensor(0.0148, device='cuda:0'), tensor(0.0135, device='cuda:0'), tensor(0.0153, device='cuda:0'), tensor(0.0164, device='cuda:0'), tensor(0.0117, device='cuda:0'), tensor(0.0112, device='cuda:0'), tensor(0.0116, device='cuda:0'), tensor(0.0139, device='cuda:0'), tensor(0.0143, device='cuda:0'), tensor(0.0147, device='cuda:0'), tensor(0.0122, device='cuda:0'), tensor(0.0121, device='cuda:0'), tensor(0.0143, device='cuda:0'), tensor(0.0206, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0149, device='cuda:0'), tensor(0.0144, device='cuda:0'), tensor(0.0122, device='cuda:0'), tensor(0.0123, device='cuda:0'), tensor(0.0130, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0146, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0205, device='cuda:0'), tensor(0.0129, device='cuda:0'), tensor(0.0136, device='cuda:0'), tensor(0.0126, device='cuda:0'), tensor(0.0110, device='cuda:0')]"
37,"[tensor(0.0142, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0128, device='cuda:0'), tensor(0.0140, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0153, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0153, device='cuda:0'), tensor(0.0191, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0110, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0127, device='cuda:0'), tensor(0.0129, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0110, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0153, device='cuda:0'), tensor(0.0114, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0182, device='cuda:0'), tensor(0.0112, device='cuda:0'), tensor(0.0155, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0179, device='cuda:0'), tensor(0.0110, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0164, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0150, device='cuda:0'), tensor(0.0135, device='cuda:0'), tensor(0.0235, device='cuda:0'), tensor(0.0112, device='cuda:0'), tensor(0.0104, device='cuda:0')]"
38,"[tensor(0.0157, device='cuda:0'), tensor(0.0130, device='cuda:0'), tensor(0.0167, device='cuda:0'), tensor(0.0124, device='cuda:0'), tensor(0.0784, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0140, device='cuda:0'), tensor(0.0138, device='cuda:0'), tensor(0.0388, device='cuda:0'), tensor(0.0156, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0129, device='cuda:0'), tensor(0.0140, device='cuda:0'), tensor(0.0634, device='cuda:0'), tensor(0.0203, device='cuda:0'), tensor(0.0123, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0122, device='cuda:0'), tensor(0.0183, device='cuda:0'), tensor(0.0146, device='cuda:0'), tensor(0.0170, device='cuda:0'), tensor(0.0124, device='cuda:0'), tensor(0.0127, device='cuda:0'), tensor(0.0124, device='cuda:0'), tensor(0.0137, device='cuda:0'), tensor(0.0123, device='cuda:0'), tensor(0.0114, device='cuda:0'), tensor(0.0119, device='cuda:0'), tensor(0.0149, device='cuda:0'), tensor(0.0116, device='cuda:0'), tensor(0.0186, device='cuda:0'), tensor(0.0135, device='cuda:0'), tensor(0.0143, device='cuda:0'), tensor(0.0140, device='cuda:0'), tensor(0.0215, device='cuda:0'), tensor(0.0138, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0129, device='cuda:0'), tensor(0.0238, device='cuda:0'), tensor(0.0135, device='cuda:0'), tensor(0.0145, device='cuda:0'), tensor(0.0159, device='cuda:0'), tensor(0.0137, device='cuda:0'), tensor(0.0144, device='cuda:0'), tensor(0.0129, device='cuda:0')]"
39,"[tensor(0.0335, device='cuda:0'), tensor(0.0110, device='cuda:0'), tensor(0.0102, device='cuda:0'), tensor(0.0277, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0179, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0162, device='cuda:0'), tensor(0.0138, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0185, device='cuda:0'), tensor(0.0251, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0117, device='cuda:0'), tensor(0.0110, device='cuda:0'), tensor(0.0122, device='cuda:0'), tensor(0.0143, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0102, device='cuda:0'), tensor(0.0118, device='cuda:0'), tensor(0.0125, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0161, device='cuda:0'), tensor(0.0111, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0182, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0155, device='cuda:0'), tensor(0.0120, device='cuda:0'), tensor(0.0218, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0159, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0179, device='cuda:0'), tensor(0.0140, device='cuda:0'), tensor(0.0196, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0105, device='cuda:0')]"
40,"[tensor(0.0142, device='cuda:0'), tensor(0.0135, device='cuda:0'), tensor(0.0163, device='cuda:0'), tensor(0.0111, device='cuda:0'), tensor(0.1368, device='cuda:0'), tensor(0.0119, device='cuda:0'), tensor(0.0139, device='cuda:0'), tensor(0.0186, device='cuda:0'), tensor(0.0124, device='cuda:0'), tensor(0.0161, device='cuda:0'), tensor(0.0144, device='cuda:0'), tensor(0.0141, device='cuda:0'), tensor(0.0164, device='cuda:0'), tensor(0.1612, device='cuda:0'), tensor(0.0208, device='cuda:0'), tensor(0.0126, device='cuda:0'), tensor(0.0131, device='cuda:0'), tensor(0.0126, device='cuda:0'), tensor(0.0162, device='cuda:0'), tensor(0.0140, device='cuda:0'), tensor(0.0163, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0121, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0142, device='cuda:0'), tensor(0.0144, device='cuda:0'), tensor(0.0124, device='cuda:0'), tensor(0.0120, device='cuda:0'), tensor(0.0132, device='cuda:0'), tensor(0.0131, device='cuda:0'), tensor(0.0201, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0151, device='cuda:0'), tensor(0.0123, device='cuda:0'), tensor(0.0150, device='cuda:0'), tensor(0.0120, device='cuda:0'), tensor(0.0126, device='cuda:0'), tensor(0.0120, device='cuda:0'), tensor(0.0154, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0143, device='cuda:0'), tensor(0.0159, device='cuda:0'), tensor(0.0190, device='cuda:0'), tensor(0.0118, device='cuda:0'), tensor(0.0110, device='cuda:0')]"
41,"[tensor(0.0103, device='cuda:0'), tensor(0.0112, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0135, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0189, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0112, device='cuda:0'), tensor(0.0137, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0116, device='cuda:0'), tensor(0.0130, device='cuda:0'), tensor(0.0119, device='cuda:0'), tensor(0.0132, device='cuda:0'), tensor(0.0154, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0146, device='cuda:0'), tensor(0.0141, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0117, device='cuda:0'), tensor(0.0111, device='cuda:0'), tensor(0.0125, device='cuda:0'), tensor(0.0142, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0168, device='cuda:0'), tensor(0.0116, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0220, device='cuda:0'), tensor(0.0116, device='cuda:0'), tensor(0.0152, device='cuda:0'), tensor(0.0124, device='cuda:0'), tensor(0.0210, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0114, device='cuda:0'), tensor(0.0181, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0151, device='cuda:0'), tensor(0.0167, device='cuda:0'), tensor(0.0221, device='cuda:0'), tensor(0.0122, device='cuda:0'), tensor(0.0105, device='cuda:0')]"
42,"[tensor(0.0103, device='cuda:0'), tensor(0.0123, device='cuda:0'), tensor(0.0164, device='cuda:0'), tensor(0.0122, device='cuda:0'), tensor(0.1143, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0145, device='cuda:0'), tensor(0.0137, device='cuda:0'), tensor(0.0311, device='cuda:0'), tensor(0.0156, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0124, device='cuda:0'), tensor(0.0146, device='cuda:0'), tensor(0.0311, device='cuda:0'), tensor(0.0203, device='cuda:0'), tensor(0.0121, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0165, device='cuda:0'), tensor(0.0133, device='cuda:0'), tensor(0.0166, device='cuda:0'), tensor(0.0128, device='cuda:0'), tensor(0.0124, device='cuda:0'), tensor(0.0116, device='cuda:0'), tensor(0.0120, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0119, device='cuda:0'), tensor(0.0124, device='cuda:0'), tensor(0.0128, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0204, device='cuda:0'), tensor(0.0142, device='cuda:0'), tensor(0.0151, device='cuda:0'), tensor(0.0125, device='cuda:0'), tensor(0.0185, device='cuda:0'), tensor(0.0122, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0189, device='cuda:0'), tensor(0.0118, device='cuda:0'), tensor(0.0152, device='cuda:0'), tensor(0.0126, device='cuda:0'), tensor(0.0171, device='cuda:0'), tensor(0.0118, device='cuda:0'), tensor(0.0119, device='cuda:0')]"
43,"[tensor(0.0527, device='cuda:0'), tensor(0.0116, device='cuda:0'), tensor(0.0102, device='cuda:0'), tensor(0.0302, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0111, device='cuda:0'), tensor(0.0139, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0510, device='cuda:0'), tensor(0.0138, device='cuda:0'), tensor(0.0188, device='cuda:0'), tensor(0.0117, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0396, device='cuda:0'), tensor(0.0124, device='cuda:0'), tensor(0.0112, device='cuda:0'), tensor(0.0115, device='cuda:0'), tensor(0.0122, device='cuda:0'), tensor(0.0150, device='cuda:0'), tensor(0.0139, device='cuda:0'), tensor(0.0115, device='cuda:0'), tensor(0.0118, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0120, device='cuda:0'), tensor(0.0131, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0167, device='cuda:0'), tensor(0.0123, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0185, device='cuda:0'), tensor(0.0114, device='cuda:0'), tensor(0.0153, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0182, device='cuda:0'), tensor(0.0111, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0154, device='cuda:0'), tensor(0.0116, device='cuda:0'), tensor(0.0145, device='cuda:0'), tensor(0.0154, device='cuda:0'), tensor(0.0155, device='cuda:0'), tensor(0.0119, device='cuda:0'), tensor(0.0108, device='cuda:0')]"
