closeness_centrality,[5. 2.]
35,"[tensor(1.8372), tensor(1.8020), tensor(1.8712), tensor(1.8784), tensor(1.7426), tensor(1.7289), tensor(1.8424), tensor(1.7516), tensor(1.8810), tensor(1.8488)]"
36,"[tensor(1.7817), tensor(1.8419), tensor(1.7402), tensor(1.7419), tensor(1.8469), tensor(1.8843), tensor(1.7429), tensor(1.8883), tensor(1.7369), tensor(1.7798)]"
37,"[tensor(1.8359), tensor(1.7737), tensor(1.8662), tensor(1.8815), tensor(1.7299), tensor(1.6988), tensor(1.8372), tensor(1.7200), tensor(1.8782), tensor(1.8336)]"
38,"[tensor(1.7680), tensor(1.8048), tensor(1.7176), tensor(1.7389), tensor(1.8472), tensor(1.8839), tensor(1.7400), tensor(1.8919), tensor(1.7159), tensor(1.7659)]"
39,"[tensor(1.8211), tensor(1.7779), tensor(1.8636), tensor(1.8849), tensor(1.7025), tensor(1.6816), tensor(1.8210), tensor(1.7034), tensor(1.8733), tensor(1.7697)]"
40,"[tensor(1.7826), tensor(1.7721), tensor(1.6981), tensor(1.7248), tensor(1.8340), tensor(1.8735), tensor(1.7426), tensor(1.8930), tensor(1.6939), tensor(1.7627)]"
41,"[tensor(1.7846), tensor(1.7885), tensor(1.8551), tensor(1.8809), tensor(1.6826), tensor(1.6878), tensor(1.7844), tensor(1.7161), tensor(1.8541), tensor(1.7533)]"
42,"[tensor(1.7756), tensor(1.7887), tensor(1.6809), tensor(1.7268), tensor(1.8045), tensor(1.8493), tensor(1.7357), tensor(1.8725), tensor(1.6853), tensor(1.7601)]"
43,"[tensor(1.7474), tensor(1.7657), tensor(1.8362), tensor(1.8531), tensor(1.6561), tensor(1.7051), tensor(1.7461), tensor(1.7343), tensor(1.8156), tensor(1.7550)]"
44,"[tensor(1.7675), tensor(1.7774), tensor(1.6664), tensor(1.7304), tensor(1.7922), tensor(1.8187), tensor(1.7252), tensor(1.8335), tensor(1.6794), tensor(1.7242)]"
45,"[tensor(1.7180), tensor(1.7169), tensor(1.8125), tensor(1.8159), tensor(1.6370), tensor(1.6908), tensor(1.7186), tensor(1.7379), tensor(1.7922), tensor(1.7373)]"
46,"[tensor(1.7587), tensor(1.7697), tensor(1.6523), tensor(1.7108), tensor(1.7812), tensor(1.7928), tensor(1.7166), tensor(1.8037), tensor(1.6685), tensor(1.6666)]"
47,"[tensor(1.7002), tensor(1.6768), tensor(1.7977), tensor(1.7959), tensor(1.6265), tensor(1.6621), tensor(1.7018), tensor(1.7293), tensor(1.7912), tensor(1.7527)]"
48,"[tensor(1.7554), tensor(1.7737), tensor(1.6426), tensor(1.7018), tensor(1.7771), tensor(1.7889), tensor(1.7118), tensor(1.8004), tensor(1.6597), tensor(1.6457)]"
49,"[tensor(1.7123), tensor(1.6716), tensor(1.7996), tensor(1.8014), tensor(1.6291), tensor(1.6509), tensor(1.7146), tensor(1.7226), tensor(1.7993), tensor(1.7720)]"
50,"[tensor(1.7603), tensor(1.7760), tensor(1.6443), tensor(1.7029), tensor(1.7855), tensor(1.8054), tensor(1.7228), tensor(1.8199), tensor(1.6568), tensor(1.6549)]"
51,"[tensor(1.7235), tensor(1.6845), tensor(1.8145), tensor(1.8194), tensor(1.6380), tensor(1.6481), tensor(1.7283), tensor(1.7149), tensor(1.8131), tensor(1.7877)]"
