closeness_centrality,[5.]
31,"[tensor(2.2831), tensor(2.2824), tensor(2.2842), tensor(2.2848), tensor(2.2832), tensor(2.2730), tensor(2.2798), tensor(2.2672), tensor(2.2777), tensor(2.2670)]"
32,"[tensor(2.2776), tensor(2.2686), tensor(2.2653), tensor(2.2634), tensor(2.2753), tensor(2.2792), tensor(2.2713), tensor(2.2860), tensor(2.2677), tensor(2.2823)]"
33,"[tensor(2.2798), tensor(2.2755), tensor(2.2808), tensor(2.2798), tensor(2.2792), tensor(2.2690), tensor(2.2755), tensor(2.2629), tensor(2.2694), tensor(2.2619)]"
34,"[tensor(2.2727), tensor(2.2626), tensor(2.2601), tensor(2.2580), tensor(2.2705), tensor(2.2714), tensor(2.2654), tensor(2.2813), tensor(2.2615), tensor(2.2768)]"
35,"[tensor(2.2740), tensor(2.2674), tensor(2.2758), tensor(2.2733), tensor(2.2736), tensor(2.2635), tensor(2.2688), tensor(2.2564), tensor(2.2617), tensor(2.2545)]"
36,"[tensor(2.2668), tensor(2.2540), tensor(2.2526), tensor(2.2488), tensor(2.2629), tensor(2.2631), tensor(2.2586), tensor(2.2757), tensor(2.2589), tensor(2.2698)]"
37,"[tensor(2.2673), tensor(2.2599), tensor(2.2719), tensor(2.2703), tensor(2.2672), tensor(2.2585), tensor(2.2608), tensor(2.2495), tensor(2.2521), tensor(2.2465)]"
38,"[tensor(2.2612), tensor(2.2471), tensor(2.2465), tensor(2.2419), tensor(2.2529), tensor(2.2580), tensor(2.2531), tensor(2.2698), tensor(2.2579), tensor(2.2628)]"
39,"[tensor(2.2606), tensor(2.2596), tensor(2.2670), tensor(2.2677), tensor(2.2624), tensor(2.2541), tensor(2.2561), tensor(2.2440), tensor(2.2440), tensor(2.2393)]"
40,"[tensor(2.2571), tensor(2.2469), tensor(2.2415), tensor(2.2353), tensor(2.2456), tensor(2.2526), tensor(2.2523), tensor(2.2658), tensor(2.2574), tensor(2.2578)]"
41,"[tensor(2.2557), tensor(2.2608), tensor(2.2630), tensor(2.2651), tensor(2.2598), tensor(2.2500), tensor(2.2514), tensor(2.2407), tensor(2.2396), tensor(2.2350)]"
42,"[tensor(2.2550), tensor(2.2466), tensor(2.2367), tensor(2.2307), tensor(2.2398), tensor(2.2473), tensor(2.2533), tensor(2.2632), tensor(2.2556), tensor(2.2556)]"
43,"[tensor(2.2511), tensor(2.2562), tensor(2.2601), tensor(2.2631), tensor(2.2596), tensor(2.2547), tensor(2.2455), tensor(2.2383), tensor(2.2338), tensor(2.2340)]"
44,"[tensor(2.2583), tensor(2.2521), tensor(2.2410), tensor(2.2385), tensor(2.2361), tensor(2.2337), tensor(2.2600), tensor(2.2580), tensor(2.2567), tensor(2.2514)]"
45,"[tensor(2.2461), tensor(2.2498), tensor(2.2585), tensor(2.2572), tensor(2.2609), tensor(2.2588), tensor(2.2395), tensor(2.2482), tensor(2.2311), tensor(2.2447)]"
