betweeness_centrality,[ 0 14 15  6]
20,"[tensor(0.0039, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0041, device='cuda:2')]"
21,"[tensor(0.0040, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0040, device='cuda:2')]"
22,"[tensor(0.0039, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0040, device='cuda:2')]"
23,"[tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0039, device='cuda:2')]"
24,"[tensor(0.0038, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0040, device='cuda:2')]"
25,"[tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0039, device='cuda:2')]"
26,"[tensor(0.0038, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0040, device='cuda:2')]"
27,"[tensor(0.0038, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0039, device='cuda:2')]"
28,"[tensor(0.0040, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2')]"
29,"[tensor(0.0037, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0040, device='cuda:2')]"
