eigenvector_centrality,[9]
76,"[0.237, 0.238, 0.121, 0.218, 0.167, 0.254, 0.234, 0.136, 0.147, 0.285]"
77,"[0.186, 0.138, 0.213, 0.183, 0.192, 0.178, 0.15, 0.209, 0.238, 0.408]"
78,"[0.235, 0.232, 0.12, 0.214, 0.16, 0.237, 0.228, 0.138, 0.151, 0.261]"
79,"[0.19, 0.137, 0.212, 0.182, 0.182, 0.182, 0.148, 0.207, 0.239, 0.41]"
80,"[0.218, 0.237, 0.12, 0.206, 0.159, 0.217, 0.221, 0.136, 0.147, 0.238]"
81,"[0.19, 0.135, 0.201, 0.181, 0.182, 0.177, 0.147, 0.198, 0.233, 0.336]"
82,"[0.217, 0.221, 0.12, 0.205, 0.16, 0.211, 0.213, 0.136, 0.144, 0.218]"
83,"[0.196, 0.136, 0.195, 0.181, 0.181, 0.175, 0.148, 0.195, 0.227, 0.314]"
84,"[0.224, 0.214, 0.12, 0.207, 0.164, 0.215, 0.215, 0.136, 0.144, 0.182]"
85,"[0.192, 0.136, 0.195, 0.18, 0.174, 0.177, 0.148, 0.196, 0.226, 0.319]"
86,"[0.229, 0.209, 0.122, 0.206, 0.168, 0.219, 0.214, 0.139, 0.147, 0.229]"
87,"[0.188, 0.138, 0.193, 0.184, 0.178, 0.177, 0.151, 0.197, 0.227, 0.308]"
88,"[0.232, 0.21, 0.126, 0.205, 0.168, 0.221, 0.211, 0.141, 0.15, 0.262]"
89,"[0.196, 0.139, 0.194, 0.18, 0.187, 0.176, 0.149, 0.201, 0.226, 0.244]"
90,"[0.215, 0.221, 0.126, 0.195, 0.179, 0.222, 0.205, 0.142, 0.151, 0.31]"
91,"[0.181, 0.139, 0.189, 0.178, 0.198, 0.169, 0.147, 0.198, 0.216, 0.271]"
92,"[0.212, 0.212, 0.122, 0.194, 0.185, 0.24, 0.208, 0.136, 0.143, 0.357]"
93,"[0.188, 0.14, 0.201, 0.177, 0.195, 0.174, 0.15, 0.199, 0.211, 0.266]"
94,"[0.212, 0.228, 0.126, 0.199, 0.192, 0.249, 0.212, 0.139, 0.148, 0.371]"
95,"[0.201, 0.143, 0.198, 0.181, 0.194, 0.179, 0.156, 0.204, 0.211, 0.299]"
96,"[0.216, 0.237, 0.13, 0.201, 0.195, 0.249, 0.207, 0.146, 0.155, 0.319]"
97,"[0.201, 0.144, 0.202, 0.183, 0.197, 0.185, 0.159, 0.203, 0.216, 0.288]"
98,"[0.215, 0.239, 0.133, 0.201, 0.201, 0.253, 0.212, 0.147, 0.152, 0.388]"
99,"[0.209, 0.15, 0.202, 0.186, 0.197, 0.192, 0.162, 0.202, 0.219, 0.29]"
