eigenvector_centrality,[9]
77,"[0.252, 0.109, 0.193, 0.234, 0.267, 0.135, 0.128, 0.094, 0.279, 0.332]"
78,"[0.111, 0.209, 0.117, 0.109, 0.098, 0.289, 0.279, 0.222, 0.109, 0.379]"
79,"[0.262, 0.115, 0.093, 0.229, 0.294, 0.125, 0.131, 0.094, 0.278, 0.32]"
80,"[0.113, 0.22, 0.253, 0.22, 0.096, 0.301, 0.24, 0.205, 0.109, 0.403]"
81,"[0.251, 0.12, 0.086, 0.107, 0.299, 0.122, 0.199, 0.107, 0.278, 0.319]"
82,"[0.124, 0.248, 0.26, 0.274, 0.099, 0.315, 0.117, 0.099, 0.11, 0.412]"
83,"[0.112, 0.127, 0.086, 0.091, 0.302, 0.125, 0.36, 0.264, 0.253, 0.307]"
84,"[0.229, 0.279, 0.262, 0.276, 0.103, 0.322, 0.118, 0.094, 0.124, 0.441]"
85,"[0.105, 0.136, 0.093, 0.091, 0.314, 0.13, 0.367, 0.276, 0.209, 0.327]"
86,"[0.284, 0.271, 0.27, 0.281, 0.109, 0.323, 0.124, 0.098, 0.124, 0.462]"
87,"[0.106, 0.141, 0.096, 0.095, 0.303, 0.135, 0.367, 0.276, 0.193, 0.386]"
88,"[0.281, 0.23, 0.269, 0.285, 0.118, 0.307, 0.129, 0.097, 0.127, 0.353]"
89,"[0.106, 0.132, 0.093, 0.095, 0.29, 0.13, 0.358, 0.276, 0.163, 0.4]"
90,"[0.287, 0.238, 0.266, 0.289, 0.112, 0.306, 0.129, 0.096, 0.138, 0.382]"
91,"[0.106, 0.126, 0.093, 0.095, 0.298, 0.134, 0.369, 0.276, 0.153, 0.403]"
92,"[0.292, 0.21, 0.264, 0.295, 0.117, 0.312, 0.132, 0.097, 0.135, 0.397]"
93,"[0.106, 0.127, 0.094, 0.096, 0.299, 0.143, 0.375, 0.274, 0.138, 0.404]"
94,"[0.291, 0.198, 0.256, 0.294, 0.123, 0.314, 0.136, 0.098, 0.142, 0.504]"
95,"[0.106, 0.125, 0.094, 0.096, 0.294, 0.144, 0.38, 0.271, 0.13, 0.391]"
96,"[0.29, 0.179, 0.251, 0.298, 0.12, 0.311, 0.137, 0.098, 0.155, 0.518]"
97,"[0.107, 0.122, 0.093, 0.096, 0.286, 0.144, 0.383, 0.262, 0.118, 0.372]"
98,"[0.298, 0.166, 0.241, 0.3, 0.119, 0.312, 0.139, 0.098, 0.205, 0.525]"
99,"[0.108, 0.119, 0.092, 0.096, 0.275, 0.141, 0.384, 0.256, 0.109, 0.438]"
