out_deg_centrality,[7. 9.]
82,"[0.318, 0.296, 0.28, 0.252, 0.176, 0.127, 0.253, 0.099, 0.313, 0.167]"
83,"[0.157, 0.159, 0.169, 0.13, 0.282, 0.262, 0.139, 0.219, 0.14, 0.292]"
84,"[0.322, 0.302, 0.289, 0.258, 0.152, 0.109, 0.274, 0.099, 0.313, 0.137]"
85,"[0.139, 0.122, 0.126, 0.123, 0.286, 0.27, 0.109, 0.222, 0.104, 0.294]"
86,"[0.332, 0.32, 0.29, 0.271, 0.133, 0.105, 0.293, 0.098, 0.305, 0.163]"
87,"[0.12, 0.104, 0.1, 0.121, 0.311, 0.286, 0.093, 0.23, 0.099, 0.309]"
88,"[0.315, 0.307, 0.272, 0.253, 0.216, 0.114, 0.257, 0.098, 0.309, 0.093]"
89,"[0.123, 0.109, 0.138, 0.121, 0.302, 0.245, 0.102, 0.229, 0.105, 0.317]"
90,"[0.318, 0.307, 0.263, 0.257, 0.268, 0.162, 0.272, 0.098, 0.305, 0.092]"
91,"[0.156, 0.157, 0.253, 0.132, 0.292, 0.244, 0.159, 0.225, 0.154, 0.318]"
92,"[0.319, 0.307, 0.265, 0.236, 0.285, 0.202, 0.261, 0.099, 0.307, 0.112]"
93,"[0.2, 0.208, 0.281, 0.186, 0.272, 0.235, 0.189, 0.224, 0.2, 0.306]"
94,"[0.307, 0.291, 0.261, 0.215, 0.285, 0.235, 0.229, 0.108, 0.297, 0.185]"
95,"[0.261, 0.261, 0.284, 0.195, 0.276, 0.237, 0.195, 0.198, 0.25, 0.269]"
96,"[0.294, 0.266, 0.28, 0.202, 0.285, 0.168, 0.218, 0.136, 0.278, 0.282]"
97,"[0.266, 0.281, 0.275, 0.194, 0.329, 0.233, 0.199, 0.168, 0.256, 0.304]"
98,"[0.294, 0.29, 0.359, 0.196, 0.271, 0.156, 0.238, 0.132, 0.267, 0.293]"
99,"[0.271, 0.283, 0.275, 0.191, 0.396, 0.24, 0.191, 0.153, 0.246, 0.321]"
