eigenvector_centrality,[0]
81,"[0.439, 0.307, 0.476, 0.455, 0.476, 0.45, 0.362, 0.363, 0.37, 0.451]"
82,"[0.37, 0.455, 0.491, 0.477, 0.366, 0.408, 0.482, 0.502, 0.44, 0.408]"
83,"[0.428, 0.357, 0.458, 0.449, 0.463, 0.452, 0.385, 0.399, 0.368, 0.445]"
84,"[0.393, 0.458, 0.503, 0.484, 0.377, 0.409, 0.474, 0.486, 0.448, 0.407]"
85,"[0.457, 0.389, 0.443, 0.424, 0.461, 0.466, 0.407, 0.407, 0.379, 0.451]"
86,"[0.398, 0.475, 0.507, 0.506, 0.376, 0.412, 0.482, 0.484, 0.477, 0.406]"
87,"[0.48, 0.394, 0.44, 0.442, 0.495, 0.5, 0.415, 0.404, 0.378, 0.489]"
88,"[0.398, 0.503, 0.448, 0.517, 0.377, 0.438, 0.505, 0.507, 0.502, 0.405]"
89,"[0.51, 0.396, 0.453, 0.449, 0.505, 0.472, 0.432, 0.433, 0.368, 0.473]"
90,"[0.4, 0.53, 0.445, 0.497, 0.343, 0.428, 0.516, 0.51, 0.485, 0.357]"
91,"[0.516, 0.386, 0.46, 0.433, 0.488, 0.463, 0.461, 0.452, 0.366, 0.45]"
92,"[0.385, 0.527, 0.435, 0.491, 0.322, 0.438, 0.522, 0.522, 0.474, 0.356]"
93,"[0.488, 0.39, 0.467, 0.425, 0.465, 0.464, 0.479, 0.454, 0.362, 0.45]"
94,"[0.379, 0.509, 0.435, 0.476, 0.354, 0.411, 0.512, 0.514, 0.462, 0.383]"
95,"[0.474, 0.433, 0.468, 0.45, 0.458, 0.464, 0.473, 0.449, 0.337, 0.444]"
96,"[0.413, 0.513, 0.438, 0.495, 0.363, 0.4, 0.512, 0.505, 0.463, 0.377]"
97,"[0.485, 0.391, 0.464, 0.433, 0.455, 0.478, 0.473, 0.45, 0.348, 0.449]"
98,"[0.386, 0.503, 0.471, 0.495, 0.357, 0.392, 0.495, 0.492, 0.485, 0.369]"
99,"[0.486, 0.382, 0.458, 0.442, 0.45, 0.518, 0.449, 0.463, 0.36, 0.421]"
