eigenvector_centrality,[0]
88,"[0.3, 0.384, 0.354, 0.207, 0.339, 0.514, 0.382, 0.423, 0.336, 0.351]"
89,"[0.298, 0.438, 0.397, 0.425, 0.274, 0.385, 0.326, 0.434, 0.304, 0.374]"
90,"[0.306, 0.391, 0.365, 0.212, 0.352, 0.523, 0.388, 0.422, 0.337, 0.376]"
91,"[0.295, 0.443, 0.405, 0.424, 0.274, 0.385, 0.347, 0.441, 0.322, 0.378]"
92,"[0.314, 0.408, 0.374, 0.226, 0.356, 0.526, 0.391, 0.423, 0.338, 0.399]"
93,"[0.309, 0.447, 0.41, 0.408, 0.255, 0.385, 0.36, 0.455, 0.329, 0.392]"
94,"[0.314, 0.42, 0.39, 0.236, 0.358, 0.534, 0.396, 0.425, 0.328, 0.423]"
95,"[0.313, 0.449, 0.42, 0.418, 0.241, 0.389, 0.371, 0.463, 0.32, 0.398]"
96,"[0.316, 0.427, 0.389, 0.25, 0.389, 0.535, 0.398, 0.43, 0.369, 0.433]"
97,"[0.335, 0.453, 0.425, 0.448, 0.238, 0.387, 0.391, 0.467, 0.318, 0.404]"
98,"[0.329, 0.434, 0.388, 0.26, 0.432, 0.531, 0.407, 0.435, 0.415, 0.435]"
99,"[0.398, 0.453, 0.434, 0.456, 0.245, 0.391, 0.399, 0.472, 0.312, 0.411]"
