in_deg_centrality,[]
18,"[0.103, 0.091, 0.109, 0.09, 0.112, 0.103, 0.109, 0.104, 0.167, 0.079]"
19,"[0.103, 0.114, 0.109, 0.091, 0.112, 0.099, 0.109, 0.104, 0.088, 0.079]"
20,"[0.103, 0.114, 0.109, 0.104, 0.111, 0.09, 0.109, 0.104, 0.097, 0.079]"
21,"[0.103, 0.114, 0.109, 0.104, 0.112, 0.09, 0.109, 0.104, 0.164, 0.079]"
22,"[0.103, 0.106, 0.109, 0.122, 0.112, 0.09, 0.109, 0.104, 0.163, 0.079]"
23,"[0.103, 0.104, 0.109, 0.117, 0.112, 0.09, 0.109, 0.104, 0.091, 0.079]"
24,"[0.103, 0.117, 0.109, 0.122, 0.108, 0.09, 0.109, 0.104, 0.091, 0.079]"
25,"[0.103, 0.118, 0.109, 0.116, 0.109, 0.09, 0.109, 0.104, 0.091, 0.079]"
26,"[0.103, 0.114, 0.109, 0.093, 0.111, 0.09, 0.109, 0.104, 0.091, 0.079]"
27,"[0.103, 0.125, 0.087, 0.093, 0.112, 0.09, 0.109, 0.104, 0.091, 0.079]"
28,"[0.103, 0.114, 0.087, 0.105, 0.112, 0.09, 0.109, 0.104, 0.091, 0.079]"
29,"[0.103, 0.109, 0.087, 0.105, 0.112, 0.09, 0.109, 0.104, 0.091, 0.079]"
30,"[0.103, 0.114, 0.087, 0.105, 0.112, 0.09, 0.109, 0.104, 0.091, 0.101]"
31,"[0.103, 0.114, 0.087, 0.105, 0.112, 0.09, 0.109, 0.104, 0.091, 0.101]"
32,"[0.103, 0.114, 0.087, 0.105, 0.112, 0.09, 0.109, 0.104, 0.091, 0.101]"
33,"[0.103, 0.114, 0.087, 0.105, 0.112, 0.09, 0.109, 0.104, 0.099, 0.101]"
34,"[0.116, 0.093, 0.087, 0.105, 0.112, 0.09, 0.103, 0.104, 0.099, 0.101]"
35,"[0.116, 0.093, 0.087, 0.105, 0.112, 0.09, 0.103, 0.104, 0.099, 0.101]"
36,"[0.116, 0.093, 0.087, 0.105, 0.112, 0.09, 0.103, 0.104, 0.099, 0.101]"
37,"[0.116, 0.093, 0.087, 0.105, 0.112, 0.09, 0.103, 0.104, 0.099, 0.101]"
38,"[0.116, 0.093, 0.087, 0.105, 0.112, 0.09, 0.092, 0.104, 0.099, 0.101]"
39,"[0.116, 0.093, 0.087, 0.105, 0.112, 0.09, 0.104, 0.104, 0.099, 0.101]"
40,"[0.116, 0.093, 0.087, 0.105, 0.112, 0.09, 0.101, 0.104, 0.099, 0.101]"
41,"[0.116, 0.093, 0.087, 0.105, 0.112, 0.09, 0.103, 0.104, 0.099, 0.101]"
42,"[0.116, 0.093, 0.087, 0.105, 0.112, 0.09, 0.103, 0.104, 0.099, 0.101]"
43,"[0.116, 0.093, 0.087, 0.105, 0.112, 0.09, 0.103, 0.104, 0.099, 0.101]"
44,"[0.116, 0.093, 0.087, 0.105, 0.112, 0.09, 0.103, 0.104, 0.099, 0.101]"
45,"[0.116, 0.093, 0.087, 0.105, 0.112, 0.09, 0.103, 0.104, 0.099, 0.101]"
46,"[0.116, 0.093, 0.087, 0.105, 0.112, 0.09, 0.103, 0.104, 0.099, 0.101]"
47,"[0.116, 0.093, 0.087, 0.105, 0.112, 0.094, 0.103, 0.104, 0.099, 0.101]"
48,"[0.116, 0.093, 0.087, 0.105, 0.112, 0.095, 0.103, 0.104, 0.099, 0.101]"
49,"[0.116, 0.093, 0.087, 0.105, 0.112, 0.095, 0.103, 0.13, 0.099, 0.101]"
50,"[0.116, 0.093, 0.087, 0.105, 0.112, 0.095, 0.103, 0.104, 0.099, 0.101]"
51,"[0.116, 0.093, 0.087, 0.105, 0.112, 0.095, 0.103, 0.104, 0.099, 0.101]"
52,"[0.116, 0.093, 0.087, 0.105, 0.112, 0.095, 0.103, 0.104, 0.099, 0.101]"
53,"[0.116, 0.093, 0.087, 0.105, 0.112, 0.095, 0.103, 0.104, 0.099, 0.101]"
54,"[0.116, 0.093, 0.087, 0.097, 0.112, 0.095, 0.103, 0.104, 0.099, 0.101]"
55,"[0.116, 0.093, 0.087, 0.097, 0.112, 0.095, 0.103, 0.104, 0.099, 0.101]"
56,"[0.116, 0.093, 0.087, 0.097, 0.112, 0.095, 0.103, 0.104, 0.099, 0.101]"
57,"[0.116, 0.093, 0.087, 0.097, 0.112, 0.051, 0.103, 0.104, 0.099, 0.101]"
58,"[0.116, 0.093, 0.087, 0.097, 0.112, 0.086, 0.103, 0.104, 0.099, 0.101]"
59,"[0.116, 0.093, 0.087, 0.097, 0.112, 0.086, 0.103, 0.104, 0.099, 0.101]"
60,"[0.116, 0.093, 0.087, 0.097, 0.112, 0.086, 0.103, 0.104, 0.099, 0.101]"
61,"[0.116, 0.093, 0.087, 0.097, 0.112, 0.086, 0.103, 0.104, 0.099, 0.101]"
62,"[0.116, 0.093, 0.087, 0.097, 0.112, 0.086, 0.103, 0.104, 0.099, 0.101]"
63,"[0.116, 0.093, 0.087, 0.097, 0.112, 0.086, 0.103, 0.104, 0.099, 0.101]"
64,"[0.116, 0.093, 0.087, 0.097, 0.113, 0.086, 0.103, 0.104, 0.099, 0.101]"
65,"[0.116, 0.093, 0.087, 0.097, 0.095, 0.086, 0.103, 0.104, 0.099, 0.101]"
66,"[0.116, 0.093, 0.087, 0.097, 0.083, 0.086, 0.103, 0.104, 0.099, 0.101]"
67,"[0.116, 0.093, 0.087, 0.097, 0.083, 0.086, 0.103, 0.104, 0.099, 0.101]"
68,"[0.116, 0.093, 0.114, 0.097, 0.083, 0.086, 0.109, 0.104, 0.099, 0.103]"
69,"[0.116, 0.093, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.099, 0.103]"
70,"[0.116, 0.093, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.099, 0.103]"
71,"[0.116, 0.093, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.099, 0.103]"
72,"[0.116, 0.093, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.099, 0.103]"
73,"[0.116, 0.093, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.099, 0.103]"
74,"[0.116, 0.093, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.053, 0.103]"
75,"[0.08, 0.093, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.045, 0.103]"
76,"[0.08, 0.093, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.042, 0.103]"
77,"[0.08, 0.093, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.085, 0.103]"
78,"[0.08, 0.093, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.112, 0.103]"
79,"[0.08, 0.093, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.113, 0.103]"
80,"[0.08, 0.093, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.113, 0.103]"
81,"[0.08, 0.093, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.113, 0.103]"
82,"[0.08, 0.093, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.113, 0.103]"
83,"[0.08, 0.093, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.113, 0.103]"
84,"[0.08, 0.093, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.113, 0.103]"
85,"[0.08, 0.024, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.113, 0.103]"
86,"[0.08, 0.079, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.113, 0.103]"
87,"[0.08, 0.059, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.113, 0.103]"
88,"[0.08, 0.096, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.113, 0.103]"
89,"[0.08, 0.109, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.113, 0.103]"
90,"[0.08, 0.109, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.113, 0.103]"
91,"[0.08, 0.109, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.113, 0.103]"
92,"[0.08, 0.109, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.113, 0.103]"
93,"[0.08, 0.109, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.113, 0.103]"
94,"[0.08, 0.109, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.113, 0.103]"
95,"[0.08, 0.109, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.113, 0.103]"
96,"[0.08, 0.109, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.113, 0.103]"
97,"[0.08, 0.109, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.113, 0.103]"
98,"[0.08, 0.109, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.113, 0.103]"
99,"[0.08, 0.109, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.113, 0.103]"
out_deg_centrality,[]
0,"[0.095, 0.085, 0.087, 0.081, 0.112, 0.103, 0.114, 0.085, 0.088, 0.12]"
1,"[0.08, 0.086, 0.087, 0.096, 0.112, 0.103, 0.093, 0.085, 0.103, 0.101]"
2,"[0.094, 0.086, 0.087, 0.097, 0.112, 0.103, 0.093, 0.104, 0.103, 0.1]"
3,"[0.128, 0.086, 0.107, 0.097, 0.112, 0.103, 0.093, 0.104, 0.103, 0.1]"
4,"[0.097, 0.105, 0.116, 0.097, 0.112, 0.103, 0.088, 0.104, 0.102, 0.1]"
5,"[0.08, 0.113, 0.116, 0.097, 0.083, 0.086, 0.095, 0.104, 0.078, 0.1]"
6,"[0.08, 0.113, 0.116, 0.097, 0.083, 0.086, 0.095, 0.104, 0.088, 0.1]"
7,"[0.08, 0.109, 0.116, 0.097, 0.083, 0.086, 0.095, 0.104, 0.088, 0.1]"
8,"[0.08, 0.109, 0.116, 0.097, 0.083, 0.086, 0.095, 0.104, 0.088, 0.1]"
9,"[0.08, 0.109, 0.116, 0.097, 0.083, 0.086, 0.161, 0.104, 0.171, 0.1]"
10,"[0.08, 0.109, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.189, 0.1]"
11,"[0.08, 0.109, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.149, 0.1]"
12,"[0.08, 0.109, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.118, 0.1]"
13,"[0.08, 0.109, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.122, 0.111]"
14,"[0.08, 0.109, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.113, 0.103]"
15,"[0.08, 0.109, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.113, 0.103]"
16,"[0.08, 0.109, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.085, 0.103]"
17,"[0.08, 0.109, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.091, 0.103]"
18,"[0.08, 0.109, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.091, 0.103]"
19,"[0.08, 0.104, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.099, 0.103]"
20,"[0.08, 0.109, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.093, 0.103]"
21,"[0.08, 0.109, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.103, 0.103]"
22,"[0.08, 0.109, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.103, 0.103]"
23,"[0.08, 0.109, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.103, 0.103]"
24,"[0.08, 0.109, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.103, 0.103]"
25,"[0.08, 0.109, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.103, 0.103]"
26,"[0.08, 0.109, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.103, 0.103]"
27,"[0.08, 0.166, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.103, 0.103]"
28,"[0.08, 0.176, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.103, 0.103]"
29,"[0.08, 0.119, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.103, 0.103]"
30,"[0.08, 0.109, 0.115, 0.097, 0.083, 0.086, 0.109, 0.104, 0.103, 0.103]"
31,"[0.08, 0.109, 0.087, 0.097, 0.083, 0.086, 0.109, 0.104, 0.103, 0.103]"
32,"[0.097, 0.109, 0.116, 0.097, 0.083, 0.086, 0.109, 0.104, 0.103, 0.155]"
33,"[0.095, 0.109, 0.127, 0.097, 0.083, 0.086, 0.109, 0.104, 0.091, 0.101]"
34,"[0.08, 0.086, 0.087, 0.097, 0.083, 0.086, 0.093, 0.085, 0.103, 0.101]"
35,"[0.08, 0.086, 0.108, 0.097, 0.083, 0.083, 0.093, 0.085, 0.103, 0.115]"
36,"[0.095, 0.086, 0.108, 0.097, 0.083, 0.103, 0.093, 0.085, 0.103, 0.12]"
37,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
38,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.081, 0.085, 0.103, 0.12]"
39,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
40,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
41,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
42,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
43,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
44,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
45,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
46,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
47,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
48,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
49,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
50,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
51,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
52,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
53,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
54,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
55,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
56,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
57,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
58,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
59,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
60,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
61,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
62,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
63,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
64,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
65,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
66,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
67,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
68,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
69,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
70,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
71,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
72,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
73,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
74,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
75,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
76,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
77,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
78,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
79,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
80,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
81,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
82,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
83,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
84,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
85,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
86,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
87,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
88,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
89,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
90,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
91,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
92,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
93,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
94,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
95,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
96,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
97,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
98,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
99,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
closeness_centrality,[]
0,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
1,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
2,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
3,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
4,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
5,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
6,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
7,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
8,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
9,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
10,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
11,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
12,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
13,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
14,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
15,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
16,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
17,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
18,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
19,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
20,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
21,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
22,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
23,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
24,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
25,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
26,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
27,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
28,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
29,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
30,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
31,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
32,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
33,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
34,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
35,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
36,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
37,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
38,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
39,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
40,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
41,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
42,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
43,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
44,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
45,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
46,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
47,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
48,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
49,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
50,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
51,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
52,"[0.095, 0.086, 0.108, 0.097, 0.11, 0.103, 0.093, 0.085, 0.103, 0.12]"
