eigenvector_centrality,[0]
81,"[0.395, 0.167, 0.134, 0.143, 0.172, 0.193, 0.191, 0.145, 0.182, 0.153]"
82,"[0.342, 0.182, 0.146, 0.135, 0.166, 0.187, 0.182, 0.145, 0.174, 0.155]"
83,"[0.292, 0.169, 0.136, 0.146, 0.173, 0.194, 0.19, 0.149, 0.184, 0.173]"
84,"[0.26, 0.182, 0.144, 0.134, 0.161, 0.171, 0.173, 0.146, 0.165, 0.173]"
85,"[0.307, 0.172, 0.13, 0.143, 0.169, 0.192, 0.186, 0.155, 0.171, 0.183]"
86,"[0.232, 0.198, 0.149, 0.143, 0.169, 0.19, 0.185, 0.153, 0.182, 0.181]"
87,"[0.393, 0.195, 0.143, 0.122, 0.161, 0.159, 0.172, 0.191, 0.159, 0.191]"
88,"[0.242, 0.213, 0.174, 0.159, 0.185, 0.206, 0.198, 0.182, 0.187, 0.186]"
89,"[0.431, 0.202, 0.16, 0.11, 0.145, 0.149, 0.142, 0.217, 0.131, 0.199]"
90,"[0.268, 0.212, 0.183, 0.162, 0.183, 0.207, 0.197, 0.208, 0.189, 0.194]"
91,"[0.411, 0.198, 0.16, 0.11, 0.14, 0.149, 0.144, 0.234, 0.139, 0.195]"
92,"[0.288, 0.207, 0.206, 0.141, 0.167, 0.188, 0.169, 0.215, 0.175, 0.181]"
93,"[0.455, 0.189, 0.163, 0.118, 0.147, 0.163, 0.155, 0.247, 0.151, 0.189]"
94,"[0.28, 0.198, 0.212, 0.179, 0.184, 0.221, 0.202, 0.213, 0.201, 0.167]"
95,"[0.433, 0.18, 0.166, 0.11, 0.132, 0.151, 0.133, 0.246, 0.138, 0.189]"
96,"[0.277, 0.196, 0.192, 0.203, 0.212, 0.251, 0.221, 0.212, 0.217, 0.16]"
97,"[0.337, 0.183, 0.158, 0.107, 0.139, 0.145, 0.145, 0.238, 0.141, 0.181]"
98,"[0.287, 0.196, 0.175, 0.218, 0.234, 0.251, 0.228, 0.192, 0.23, 0.152]"
99,"[0.196, 0.181, 0.15, 0.109, 0.131, 0.129, 0.134, 0.211, 0.137, 0.192]"
