in_deg_centrality,[10  6  9  0]
23,"[tensor(0.0045, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0053, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0')]"
24,"[tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0056, device='cuda:0'), tensor(0.0046, device='cuda:0')]"
25,"[tensor(0.0047, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0052, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0051, device='cuda:0'), tensor(0.0052, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0')]"
26,"[tensor(0.0050, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0054, device='cuda:0'), tensor(0.0047, device='cuda:0')]"
27,"[tensor(0.0048, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0043, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0055, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0052, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0')]"
28,"[tensor(0.0051, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0054, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0055, device='cuda:0'), tensor(0.0050, device='cuda:0')]"
29,"[tensor(0.0052, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0052, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0052, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0051, device='cuda:0'), tensor(0.0051, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0045, device='cuda:0')]"
30,"[tensor(0.0050, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0053, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0052, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0052, device='cuda:0'), tensor(0.0049, device='cuda:0')]"
31,"[tensor(0.0051, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0053, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0052, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0054, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0046, device='cuda:0')]"
32,"[tensor(0.0053, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0052, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0053, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0056, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0051, device='cuda:0'), tensor(0.0048, device='cuda:0')]"
33,"[tensor(0.0059, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0057, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0053, device='cuda:0'), tensor(0.0053, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0057, device='cuda:0'), tensor(0.0053, device='cuda:0'), tensor(0.0051, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0052, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0046, device='cuda:0')]"
34,"[tensor(0.0054, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0051, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0054, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0062, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0052, device='cuda:0'), tensor(0.0048, device='cuda:0')]"
35,"[tensor(0.0059, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0043, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0055, device='cuda:0'), tensor(0.0056, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0060, device='cuda:0'), tensor(0.0052, device='cuda:0'), tensor(0.0054, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0053, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0046, device='cuda:0')]"
36,"[tensor(0.0054, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0052, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0055, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0051, device='cuda:0'), tensor(0.0061, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0053, device='cuda:0'), tensor(0.0047, device='cuda:0')]"
37,"[tensor(0.0057, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0043, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0053, device='cuda:0'), tensor(0.0053, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0057, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0056, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0051, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0045, device='cuda:0')]"
