closeness_centrality,[18 10  4  2]
76,"[tensor(0.0044, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0054, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0066, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0104, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0078, device='cuda:2'), tensor(0.0045, device='cuda:2')]"
77,"[tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0094, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0092, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0054, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0053, device='cuda:2'), tensor(0.0045, device='cuda:2')]"
78,"[tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0055, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0070, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0111, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0079, device='cuda:2'), tensor(0.0045, device='cuda:2')]"
79,"[tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0096, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0101, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0059, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0061, device='cuda:2'), tensor(0.0045, device='cuda:2')]"
80,"[tensor(0.0044, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0064, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0068, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0112, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0089, device='cuda:2'), tensor(0.0045, device='cuda:2')]"
81,"[tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0106, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0138, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0079, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0079, device='cuda:2'), tensor(0.0045, device='cuda:2')]"
82,"[tensor(0.0044, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0079, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0076, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0126, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0093, device='cuda:2'), tensor(0.0046, device='cuda:2')]"
83,"[tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0110, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0152, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0096, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0084, device='cuda:2'), tensor(0.0045, device='cuda:2')]"
84,"[tensor(0.0043, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0109, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0092, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0133, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0098, device='cuda:2'), tensor(0.0046, device='cuda:2')]"
85,"[tensor(0.0043, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0139, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0170, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0137, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0109, device='cuda:2'), tensor(0.0045, device='cuda:2')]"
86,"[tensor(0.0043, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0155, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0092, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0128, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0107, device='cuda:2'), tensor(0.0046, device='cuda:2')]"
87,"[tensor(0.0043, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0140, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0199, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0175, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0149, device='cuda:2'), tensor(0.0044, device='cuda:2')]"
88,"[tensor(0.0043, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0217, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0111, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0125, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0115, device='cuda:2'), tensor(0.0046, device='cuda:2')]"
89,"[tensor(0.0043, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0162, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0192, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0230, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0197, device='cuda:2'), tensor(0.0044, device='cuda:2')]"
90,"[tensor(0.0043, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0267, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0108, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0136, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0120, device='cuda:2'), tensor(0.0046, device='cuda:2')]"
91,"[tensor(0.0042, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0176, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0275, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0244, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0194, device='cuda:2'), tensor(0.0045, device='cuda:2')]"
92,"[tensor(0.0044, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0274, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0130, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0128, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0126, device='cuda:2'), tensor(0.0046, device='cuda:2')]"
93,"[tensor(0.0042, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0187, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0255, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0280, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0224, device='cuda:2'), tensor(0.0045, device='cuda:2')]"
94,"[tensor(0.0044, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0291, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0155, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0131, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0141, device='cuda:2'), tensor(0.0045, device='cuda:2')]"
95,"[tensor(0.0042, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0169, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0247, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0291, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0251, device='cuda:2'), tensor(0.0044, device='cuda:2')]"
96,"[tensor(0.0043, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0331, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0112, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0184, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0191, device='cuda:2'), tensor(0.0045, device='cuda:2')]"
97,"[tensor(0.0041, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0224, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0289, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0298, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0282, device='cuda:2'), tensor(0.0044, device='cuda:2')]"
98,"[tensor(0.0043, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0388, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0183, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0248, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0216, device='cuda:2'), tensor(0.0045, device='cuda:2')]"
99,"[tensor(0.0041, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0251, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0340, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0359, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0291, device='cuda:2'), tensor(0.0044, device='cuda:2')]"
