closeness_centrality,[18 10  4  2]
20,"[tensor(0.0048, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2')]"
21,"[tensor(0.0048, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2')]"
22,"[tensor(0.0048, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0048, device='cuda:2')]"
23,"[tensor(0.0048, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2')]"
24,"[tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0047, device='cuda:2')]"
25,"[tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0053, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2')]"
26,"[tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0047, device='cuda:2')]"
27,"[tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0053, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0053, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0048, device='cuda:2')]"
28,"[tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0053, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0047, device='cuda:2')]"
29,"[tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0056, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2')]"
30,"[tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0055, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0054, device='cuda:2'), tensor(0.0049, device='cuda:2')]"
31,"[tensor(0.0045, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0057, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2')]"
32,"[tensor(0.0047, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0054, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0053, device='cuda:2'), tensor(0.0050, device='cuda:2')]"
33,"[tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0058, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2')]"
34,"[tensor(0.0047, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0055, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0054, device='cuda:2'), tensor(0.0050, device='cuda:2')]"
35,"[tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0060, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2')]"
36,"[tensor(0.0046, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0053, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0056, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0055, device='cuda:2'), tensor(0.0049, device='cuda:2')]"
37,"[tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0062, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0054, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2')]"
