eigenvector_centrality,[5]
77,"[0.105, 0.314, 0.368, 0.309, 0.328, 0.441, 0.114, 0.332, 0.29, 0.103]"
78,"[0.326, 0.104, 0.083, 0.091, 0.092, 0.264, 0.386, 0.107, 0.106, 0.354]"
79,"[0.105, 0.325, 0.369, 0.308, 0.323, 0.505, 0.114, 0.31, 0.305, 0.103]"
80,"[0.321, 0.104, 0.083, 0.091, 0.091, 0.281, 0.385, 0.096, 0.106, 0.357]"
81,"[0.105, 0.325, 0.371, 0.315, 0.311, 0.52, 0.114, 0.301, 0.309, 0.103]"
82,"[0.312, 0.104, 0.084, 0.091, 0.091, 0.306, 0.395, 0.097, 0.106, 0.359]"
83,"[0.105, 0.331, 0.371, 0.328, 0.313, 0.482, 0.114, 0.298, 0.316, 0.103]"
84,"[0.298, 0.104, 0.084, 0.092, 0.091, 0.327, 0.391, 0.101, 0.106, 0.357]"
85,"[0.105, 0.344, 0.368, 0.335, 0.312, 0.421, 0.114, 0.306, 0.337, 0.103]"
86,"[0.292, 0.104, 0.084, 0.093, 0.092, 0.33, 0.398, 0.116, 0.106, 0.358]"
87,"[0.105, 0.339, 0.367, 0.337, 0.321, 0.437, 0.115, 0.31, 0.342, 0.103]"
88,"[0.286, 0.104, 0.084, 0.093, 0.092, 0.334, 0.405, 0.117, 0.106, 0.365]"
89,"[0.105, 0.34, 0.364, 0.339, 0.315, 0.471, 0.115, 0.312, 0.341, 0.103]"
90,"[0.288, 0.104, 0.084, 0.094, 0.092, 0.306, 0.403, 0.121, 0.106, 0.367]"
91,"[0.105, 0.346, 0.36, 0.336, 0.316, 0.46, 0.115, 0.303, 0.334, 0.103]"
92,"[0.29, 0.104, 0.084, 0.094, 0.092, 0.381, 0.404, 0.122, 0.106, 0.369]"
93,"[0.105, 0.349, 0.359, 0.337, 0.33, 0.365, 0.115, 0.326, 0.348, 0.103]"
94,"[0.3, 0.104, 0.084, 0.094, 0.092, 0.4, 0.399, 0.117, 0.106, 0.376]"
95,"[0.105, 0.36, 0.361, 0.346, 0.345, 0.36, 0.115, 0.339, 0.348, 0.103]"
96,"[0.323, 0.104, 0.084, 0.094, 0.092, 0.394, 0.404, 0.114, 0.106, 0.38]"
97,"[0.105, 0.362, 0.379, 0.346, 0.356, 0.374, 0.115, 0.353, 0.346, 0.103]"
98,"[0.337, 0.104, 0.084, 0.094, 0.092, 0.422, 0.402, 0.113, 0.106, 0.379]"
99,"[0.105, 0.372, 0.384, 0.352, 0.359, 0.362, 0.114, 0.366, 0.356, 0.103]"
