eigenvector_centrality,[1]
87,"[0.279, 0.49, 0.228, 0.302, 0.273, 0.301, 0.389, 0.246, 0.371, 0.38]"
88,"[0.246, 0.296, 0.335, 0.389, 0.276, 0.334, 0.38, 0.288, 0.202, 0.251]"
89,"[0.275, 0.439, 0.232, 0.299, 0.274, 0.3, 0.384, 0.251, 0.372, 0.378]"
90,"[0.249, 0.421, 0.327, 0.384, 0.279, 0.331, 0.382, 0.284, 0.205, 0.246]"
91,"[0.286, 0.39, 0.23, 0.293, 0.286, 0.295, 0.372, 0.257, 0.361, 0.367]"
92,"[0.263, 0.519, 0.33, 0.373, 0.287, 0.31, 0.36, 0.29, 0.195, 0.232]"
93,"[0.285, 0.357, 0.227, 0.288, 0.29, 0.303, 0.382, 0.256, 0.358, 0.355]"
94,"[0.269, 0.526, 0.333, 0.367, 0.294, 0.307, 0.37, 0.283, 0.195, 0.241]"
95,"[0.281, 0.321, 0.238, 0.291, 0.297, 0.31, 0.387, 0.264, 0.348, 0.361]"
96,"[0.284, 0.526, 0.339, 0.372, 0.314, 0.317, 0.369, 0.278, 0.214, 0.258]"
97,"[0.289, 0.322, 0.25, 0.296, 0.307, 0.317, 0.394, 0.277, 0.351, 0.368]"
98,"[0.285, 0.498, 0.34, 0.369, 0.323, 0.317, 0.378, 0.3, 0.227, 0.273]"
99,"[0.295, 0.336, 0.261, 0.302, 0.318, 0.318, 0.402, 0.285, 0.342, 0.362]"
