eigenvector_centrality,"[0, 6]"
80,"[0.129, 0.213, 0.365, 0.28, 0.204, 0.369, 0.26, 0.384, 0.298, 0.339]"
81,"[0.103, 0.291, 0.352, 0.396, 0.214, 0.362, 0.143, 0.354, 0.194, 0.418]"
82,"[0.118, 0.229, 0.352, 0.284, 0.204, 0.367, 0.231, 0.382, 0.283, 0.322]"
83,"[0.103, 0.272, 0.363, 0.385, 0.202, 0.382, 0.146, 0.383, 0.207, 0.427]"
84,"[0.128, 0.235, 0.349, 0.275, 0.209, 0.363, 0.249, 0.395, 0.28, 0.343]"
85,"[0.103, 0.272, 0.37, 0.407, 0.211, 0.385, 0.145, 0.399, 0.196, 0.435]"
86,"[0.105, 0.231, 0.348, 0.265, 0.219, 0.352, 0.226, 0.394, 0.279, 0.349]"
87,"[0.104, 0.257, 0.372, 0.384, 0.213, 0.396, 0.138, 0.416, 0.187, 0.383]"
88,"[0.104, 0.236, 0.352, 0.258, 0.223, 0.345, 0.22, 0.412, 0.265, 0.348]"
89,"[0.104, 0.248, 0.382, 0.341, 0.213, 0.4, 0.13, 0.407, 0.196, 0.373]"
90,"[0.104, 0.238, 0.363, 0.264, 0.221, 0.33, 0.22, 0.408, 0.251, 0.365]"
91,"[0.109, 0.245, 0.389, 0.328, 0.214, 0.391, 0.13, 0.41, 0.217, 0.362]"
92,"[0.104, 0.234, 0.359, 0.273, 0.221, 0.32, 0.205, 0.402, 0.238, 0.344]"
93,"[0.112, 0.242, 0.369, 0.388, 0.21, 0.388, 0.129, 0.399, 0.21, 0.32]"
94,"[0.104, 0.226, 0.375, 0.269, 0.219, 0.341, 0.182, 0.417, 0.238, 0.309]"
95,"[0.091, 0.231, 0.352, 0.349, 0.21, 0.376, 0.166, 0.374, 0.192, 0.272]"
96,"[0.104, 0.213, 0.412, 0.261, 0.215, 0.408, 0.155, 0.453, 0.214, 0.3]"
97,"[0.102, 0.236, 0.344, 0.374, 0.217, 0.363, 0.152, 0.362, 0.18, 0.247]"
98,"[0.115, 0.215, 0.427, 0.277, 0.213, 0.429, 0.139, 0.421, 0.238, 0.248]"
99,"[0.104, 0.239, 0.389, 0.384, 0.224, 0.393, 0.137, 0.386, 0.202, 0.245]"
