out_deg_centrality,[8.]
26,"[tensor(1.9537), tensor(1.9123), tensor(2.0113), tensor(1.9840), tensor(1.9698), tensor(1.9699), tensor(1.9259), tensor(2.0417), tensor(1.9113), tensor(2.0269)]"
27,"[tensor(1.9108), tensor(1.8784), tensor(1.9323), tensor(2.0239), tensor(1.9875), tensor(2.0404), tensor(1.8855), tensor(1.9239), tensor(2.0248), tensor(1.9207)]"
28,"[tensor(1.8921), tensor(1.8649), tensor(2.0102), tensor(1.9260), tensor(1.9405), tensor(1.9175), tensor(1.8788), tensor(2.0313), tensor(1.9044), tensor(1.9972)]"
29,"[tensor(1.8901), tensor(1.8436), tensor(1.9206), tensor(2.0042), tensor(1.9634), tensor(2.0232), tensor(1.8782), tensor(1.9205), tensor(1.9952), tensor(1.9030)]"
30,"[tensor(1.8795), tensor(1.8433), tensor(1.9996), tensor(1.8980), tensor(1.9202), tensor(1.9209), tensor(1.8841), tensor(2.0103), tensor(1.9070), tensor(1.9721)]"
31,"[tensor(1.8827), tensor(1.8521), tensor(1.9133), tensor(2.0011), tensor(1.9558), tensor(2.0102), tensor(1.8902), tensor(1.9112), tensor(1.9610), tensor(1.8941)]"
32,"[tensor(1.8861), tensor(1.8395), tensor(1.9827), tensor(1.8904), tensor(1.9118), tensor(1.9160), tensor(1.8653), tensor(1.9885), tensor(1.9144), tensor(1.9628)]"
33,"[tensor(1.8850), tensor(1.8623), tensor(1.9100), tensor(1.9956), tensor(1.9431), tensor(1.9956), tensor(1.8967), tensor(1.9088), tensor(1.9203), tensor(1.8925)]"
34,"[tensor(1.8802), tensor(1.8385), tensor(1.9565), tensor(1.8845), tensor(1.9039), tensor(1.9096), tensor(1.8440), tensor(1.9590), tensor(1.9178), tensor(1.9420)]"
35,"[tensor(1.8808), tensor(1.8576), tensor(1.9020), tensor(1.9853), tensor(1.9256), tensor(1.9738), tensor(1.8958), tensor(1.9048), tensor(1.8878), tensor(1.8897)]"
36,"[tensor(1.8649), tensor(1.8282), tensor(1.9259), tensor(1.8737), tensor(1.8918), tensor(1.8971), tensor(1.8108), tensor(1.9237), tensor(1.9151), tensor(1.9141)]"
37,"[tensor(1.8702), tensor(1.8325), tensor(1.8898), tensor(1.9636), tensor(1.8989), tensor(1.9471), tensor(1.8796), tensor(1.8990), tensor(1.8598), tensor(1.8837)]"
38,"[tensor(1.8465), tensor(1.8095), tensor(1.9056), tensor(1.8579), tensor(1.8847), tensor(1.8833), tensor(1.7930), tensor(1.8960), tensor(1.8986), tensor(1.8833)]"
39,"[tensor(1.8535), tensor(1.8068), tensor(1.8707), tensor(1.9496), tensor(1.8763), tensor(1.9205), tensor(1.8611), tensor(1.8912), tensor(1.8468), tensor(1.8704)]"
40,"[tensor(1.8389), tensor(1.7946), tensor(1.9020), tensor(1.8404), tensor(1.8580), tensor(1.8694), tensor(1.7734), tensor(1.8816), tensor(1.8816), tensor(1.8738)]"
41,"[tensor(1.8376), tensor(1.7935), tensor(1.8523), tensor(1.9346), tensor(1.8723), tensor(1.9133), tensor(1.8601), tensor(1.8714), tensor(1.8454), tensor(1.8568)]"
42,"[tensor(1.8344), tensor(1.7845), tensor(1.9068), tensor(1.8255), tensor(1.8394), tensor(1.8588), tensor(1.7682), tensor(1.8866), tensor(1.8828), tensor(1.8740)]"
43,"[tensor(1.8324), tensor(1.8099), tensor(1.8503), tensor(1.9252), tensor(1.8696), tensor(1.9067), tensor(1.8789), tensor(1.8653), tensor(1.8267), tensor(1.8525)]"
